Character,Item,Position,PickRate,Timing,Count
Enigma,Refresher Orb,Carry,0.27,Late Game,1
Enigma,Linken's Sphere,Carry,0.18,Late Game,1
Enigma,Black King Bar,Carry,0.18,Late Game,1
Enigma,Aghanim's Shard,Carry,0.18,Late Game,1
Enigma,Tango,Mid,0.91,Start,1
Enigma,Observer Ward,Mid,0.71,Start,1
Enigma,Bracer,Mid,0.54,Start,1
Enigma,Circlet,Mid,0.29,Start,1
Enigma,Iron Branch,Mid,0.23,Start,3
Enigma,Magic Stick,Mid,0.2,Start,1
Enigma,Gauntlets of Strength,Mid,0.17,Start,1
Enigma,Bracer,Mid,0.65,Early Game,1
Enigma,Boots of Speed,Mid,0.86,Early Game,1
Enigma,Ring of Basilius,Mid,0.51,Early Game,1
Enigma,Magic Wand,Mid,0.3,Early Game,1
Enigma,Null Talisman,Mid,0.16,Early Game,1
Enigma,Arcane Boots,Mid,0.57,Early Game,1
Enigma,Wind Lace,Mid,0.19,Early Game,1
Enigma,Tranquil Boots,Mid,0.35,Early Game,1
Enigma,Drum of Endurance,Mid,0.32,Early Game,1
Enigma,Hand of Midas,Mid,0.51,Early Game,1
Enigma,Mekansm,Mid,0.16,Early Game,1
Enigma,Blink Dagger,Mid,0.94,Mid Game,1
Enigma,Boots of Bearing,Mid,0.3,Mid Game,1
Enigma,Guardian Greaves,Mid,0.15,Mid Game,1
Enigma,Black King Bar,Mid,1.0,Mid Game,1
Enigma,Aghanim's Shard,Mid,0.63,Mid Game,1
Enigma,Octarine Core,Mid,0.57,Mid Game,1
Enigma,Aghanim's Scepter,Mid,0.25,Late Game,1
Enigma,Linken's Sphere,Mid,1.0,Late Game,1
Enigma,Refresher Orb,Mid,1.0,Late Game,1
Enigma,Boots of Travel,Mid,1.0,Late Game,1
Enigma,Tango,Semi Support,0.8,Start,1
Enigma,Blood Grenade,Semi Support,0.74,Start,1
Enigma,Sentry Ward,Semi Support,0.46,Start,1
Enigma,Magic Stick,Semi Support,0.38,Start,1
Enigma,Iron Branch,Semi Support,0.35,Start,2
Enigma,Observer and Sentry Wards,Semi Support,0.32,Start,1
Enigma,Circlet,Semi Support,0.26,Start,1
Enigma,Enchanted Mango,Semi Support,0.17,Start,1
Enigma,Iron Branch,Semi Support,0.15,Start,3
Enigma,Iron Branch,Semi Support,0.14,Start,1
Enigma,Observer Ward,Semi Support,0.14,Start,1
Enigma,Faerie Fire,Semi Support,0.12,Start,1
Enigma,Boots of Speed,Semi Support,0.11,Start,1
Enigma,Boots of Speed,Semi Support,0.78,Early Game,1
Enigma,Magic Wand,Semi Support,0.59,Early Game,1
Enigma,Wind Lace,Semi Support,0.44,Early Game,1
Enigma,Bracer,Semi Support,0.19,Early Game,1
Enigma,Ring of Basilius,Semi Support,0.18,Early Game,1
Enigma,Tranquil Boots,Semi Support,0.46,Early Game,1
Enigma,Arcane Boots,Semi Support,0.29,Early Game,1
Enigma,Drum of Endurance,Semi Support,0.42,Mid Game,1
Enigma,Blink Dagger,Semi Support,0.89,Mid Game,1
Enigma,Boots of Bearing,Semi Support,0.29,Mid Game,1
Enigma,Aghanim's Shard,Semi Support,0.35,Mid Game,1
Enigma,Black King Bar,Semi Support,0.87,Mid Game,1
Enigma,Tiara of Selemene,Semi Support,0.14,Mid Game,1
Enigma,Aghanim's Scepter,Semi Support,0.4,Mid Game,1
Enigma,Refresher Orb,Semi Support,0.33,Late Game,1
Enigma,Tango,Full Support,0.89,Start,1
Enigma,Blood Grenade,Full Support,0.79,Start,1
Enigma,Sentry Ward,Full Support,0.63,Start,1
Enigma,Iron Branch,Full Support,0.48,Start,2
Enigma,Magic Stick,Full Support,0.4,Start,1
Enigma,Observer and Sentry Wards,Full Support,0.29,Start,1
Enigma,Circlet,Full Support,0.24,Start,1
Enigma,Iron Branch,Full Support,0.16,Start,3
Enigma,Faerie Fire,Full Support,0.14,Start,1
Enigma,Clarity,Full Support,0.11,Start,1
Enigma,Iron Branch,Full Support,0.11,Start,1
Enigma,Enchanted Mango,Full Support,0.11,Start,1
Enigma,Magic Wand,Full Support,0.6,Early Game,1
Enigma,Wind Lace,Full Support,0.39,Early Game,1
Enigma,Ring of Basilius,Full Support,0.48,Early Game,1
Enigma,Bracer,Full Support,0.12,Early Game,1
Enigma,Boots of Speed,Full Support,0.85,Early Game,1
Enigma,Tranquil Boots,Full Support,0.4,Early Game,1
Enigma,Arcane Boots,Full Support,0.36,Early Game,1
Enigma,Drum of Endurance,Full Support,0.36,Mid Game,1
Enigma,Vladmir's Offering,Full Support,0.14,Mid Game,1
Enigma,Blink Dagger,Full Support,0.9,Mid Game,1
Enigma,Glimmer Cape,Full Support,0.15,Mid Game,1
Enigma,Solar Crest,Full Support,0.15,Mid Game,1
Enigma,Aghanim's Shard,Full Support,0.37,Mid Game,1
Enigma,Mekansm,Full Support,0.13,Mid Game,1
Enigma,Boots of Bearing,Full Support,0.26,Mid Game,1
Enigma,Black King Bar,Full Support,0.76,Mid Game,1
Enigma,Aether Lens,Full Support,0.13,Mid Game,1
Enigma,Guardian Greaves,Full Support,0.18,Mid Game,1
Enigma,Shadow Blade,Full Support,0.18,Late Game,1
Enigma,Aghanim's Scepter,Full Support,0.5,Late Game,1
Enigma,Ghost Scepter,Full Support,0.14,Late Game,1
Enigma,Tiara of Selemene,Full Support,0.19,Late Game,1
Enigma,Refresher Orb,Full Support,0.5,Late Game,1
Enigma,Boots of Travel,Full Support,0.14,Late Game,1
Enigma,Aeon Disk,Full Support,0.25,Late Game,1
Tinker,Iron Branch,Carry,1.0,Start,1
Tinker,Tango,Carry,0.88,Start,1
Tinker,Blood Grenade,Carry,0.75,Start,1
Tinker,Sentry Ward,Carry,0.63,Start,1
Tinker,Circlet,Carry,0.63,Start,1
Tinker,Magic Stick,Carry,0.25,Start,1
Tinker,Faerie Fire,Carry,0.25,Start,1
Tinker,Observer and Sentry Wards,Carry,0.25,Start,1
Tinker,Magic Wand,Carry,0.13,Start,1
Tinker,Magic Wand,Carry,0.63,Early Game,1
Tinker,Null Talisman,Carry,0.63,Early Game,1
Tinker,Boots of Speed,Carry,0.63,Early Game,1
Tinker,Bottle,Carry,0.38,Early Game,1
Tinker,Holy Locket,Carry,0.25,Early Game,1
Tinker,Arcane Boots,Carry,0.13,Early Game,1
Tinker,Ring of Basilius,Carry,0.13,Early Game,1
Tinker,Kaya,Carry,0.13,Early Game,1
Tinker,Hand of Midas,Carry,0.13,Early Game,1
Tinker,Blink Dagger,Carry,0.13,Early Game,1
Tinker,Holy Locket,Carry,0.57,Mid Game,1
Tinker,Arcane Boots,Carry,0.57,Mid Game,1
Tinker,Guardian Greaves,Carry,0.43,Mid Game,1
Tinker,Mekansm,Carry,0.43,Mid Game,1
Tinker,Ghost Scepter,Carry,0.29,Mid Game,1
Tinker,Eul's Scepter of Divinity,Carry,0.14,Mid Game,1
Tinker,Wind Lace,Carry,0.14,Mid Game,1
Tinker,Pipe of Insight,Carry,0.14,Mid Game,1
Tinker,Boots of Speed,Carry,0.14,Mid Game,1
Tinker,Blink Dagger,Carry,0.14,Mid Game,1
Tinker,Lotus Orb,Carry,0.14,Mid Game,1
Tinker,Null Talisman,Carry,0.14,Mid Game,1
Tinker,Ring of Basilius,Carry,0.14,Mid Game,1
Tinker,Aghanim's Shard,Carry,0.14,Mid Game,1
Tinker,Kaya,Carry,0.14,Mid Game,1
Tinker,Aether Lens,Carry,0.14,Mid Game,1
Tinker,Aghanim's Scepter,Carry,0.14,Mid Game,1
Tinker,Shiva's Guard,Carry,0.14,Mid Game,1
Tinker,Veil of Discord,Carry,0.14,Mid Game,1
Tinker,Ethereal Blade,Carry,1.0,Late Game,1
Tinker,Black King Bar,Carry,0.5,Late Game,1
Tinker,Aether Lens,Carry,0.5,Late Game,1
Tinker,Tango,Mid,0.98,Start,1
Tinker,Faerie Fire,Mid,0.85,Start,1
Tinker,Observer Ward,Mid,0.72,Start,1
Tinker,Iron Branch,Mid,0.42,Start,3
Tinker,Iron Branch,Mid,0.37,Start,4
Tinker,Circlet,Mid,0.2,Start,1
Tinker,Iron Branch,Mid,0.2,Start,2
Tinker,Bottle,Mid,0.63,Early Game,1
Tinker,Null Talisman,Mid,0.12,Early Game,1
Tinker,Blink Dagger,Mid,0.62,Early Game,1
Tinker,Kaya,Mid,0.82,Mid Game,1
Tinker,Helm of Iron Will,Mid,0.1,Mid Game,1
Tinker,Veil of Discord,Mid,0.26,Mid Game,1
Tinker,Aghanim's Scepter,Mid,0.84,Mid Game,1
Tinker,Shiva's Guard,Mid,0.29,Mid Game,1
Tinker,Dagon,Mid,0.42,Mid Game,1
Tinker,Aether Lens,Mid,0.85,Mid Game,1
Tinker,Aghanim's Shard,Mid,0.27,Mid Game,1
Tinker,Dagon,Mid,0.28,Mid Game,1
Tinker,Ghost Scepter,Mid,0.15,Mid Game,1
Tinker,Dagon,Mid,0.32,Mid Game,1
Tinker,Dagon,Mid,0.25,Mid Game,1
Tinker,Yasha and Kaya,Mid,0.11,Mid Game,1
Tinker,Arcane Blink,Mid,0.22,Mid Game,1
Tinker,Linken's Sphere,Mid,0.15,Mid Game,1
Tinker,Dagon,Mid,0.26,Mid Game,1
Tinker,Black King Bar,Mid,0.52,Mid Game,1
Tinker,Octarine Core,Mid,0.14,Mid Game,1
Tinker,Ethereal Blade,Mid,0.15,Mid Game,1
Tinker,Scythe of Vyse,Mid,0.3,Mid Game,1
Tinker,Tango,Off Lane,0.71,Start,1
Tinker,Iron Branch,Off Lane,0.42,Start,2
Tinker,Iron Branch,Off Lane,0.42,Start,3
Tinker,Circlet,Off Lane,0.33,Start,2
Tinker,Magic Wand,Off Lane,0.29,Start,1
Tinker,Blood Grenade,Off Lane,0.27,Start,1
Tinker,Magic Stick,Off Lane,0.27,Start,1
Tinker,Circlet,Off Lane,0.27,Start,1
Tinker,Observer Ward,Off Lane,0.18,Start,1
Tinker,Observer and Sentry Wards,Off Lane,0.16,Start,1
Tinker,Sentry Ward,Off Lane,0.16,Start,1
Tinker,Faerie Fire,Off Lane,0.13,Start,1
Tinker,Iron Branch,Off Lane,0.11,Start,1
Tinker,Magic Wand,Off Lane,0.68,Early Game,1
Tinker,Null Talisman,Off Lane,0.19,Early Game,1
Tinker,Null Talisman,Off Lane,0.27,Early Game,2
Tinker,Boots of Speed,Off Lane,0.46,Early Game,1
Tinker,Holy Locket,Off Lane,0.69,Early Game,1
Tinker,Bottle,Off Lane,0.2,Early Game,1
Tinker,Ring of Basilius,Off Lane,0.2,Early Game,1
Tinker,Arcane Boots,Off Lane,0.52,Mid Game,1
Tinker,Mekansm,Off Lane,0.4,Mid Game,1
Tinker,Dagon,Off Lane,0.16,Mid Game,1
Tinker,Blink Dagger,Off Lane,0.67,Mid Game,1
Tinker,Kaya,Off Lane,0.4,Mid Game,1
Tinker,Guardian Greaves,Off Lane,0.41,Mid Game,1
Tinker,Dagon,Off Lane,0.11,Mid Game,1
Tinker,Glimmer Cape,Off Lane,0.25,Mid Game,1
Tinker,Force Staff,Off Lane,0.12,Mid Game,1
Tinker,Pipe of Insight,Off Lane,0.22,Mid Game,1
Tinker,Dagon,Off Lane,0.13,Mid Game,1
Tinker,Aghanim's Shard,Off Lane,0.22,Mid Game,1
Tinker,Dagon,Off Lane,0.2,Mid Game,1
Tinker,Helm of Iron Will,Off Lane,0.14,Mid Game,1
Tinker,Veil of Discord,Off Lane,0.18,Mid Game,1
Tinker,Aghanim's Scepter,Off Lane,0.55,Mid Game,1
Tinker,Vanguard,Off Lane,0.17,Mid Game,1
Tinker,Shiva's Guard,Off Lane,0.14,Mid Game,1
Tinker,Aether Lens,Off Lane,0.83,Mid Game,1
Tinker,Kaya and Sange,Off Lane,0.17,Mid Game,1
Tinker,Crimson Guard,Off Lane,0.14,Mid Game,1
Tinker,Black King Bar,Off Lane,0.14,Mid Game,1
Tinker,Linken's Sphere,Off Lane,0.33,Late Game,1
Tinker,Arcane Blink,Off Lane,0.17,Late Game,1
Tinker,Scythe of Vyse,Off Lane,0.17,Late Game,1
Tinker,Tango,Semi Support,0.96,Start,1
Tinker,Blood Grenade,Semi Support,0.94,Start,1
Tinker,Sentry Ward,Semi Support,0.66,Start,1
Tinker,Iron Branch,Semi Support,0.65,Start,2
Tinker,Observer and Sentry Wards,Semi Support,0.53,Start,1
Tinker,Magic Stick,Semi Support,0.41,Start,1
Tinker,Circlet,Semi Support,0.36,Start,2
Tinker,Circlet,Semi Support,0.34,Start,1
Tinker,Iron Branch,Semi Support,0.2,Start,1
Tinker,Faerie Fire,Semi Support,0.13,Start,1
Tinker,Magic Wand,Semi Support,0.9,Early Game,1
Tinker,Null Talisman,Semi Support,0.29,Early Game,1
Tinker,Null Talisman,Semi Support,0.42,Early Game,2
Tinker,Boots of Speed,Semi Support,0.78,Early Game,1
Tinker,Ring of Basilius,Semi Support,0.35,Mid Game,1
Tinker,Holy Locket,Semi Support,0.87,Mid Game,1
Tinker,Arcane Boots,Semi Support,0.72,Mid Game,1
Tinker,Wind Lace,Semi Support,0.16,Mid Game,1
Tinker,Mekansm,Semi Support,0.69,Mid Game,1
Tinker,Pavise,Semi Support,0.21,Mid Game,1
Tinker,Glimmer Cape,Semi Support,0.37,Mid Game,1
Tinker,Solar Crest,Semi Support,0.26,Mid Game,1
Tinker,Aghanim's Shard,Semi Support,0.36,Mid Game,1
Tinker,Force Staff,Semi Support,0.17,Mid Game,1
Tinker,Guardian Greaves,Semi Support,0.67,Mid Game,1
Tinker,Kaya,Semi Support,0.1,Mid Game,1
Tinker,Pipe of Insight,Semi Support,0.3,Mid Game,1
Tinker,Ghost Scepter,Semi Support,0.18,Mid Game,1
Tinker,Aether Lens,Semi Support,0.21,Mid Game,1
Tinker,Blink Dagger,Semi Support,0.4,Mid Game,1
Tinker,Kaya and Sange,Semi Support,0.11,Mid Game,1
Tinker,Lotus Orb,Semi Support,0.22,Mid Game,1
Tinker,Aghanim's Scepter,Semi Support,0.17,Mid Game,1
Tinker,Eul's Scepter of Divinity,Semi Support,0.19,Mid Game,1
Tinker,Scythe of Vyse,Semi Support,0.31,Late Game,1
Tinker,Ethereal Blade,Semi Support,0.13,Late Game,1
Tinker,Linken's Sphere,Semi Support,0.23,Late Game,1
Tinker,Arcane Blink,Semi Support,0.15,Late Game,1
Sniper,Tango,Carry,0.62,Start,1
Sniper,Circlet,Carry,0.55,Start,1
Sniper,Slippers of Agility,Carry,0.55,Start,1
Sniper,Iron Branch,Carry,0.38,Start,3
Sniper,Iron Branch,Carry,0.29,Start,2
Sniper,Circlet,Carry,0.24,Start,2
Sniper,Iron Branch,Carry,0.23,Start,1
Sniper,Faerie Fire,Carry,0.2,Start,1
Sniper,Magic Stick,Carry,0.19,Start,1
Sniper,Slippers of Agility,Carry,0.15,Start,2
Sniper,Magic Wand,Carry,0.11,Start,1
Sniper,Wraith Band,Carry,0.3,Early Game,2
Sniper,Wraith Band,Carry,0.45,Early Game,1
Sniper,Boots of Speed,Carry,0.66,Early Game,1
Sniper,Magic Wand,Carry,0.49,Early Game,1
Sniper,Power Treads,Carry,1.0,Early Game,1
Sniper,Maelstrom,Carry,0.85,Mid Game,1
Sniper,Mask of Madness,Carry,0.3,Mid Game,1
Sniper,Dragon Lance,Carry,0.94,Mid Game,1
Sniper,Mjollnir,Carry,0.71,Mid Game,1
Sniper,Morbid Mask,Carry,0.35,Mid Game,1
Sniper,Force Staff,Carry,0.11,Mid Game,1
Sniper,Hurricane Pike,Carry,0.85,Mid Game,1
Sniper,Diffusal Blade,Carry,0.13,Mid Game,1
Sniper,Shadow Blade,Carry,0.19,Mid Game,1
Sniper,Crystalys,Carry,0.5,Mid Game,1
Sniper,Aghanim's Shard,Carry,0.45,Mid Game,1
Sniper,Linken's Sphere,Carry,0.2,Mid Game,1
Sniper,Black King Bar,Carry,0.63,Mid Game,1
Sniper,Monkey King Bar,Carry,0.44,Mid Game,1
Sniper,Daedalus,Carry,0.52,Mid Game,1
Sniper,Eye of Skadi,Carry,0.17,Mid Game,1
Sniper,Silver Edge,Carry,0.5,Late Game,1
Sniper,Butterfly,Carry,0.14,Late Game,1
Sniper,Satanic,Carry,0.13,Late Game,1
Sniper,Swift Blink,Carry,0.13,Late Game,1
Sniper,Tango,Off Lane,0.64,Start,1
Sniper,Circlet,Off Lane,0.6,Start,1
Sniper,Slippers of Agility,Off Lane,0.44,Start,1
Sniper,Iron Branch,Off Lane,0.4,Start,2
Sniper,Magic Stick,Off Lane,0.32,Start,1
Sniper,Faerie Fire,Off Lane,0.28,Start,1
Sniper,Iron Branch,Off Lane,0.28,Start,3
Sniper,Circlet,Off Lane,0.24,Start,2
Sniper,Observer Ward,Off Lane,0.12,Start,1
Sniper,Slippers of Agility,Off Lane,0.12,Start,2
Sniper,Iron Branch,Off Lane,0.12,Start,1
Sniper,Wraith Band,Off Lane,0.52,Early Game,2
Sniper,Wraith Band,Off Lane,0.32,Early Game,1
Sniper,Magic Wand,Off Lane,0.64,Early Game,1
Sniper,Boots of Speed,Off Lane,0.84,Early Game,1
Sniper,Null Talisman,Off Lane,0.16,Early Game,1
Sniper,Power Treads,Off Lane,0.92,Early Game,1
Sniper,Hand of Midas,Off Lane,0.16,Early Game,1
Sniper,Wind Lace,Off Lane,0.24,Early Game,1
Sniper,Mask of Madness,Off Lane,0.16,Mid Game,1
Sniper,Phylactery,Off Lane,0.26,Mid Game,1
Sniper,Dragon Lance,Off Lane,0.81,Mid Game,1
Sniper,Maelstrom,Off Lane,0.48,Mid Game,1
Sniper,Aghanim's Scepter,Off Lane,0.19,Mid Game,1
Sniper,Morbid Mask,Off Lane,0.22,Mid Game,1
Sniper,Force Staff,Off Lane,0.41,Mid Game,1
Sniper,Hurricane Pike,Off Lane,0.92,Mid Game,1
Sniper,Khanda,Off Lane,0.25,Mid Game,1
Sniper,Aghanim's Shard,Off Lane,0.7,Mid Game,1
Sniper,Mjollnir,Off Lane,0.38,Mid Game,1
Sniper,Shadow Blade,Off Lane,0.33,Mid Game,1
Sniper,Black King Bar,Off Lane,0.56,Mid Game,1
Sniper,Satanic,Off Lane,0.29,Mid Game,1
Sniper,Silver Edge,Off Lane,1.0,Mid Game,1
Sniper,Butterfly,Off Lane,0.22,Mid Game,1
Sniper,Monkey King Bar,Off Lane,0.33,Late Game,1
Sniper,Crystalys,Off Lane,0.33,Late Game,1
Sniper,Boots of Travel,Off Lane,0.14,Late Game,1
Sniper,Daedalus,Off Lane,0.67,Late Game,1
Sniper,Linken's Sphere,Off Lane,1.0,Late Game,1
Sniper,Tango,Semi Support,0.9,Start,1
Sniper,Blood Grenade,Semi Support,0.83,Start,1
Sniper,Sentry Ward,Semi Support,0.54,Start,1
Sniper,Circlet,Semi Support,0.53,Start,1
Sniper,Iron Branch,Semi Support,0.5,Start,2
Sniper,Observer and Sentry Wards,Semi Support,0.49,Start,1
Sniper,Slippers of Agility,Semi Support,0.36,Start,1
Sniper,Faerie Fire,Semi Support,0.26,Start,1
Sniper,Magic Stick,Semi Support,0.22,Start,1
Sniper,Iron Branch,Semi Support,0.17,Start,1
Sniper,Circlet,Semi Support,0.12,Start,2
Sniper,Boots of Speed,Semi Support,0.1,Start,1
Sniper,Wraith Band,Semi Support,0.4,Early Game,1
Sniper,Boots of Speed,Semi Support,0.9,Early Game,1
Sniper,Wraith Band,Semi Support,0.2,Early Game,2
Sniper,Magic Wand,Semi Support,0.66,Early Game,1
Sniper,Ring of Basilius,Semi Support,0.15,Early Game,1
Sniper,Wind Lace,Semi Support,0.44,Early Game,1
Sniper,Tranquil Boots,Semi Support,0.16,Early Game,1
Sniper,Arcane Boots,Semi Support,0.2,Early Game,1
Sniper,Power Treads,Semi Support,0.45,Early Game,1
Sniper,Pavise,Semi Support,0.23,Mid Game,1
Sniper,Drum of Endurance,Semi Support,0.16,Mid Game,1
Sniper,Solar Crest,Semi Support,0.25,Mid Game,1
Sniper,Dragon Lance,Semi Support,0.25,Mid Game,1
Sniper,Force Staff,Semi Support,0.33,Mid Game,1
Sniper,Aghanim's Shard,Semi Support,0.39,Mid Game,1
Sniper,Phylactery,Semi Support,0.38,Mid Game,1
Sniper,Maelstrom,Semi Support,0.18,Mid Game,1
Sniper,Glimmer Cape,Semi Support,0.16,Mid Game,1
Sniper,Diffusal Blade,Semi Support,0.16,Mid Game,1
Sniper,Aghanim's Scepter,Semi Support,0.54,Mid Game,1
Sniper,Boots of Bearing,Semi Support,0.12,Mid Game,1
Sniper,Hurricane Pike,Semi Support,0.27,Mid Game,1
Sniper,Shadow Blade,Semi Support,0.14,Mid Game,1
Sniper,Mjollnir,Semi Support,0.13,Mid Game,1
Sniper,Crystalys,Semi Support,0.11,Mid Game,1
Sniper,Vladmir's Offering,Semi Support,0.11,Mid Game,1
Sniper,Khanda,Semi Support,0.27,Mid Game,1
Sniper,Boots of Travel,Semi Support,0.75,Late Game,1
Sniper,Disperser,Semi Support,0.16,Late Game,1
Sniper,Black King Bar,Semi Support,0.29,Late Game,1
Sniper,Monkey King Bar,Semi Support,0.26,Late Game,1
Sniper,Daedalus,Semi Support,0.14,Late Game,1
Sniper,Divine Rapier,Semi Support,0.17,Late Game,2
Sniper,Blood Grenade,Full Support,0.89,Start,1
Sniper,Tango,Full Support,0.87,Start,1
Sniper,Sentry Ward,Full Support,0.76,Start,1
Sniper,Circlet,Full Support,0.5,Start,1
Sniper,Iron Branch,Full Support,0.47,Start,2
Sniper,Magic Stick,Full Support,0.29,Start,1
Sniper,Observer and Sentry Wards,Full Support,0.29,Start,1
Sniper,Faerie Fire,Full Support,0.26,Start,1
Sniper,Slippers of Agility,Full Support,0.26,Start,1
Sniper,Enchanted Mango,Full Support,0.13,Start,1
Sniper,Iron Branch,Full Support,0.11,Start,3
Sniper,Circlet,Full Support,0.11,Start,2
Sniper,Iron Branch,Full Support,0.11,Start,1
Sniper,Wraith Band,Full Support,0.17,Early Game,1
Sniper,Wraith Band,Full Support,0.11,Early Game,2
Sniper,Boots of Speed,Full Support,0.49,Early Game,1
Sniper,Magic Wand,Full Support,0.33,Early Game,1
Sniper,Wind Lace,Full Support,0.16,Early Game,1
Sniper,Arcane Boots,Full Support,0.16,Early Game,1
Sniper,Power Treads,Full Support,0.45,Mid Game,1
Sniper,Solar Crest,Full Support,0.14,Mid Game,1
Sniper,Mask of Madness,Full Support,0.12,Mid Game,1
Sniper,Dragon Lance,Full Support,0.44,Mid Game,1
Sniper,Force Staff,Full Support,0.67,Mid Game,1
Sniper,Glimmer Cape,Full Support,0.29,Mid Game,1
Sniper,Hurricane Pike,Full Support,0.25,Mid Game,1
Sniper,Aghanim's Shard,Full Support,0.5,Mid Game,1
Sniper,Mage Slayer,Full Support,0.5,Mid Game,1
Sniper,Boots of Bearing,Full Support,0.5,Late Game,1
Sniper,Moon Shard,Full Support,0.5,Late Game,1
Necrophos,Iron Branch,Carry,1.0,Start,1
Necrophos,Circlet,Carry,0.61,Start,1
Necrophos,Tango,Carry,0.55,Start,1
Necrophos,Magic Stick,Carry,0.42,Start,1
Necrophos,Magic Wand,Carry,0.39,Start,1
Necrophos,Faerie Fire,Carry,0.26,Start,1
Necrophos,Boots of Speed,Carry,0.97,Early Game,1
Necrophos,Null Talisman,Carry,0.55,Early Game,1
Necrophos,Magic Wand,Carry,0.52,Early Game,1
Necrophos,Bracer,Carry,0.42,Early Game,1
Necrophos,Wind Lace,Carry,0.32,Early Game,1
Necrophos,Phase Boots,Carry,0.19,Early Game,1
Necrophos,Power Treads,Carry,0.19,Early Game,1
Necrophos,Radiance,Carry,0.71,Mid Game,1
Necrophos,Black King Bar,Carry,0.45,Mid Game,1
Necrophos,Boots of Travel,Carry,0.39,Mid Game,1
Necrophos,Aghanim's Shard,Carry,0.35,Mid Game,1
Necrophos,Aghanim's Scepter,Carry,0.29,Mid Game,1
Necrophos,Kaya,Carry,0.26,Mid Game,1
Necrophos,Kaya and Sange,Carry,0.19,Mid Game,1
Necrophos,Yasha,Carry,0.16,Mid Game,1
Necrophos,Manta Style,Carry,0.16,Mid Game,1
Necrophos,Boots of Travel 2,Carry,0.16,Mid Game,1
Necrophos,Veil of Discord,Carry,0.16,Mid Game,1
Necrophos,Wind Lace,Carry,0.13,Mid Game,1
Necrophos,Heart of Tarrasque,Carry,0.13,Mid Game,1
Necrophos,Heart of Tarrasque,Carry,0.33,Late Game,1
Necrophos,Shiva's Guard,Carry,0.33,Late Game,1
Necrophos,Refresher Orb,Carry,0.33,Late Game,1
Necrophos,Boots of Travel 2,Carry,0.25,Late Game,1
Necrophos,Linken's Sphere,Carry,0.25,Late Game,1
Necrophos,Sange and Yasha,Carry,0.17,Late Game,1
Necrophos,Aghanim's Shard,Carry,0.17,Late Game,1
Necrophos,Aghanim's Scepter,Carry,0.17,Late Game,1
Necrophos,Veil of Discord,Carry,0.17,Late Game,1
Necrophos,Tango,Off Lane,0.74,Start,1
Necrophos,Iron Branch,Off Lane,0.48,Start,2
Necrophos,Iron Branch,Off Lane,0.37,Start,3
Necrophos,Circlet,Off Lane,0.33,Start,1
Necrophos,Circlet,Off Lane,0.32,Start,2
Necrophos,Magic Stick,Off Lane,0.29,Start,1
Necrophos,Magic Wand,Off Lane,0.26,Start,1
Necrophos,Faerie Fire,Off Lane,0.18,Start,1
Necrophos,Quelling Blade,Off Lane,0.11,Start,1
Necrophos,Magic Wand,Off Lane,0.57,Early Game,1
Necrophos,Bracer,Off Lane,0.31,Early Game,1
Necrophos,Null Talisman,Off Lane,0.25,Early Game,1
Necrophos,Boots of Speed,Off Lane,0.59,Early Game,1
Necrophos,Power Treads,Off Lane,0.14,Early Game,1
Necrophos,Wind Lace,Off Lane,0.29,Early Game,1
Necrophos,Phase Boots,Off Lane,0.16,Early Game,1
Necrophos,Spirit Vessel,Off Lane,0.14,Mid Game,1
Necrophos,Blade Mail,Off Lane,0.27,Mid Game,1
Necrophos,Mekansm,Off Lane,0.16,Mid Game,1
Necrophos,Force Staff,Off Lane,0.1,Mid Game,1
Necrophos,Dagon,Off Lane,0.11,Mid Game,1
Necrophos,Boots of Travel,Off Lane,0.19,Mid Game,1
Necrophos,Radiance,Off Lane,0.27,Mid Game,1
Necrophos,Eul's Scepter of Divinity,Off Lane,0.12,Mid Game,1
Necrophos,Eternal Shroud,Off Lane,0.18,Mid Game,1
Necrophos,Guardian Greaves,Off Lane,0.17,Mid Game,1
Necrophos,Dagon,Off Lane,0.11,Mid Game,1
Necrophos,Aghanim's Shard,Off Lane,0.23,Mid Game,1
Necrophos,Kaya and Sange,Off Lane,0.12,Mid Game,1
Necrophos,Pipe of Insight,Off Lane,0.24,Mid Game,1
Necrophos,Sange,Off Lane,0.17,Mid Game,1
Necrophos,Veil of Discord,Off Lane,0.14,Mid Game,1
Necrophos,Heaven's Halberd,Off Lane,0.14,Mid Game,1
Necrophos,Dagon,Off Lane,0.13,Mid Game,1
Necrophos,Aghanim's Scepter,Off Lane,0.15,Mid Game,1
Necrophos,Shiva's Guard,Off Lane,0.5,Mid Game,1
Necrophos,Tango,Semi Support,0.89,Start,1
Necrophos,Iron Branch,Semi Support,0.89,Start,1
Necrophos,Circlet,Semi Support,0.78,Start,1
Necrophos,Magic Stick,Semi Support,0.56,Start,1
Necrophos,Blood Grenade,Semi Support,0.44,Start,1
Necrophos,Observer Ward,Semi Support,0.22,Start,1
Necrophos,Sentry Ward,Semi Support,0.22,Start,1
Necrophos,Faerie Fire,Semi Support,0.22,Start,1
Necrophos,Ring of Protection,Semi Support,0.11,Start,1
Necrophos,Bracer,Semi Support,0.11,Start,1
Necrophos,Observer and Sentry Wards,Semi Support,0.11,Start,1
Necrophos,Enchanted Mango,Semi Support,0.11,Start,1
Necrophos,Boots of Speed,Semi Support,1.0,Early Game,1
