Character,HeroStats,Damage,Deny,EPM,GPM,Heal,LastHits
Doom 8054644399,Doom 8054644399 stats,14556,11,630,475,0,205
Dragon Knight 8054644399,Dragon Knight 8054644399 stats,25952,24,949,828,0,442
Batrider 8054644399,Batrider 8054644399 stats,17999,4,525,378,0,82
Centaur Warrunner 8054644399,Centaur Warrunner 8054644399 stats,12371,20,600,513,0,270
Weaver 8054644399,Weaver 8054644399 stats,16547,1,635,372,320,96
Invoker 8054644399,Invoker 8054644399 stats,26518,19,740,615,0,267
Jakiro 8054705111,Jakiro 8054705111 stats,11511,2,498,365,0,43
Slardar 8054705111,Slardar 8054705111 stats,13407,20,735,596,0,181
Invoker 8054705111,Invoker 8054705111 stats,17897,19,747,674,0,211
Bounty Hunter 8054705111,Bounty Hunter 8054705111 stats,8703,4,549,455,400,29
Dragon Knight 8054705111,Dragon Knight 8054705111 stats,30570,7,966,878,0,429
Bristleback 8054705111,Bristleback 8054705111 stats,16070,9,660,474,0,220
Hoodwink 8054705111,Hoodwink 8054705111 stats,14379,2,328,281,0,77
Puck 8054705111,Puck 8054705111 stats,13260,8,504,450,0,204
Alchemist 8054705111,Alchemist 8054705111 stats,16188,9,603,694,0,324
Enchantress 8054705111,Enchantress 8054705111 stats,15588,1,338,263,269,54
Terrorblade 8054769333,Terrorblade 8054769333 stats,16588,7,684,630,37,436
Batrider 8054769333,Batrider 8054769333 stats,13271,1,480,309,0,141
Magnus 8054769333,Magnus 8054769333 stats,10456,8,604,487,0,287
Snapfire 8054769333,Snapfire 8054769333 stats,15220,8,466,369,4794,132
Puck 8054769333,Puck 8054769333 stats,28318,9,784,615,0,417
Morphling 8054769333,Morphling 8054769333 stats,29191,3,862,795,1943,417
Tidehunter 8054769333,Tidehunter 8054769333 stats,14255,3,770,551,0,269
Phoenix 8054769333,Phoenix 8054769333 stats,13673,3,558,416,3112,90
Lina 8054769333,Lina 8054769333 stats,17590,12,962,717,110,428
Shadow Demon 8054769333,Shadow Demon 8054769333 stats,8856,0,444,314,4645,54
Clockwerk 8054861702,Clockwerk 8054861702 stats,14079,1,587,324,0,41
Dawnbreaker 8054861702,Dawnbreaker 8054861702 stats,21485,6,997,663,6464,418
Invoker 8054861702,Invoker 8054861702 stats,32988,31,730,660,0,348
Muerta 8054861702,Muerta 8054861702 stats,15516,15,561,371,0,110
Razor 8054861702,Razor 8054861702 stats,19940,17,849,704,0,505
Shadow Fiend 8054861702,Shadow Fiend 8054861702 stats,26348,18,809,668,0,521
Ogre Magi 8054861702,Ogre Magi 8054861702 stats,15079,2,379,260,0,72
Earth Spirit 8054861702,Earth Spirit 8054861702 stats,19401,1,432,401,0,267
Gyrocopter 8054861702,Gyrocopter 8054861702 stats,20130,2,342,244,0,94
Beastmaster 8054861702,Beastmaster 8054861702 stats,14279,15,536,501,0,308
Bristleback 8054965291,Bristleback 8054965291 stats,20500,13,804,642,0,414
Hoodwink 8054965291,Hoodwink 8054965291 stats,18063,3,428,331,0,135
Zeus 8054965291,Zeus 8054965291 stats,33996,6,623,511,106,305
Razor 8054965291,Razor 8054965291 stats,18960,5,707,558,0,417
Clockwerk 8054965291,Clockwerk 8054965291 stats,8450,2,406,257,192,56
Drow Ranger 8054965291,Drow Ranger 8054965291 stats,23130,11,943,691,0,400
Chen 8054965291,Chen 8054965291 stats,6785,5,519,428,17395,189
Primal Beast 8054965291,Primal Beast 8054965291 stats,11476,19,788,587,0,382
Batrider 8054965291,Batrider 8054965291 stats,13432,3,501,317,0,122
Viper 8054965291,Viper 8054965291 stats,28552,10,735,618,322,378
Alchemist 8055089269,Alchemist 8055089269 stats,23219,1,914,855,0,389
Tidehunter 8055089269,Tidehunter 8055089269 stats,16002,3,776,518,4454,232
Phoenix 8055089269,Phoenix 8055089269 stats,13891,1,498,391,2278,80
Sniper 8055089269,Sniper 8055089269 stats,35744,11,833,758,0,384
Shadow Demon 8055089269,Shadow Demon 8055089269 stats,11058,0,492,329,638,53
Naga Siren 8055089269,Naga Siren 8055089269 stats,6358,0,346,338,125,157
Timbersaw 8055089269,Timbersaw 8055089269 stats,22059,7,647,522,0,327
Lina 8055089269,Lina 8055089269 stats,25348,10,803,586,0,343
Dark Willow 8055089269,Dark Willow 8055089269 stats,10670,14,365,280,0,61
Monkey King 8055089269,Monkey King 8055089269 stats,15827,11,743,603,400,371
Morphling 8055231335,Morphling 8055231335 stats,18409,20,843,875,774,339
Lich 8055231335,Lich 8055231335 stats,8411,4,378,313,592,36
Invoker 8055231335,Invoker 8055231335 stats,11431,10,520,449,0,127
Muerta 8055231335,Muerta 8055231335 stats,10076,5,460,368,0,62
Magnus 8055231335,Magnus 8055231335 stats,12269,8,627,569,0,195
Beastmaster 8055231335,Beastmaster 8055231335 stats,6812,10,405,439,0,181
Phoenix 8055231335,Phoenix 8055231335 stats,11191,0,316,268,3032,53
Void Spirit 8055231335,Void Spirit 8055231335 stats,12620,6,431,483,0,176
Terrorblade 8055231335,Terrorblade 8055231335 stats,8522,9,518,531,29,270
Enchantress 8055231335,Enchantress 8055231335 stats,13453,0,297,266,130,57
Jakiro 8055285102,Jakiro 8055285102 stats,10828,2,536,344,0,83
Primal Beast 8055285102,Primal Beast 8055285102 stats,21020,3,712,574,125,271
Nature'S Prophet 8055285102,Nature'S Prophet 8055285102 stats,45524,25,1057,937,0,565
Tusk 8055285102,Tusk 8055285102 stats,12651,4,583,357,0,65
Monkey King 8055285102,Monkey King 8055285102 stats,27266,16,862,695,0,377
Alchemist 8055285102,Alchemist 8055285102 stats,18843,7,748,718,0,393
Pugna 8055285102,Pugna 8055285102 stats,15951,1,473,286,5013,88
Beastmaster 8055285102,Beastmaster 8055285102 stats,20551,5,800,567,0,338
Muerta 8055285102,Muerta 8055285102 stats,20135,4,436,307,0,92
Viper 8055285102,Viper 8055285102 stats,16463,14,520,499,0,314
Magnus 8055384655,Magnus 8055384655 stats,4603,10,565,528,0,295
Lich 8055384655,Lich 8055384655 stats,13108,4,359,259,0,47
Queen Of Pain 8055384655,Queen Of Pain 8055384655 stats,17276,8,426,450,0,181
Dark Willow 8055384655,Dark Willow 8055384655 stats,12521,4,226,242,0,35
Dawnbreaker 8055384655,Dawnbreaker 8055384655 stats,11659,10,582,476,2447,242
Sven 8055384655,Sven 8055384655 stats,16884,6,914,791,0,383
Doom 8055384655,Doom 8055384655 stats,15799,2,724,688,0,226
Pugna 8055384655,Pugna 8055384655 stats,24234,2,610,491,4907,74
Timbersaw 8055384655,Timbersaw 8055384655 stats,30028,2,935,726,212,261
Rubick 8055384655,Rubick 8055384655 stats,12028,2,587,416,125,46
Chaos Knight 8056476228,Chaos Knight 8056476228 stats,17629,13,826,736,0,500
Batrider 8056476228,Batrider 8056476228 stats,15587,3,594,382,0,127
Monkey King 8056476228,Monkey King 8056476228 stats,43551,14,1003,696,0,340
Pugna 8056476228,Pugna 8056476228 stats,24946,1,701,450,8733,99
Magnus 8056476228,Magnus 8056476228 stats,20025,10,803,578,0,306
Alchemist 8056476228,Alchemist 8056476228 stats,27956,7,707,723,0,351
Lina 8056476228,Lina 8056476228 stats,24152,4,692,569,0,396
Beastmaster 8056476228,Beastmaster 8056476228 stats,21217,7,695,577,0,318
Rubick 8056476228,Rubick 8056476228 stats,9343,3,421,323,125,79
Clockwerk 8056476228,Clockwerk 8056476228 stats,13270,2,488,269,592,32
Slark 8056585402,Slark 8056585402 stats,60906,23,1029,733,0,456
Tiny 8056585402,Tiny 8056585402 stats,46776,4,902,660,0,439
Beastmaster 8056585402,Beastmaster 8056585402 stats,31825,13,796,612,0,413
Lion 8056585402,Lion 8056585402 stats,16612,2,513,322,0,38
Chen 8056585402,Chen 8056585402 stats,10943,7,634,423,12684,155
Morphling 8056585402,Morphling 8056585402 stats,31935,15,844,709,2090,632
Tusk 8056585402,Tusk 8056585402 stats,10552,3,391,261,0,80
Sniper 8056585402,Sniper 8056585402 stats,48335,21,666,622,0,490
Batrider 8056585402,Batrider 8056585402 stats,17930,2,525,304,400,138
Primal Beast 8056585402,Primal Beast 8056585402 stats,32444,4,623,412,125,289
Terrorblade 8056728116,Terrorblade 8056728116 stats,40679,24,729,782,55,824
Batrider 8056728116,Batrider 8056728116 stats,20393,3,630,345,0,207
Sniper 8056728116,Sniper 8056728116 stats,50571,16,629,595,0,514
Lion 8056728116,Lion 8056728116 stats,13673,4,492,286,0,74
Earth Spirit 8056728116,Earth Spirit 8056728116 stats,57623,5,720,516,0,356
Magnus 8056728116,Magnus 8056728116 stats,42020,7,1094,807,0,652
Huskar 8056728116,Huskar 8056728116 stats,46127,7,1042,720,0,477
Tidehunter 8056728116,Tidehunter 8056728116 stats,33061,2,815,614,0,441
Clockwerk 8056728116,Clockwerk 8056728116 stats,33921,2,677,402,6690,130
Shadow Demon 8056728116,Shadow Demon 8056728116 stats,18323,3,707,403,5673,95
Crystal Maiden 8056889752,Crystal Maiden 8056889752 stats,9919,3,317,233,0,48
Alchemist 8056889752,Alchemist 8056889752 stats,13008,5,550,633,0,338
Sand King 8056889752,Sand King 8056889752 stats,12300,0,487,413,0,223
Bristleback 8056889752,Bristleback 8056889752 stats,28682,10,565,501,0,256
Hoodwink 8056889752,Hoodwink 8056889752 stats,14140,4,343,257,195,74
Dawnbreaker 8056889752,Dawnbreaker 8056889752 stats,19028,17,895,677,3130,287
Batrider 8056889752,Batrider 8056889752 stats,12552,3,525,411,0,105
Tiny 8056889752,Tiny 8056889752 stats,24753,5,764,613,106,233
Morphling 8056889752,Morphling 8056889752 stats,37703,11,991,832,1737,323
Ogre Magi 8056889752,Ogre Magi 8056889752 stats,10074,1,549,359,0,35
Dawnbreaker 8056960913,Dawnbreaker 8056960913 stats,20533,7,747,556,3113,405
Tusk 8056960913,Tusk 8056960913 stats,9538,1,361,248,0,100
Earth Spirit 8056960913,Earth Spirit 8056960913 stats,19291,6,517,430,0,339
Drow Ranger 8056960913,Drow Ranger 8056960913 stats,22428,9,775,624,125,467
Shadow Demon 8056960913,Shadow Demon 8056960913 stats,6520,0,340,227,615,65
Enchantress 8056960913,Enchantress 8056960913 stats,10563,5,702,581,1240,341
Alchemist 8056960913,Alchemist 8056960913 stats,16993,11,864,888,0,551
Timbersaw 8056960913,Timbersaw 8056960913 stats,32194,11,971,684,110,414
Bristleback 8056960913,Bristleback 8056960913 stats,30368,9,1166,804,0,553
Lion 8056960913,Lion 8056960913 stats,9323,3,551,311,0,39
Enchantress 8057125074,Enchantress 8057125074 stats,21877,10,669,491,1609,230
Alchemist 8057125074,Alchemist 8057125074 stats,19477,8,839,776,0,412
Lina 8057125074,Lina 8057125074 stats,28562,2,909,683,0,422
Magnus 8057125074,Magnus 8057125074 stats,30148,15,1045,754,0,533
Tusk 8057125074,Tusk 8057125074 stats,8246,2,561,365,0,67
Mars 8057125074,Mars 8057125074 stats,15706,13,496,457,0,313
Hoodwink 8057125074,Hoodwink 8057125074 stats,19000,3,437,315,0,150
Dragon Knight 8057125074,Dragon Knight 8057125074 stats,22130,10,590,507,0,381
Morphling 8057125074,Morphling 8057125074 stats,16071,8,664,565,2394,501
Chen 8057125074,Chen 8057125074 stats,3252,0,426,325,6920,150
Earth Spirit 8057869002,Earth Spirit 8057869002 stats,9018,3,378,246,2552,53
Magnus 8057869002,Magnus 8057869002 stats,23020,12,678,499,0,425
Sniper 8057869002,Sniper 8057869002 stats,69342,24,798,747,0,710
Muerta 8057869002,Muerta 8057869002 stats,19499,6,476,318,0,120
Drow Ranger 8057869002,Drow Ranger 8057869002 stats,36634,6,730,606,0,532
Dragon Knight 8057869002,Dragon Knight 8057869002 stats,37582,3,1067,792,125,687
Huskar 8057869002,Huskar 8057869002 stats,9010,2,621,494,0,362
Timbersaw 8057869002,Timbersaw 8057869002 stats,43843,4,1020,702,0,592
Lion 8057869002,Lion 8057869002 stats,13154,2,528,350,720,39
Enchantress 8057869002,Enchantress 8057869002 stats,20959,2,766,414,2839,236
Slark 8058023635,Slark 8058023635 stats,6797,2,519,438,0,223
Earth Spirit 8058023635,Earth Spirit 8058023635 stats,16327,5,497,428,0,179
Primal Beast 8058023635,Primal Beast 8058023635 stats,17714,6,463,479,0,190
Batrider 8058023635,Batrider 8058023635 stats,4748,0,340,258,125,34
Enchantress 8058023635,Enchantress 8058023635 stats,10908,2,371,285,838,91
Pugna 8058023635,Pugna 8058023635 stats,15375,3,438,364,4766,40
Terrorblade 8058023635,Terrorblade 8058023635 stats,9569,14,706,581,0,215
Storm Spirit 8058023635,Storm Spirit 8058023635 stats,26044,13,639,655,0,241
Muerta 8058023635,Muerta 8058023635 stats,12984,2,437,355,63,32
Razor 8058023635,Razor 8058023635 stats,25195,14,737,698,0,259
Magnus 8058124306,Magnus 8058124306 stats,16108,10,658,541,0,334
Earth Spirit 8058124306,Earth Spirit 8058124306 stats,32348,6,610,498,322,252
Mars 8058124306,Mars 8058124306 stats,19211,12,656,514,0,292
Muerta 8058124306,Muerta 8058124306 stats,18106,0,420,279,0,70
Phoenix 8058124306,Phoenix 8058124306 stats,20618,10,471,335,6398,120
Pugna 8058124306,Pugna 8058124306 stats,15640,1,290,285,11508,57
Terrorblade 8058124306,Terrorblade 8058124306 stats,16494,8,816,576,0,369
Tiny 8058124306,Tiny 8058124306 stats,31380,8,915,719,0,371
Techies 8058124306,Techies 8058124306 stats,25248,1,391,323,195,79
Gyrocopter 8058124306,Gyrocopter 8058124306 stats,40696,11,899,736,0,417
Morphling 8058249772,Morphling 8058249772 stats,48212,17,810,704,3654,820
Enchantress 8058249772,Enchantress 8058249772 stats,32352,2,703,442,6326,220
Dawnbreaker 8058249772,Dawnbreaker 8058249772 stats,38985,4,908,680,10478,749
Rubick 8058249772,Rubick 8058249772 stats,24955,2,566,363,0,164
Queen Of Pain 8058249772,Queen Of Pain 8058249772 stats,55369,20,821,677,0,783
Pugna 8058249772,Pugna 8058249772 stats,40076,1,621,432,5324,262
Wraith King 8058249772,Wraith King 8058249772 stats,31626,4,692,628,0,725
Magnus 8058249772,Magnus 8058249772 stats,32012,10,706,632,0,725
Broodmother 8058249772,Broodmother 8058249772 stats,53636,19,806,721,0,793
Tusk 8058249772,Tusk 8058249772 stats,13225,0,574,317,0,119
Phoenix 8058358558,Phoenix 8058358558 stats,14506,2,362,325,702,138
Magnus 8058358558,Magnus 8058358558 stats,12240,6,601,487,0,292
Razor 8058358558,Razor 8058358558 stats,17986,3,464,443,0,207
Mars 8058358558,Mars 8058358558 stats,11271,8,528,489,0,266
Lion 8058358558,Lion 8058358558 stats,8106,1,340,210,125,22
Dragon Knight 8058358558,Dragon Knight 8058358558 stats,21800,6,850,737,0,388
Shadow Demon 8058358558,Shadow Demon 8058358558 stats,12162,3,478,386,0,64
Centaur Warrunner 8058358558,Centaur Warrunner 8058358558 stats,12537,14,716,570,0,297
Muerta 8058358558,Muerta 8058358558 stats,10315,6,563,369,0,93
Lina 8058358558,Lina 8058358558 stats,25416,10,867,699,0,416
Shadow Demon 8059269676,Shadow Demon 8059269676 stats,14413,1,568,429,1050,48
Beastmaster 8059269676,Beastmaster 8059269676 stats,13914,14,729,634,0,256
Sniper 8059269676,Sniper 8059269676 stats,47103,11,760,708,0,279
Gyrocopter 8059269676,Gyrocopter 8059269676 stats,22584,6,461,359,0,73
Alchemist 8059269676,Alchemist 8059269676 stats,19061,2,693,735,0,315
Ogre Magi 8059269676,Ogre Magi 8059269676 stats,8284,2,336,234,0,37
Terrorblade 8059269676,Terrorblade 8059269676 stats,15796,14,527,514,0,310
Invoker 8059269676,Invoker 8059269676 stats,23211,28,522,481,0,243
Dark Willow 8059269676,Dark Willow 8059269676 stats,13774,6,425,297,0,47
Razor 8059269676,Razor 8059269676 stats,23543,3,761,608,0,382
Pugna 8059395636,Pugna 8059395636 stats,31488,2,450,286,11607,80
Terrorblade 8059395636,Terrorblade 8059395636 stats,24974,14,590,471,0,359
Tiny 8059395636,Tiny 8059395636 stats,42708,6,616,575,0,411
Doom 8059395636,Doom 8059395636 stats,20467,3,447,403,0,154
Templar Assassin 8059395636,Templar Assassin 8059395636 stats,62840,19,1009,767,0,635
Chen 8059395636,Chen 8059395636 stats,5661,7,564,418,29145,119
Centaur Warrunner 8059395636,Centaur Warrunner 8059395636 stats,32897,5,732,557,125,280
Earth Spirit 8059395636,Earth Spirit 8059395636 stats,74140,7,935,676,0,344
Muerta 8059395636,Muerta 8059395636 stats,29251,2,539,402,0,123
Razor 8059395636,Razor 8059395636 stats,57663,8,886,667,0,358
Ursa 8059599922,Ursa 8059599922 stats,36024,8,1098,921,0,808
Sand King 8059599922,Sand King 8059599922 stats,54334,6,972,694,110,497
Primal Beast 8059599922,Primal Beast 8059599922 stats,16522,5,821,548,0,415
Muerta 8059599922,Muerta 8059599922 stats,21032,5,780,454,0,207
Pugna 8059599922,Pugna 8059599922 stats,12127,6,697,364,11911,79
Templar Assassin 8059599922,Templar Assassin 8059599922 stats,26833,15,672,584,0,516
Enchantress 8059599922,Enchantress 8059599922 stats,14867,8,407,351,2402,219
Terrorblade 8059599922,Terrorblade 8059599922 stats,17906,10,561,537,0,528
Magnus 8059599922,Magnus 8059599922 stats,14980,0,375,246,0,99
Invoker 8059599922,Invoker 8059599922 stats,27339,21,531,489,0,395
Drow Ranger 8059708053,Drow Ranger 8059708053 stats,15628,13,579,542,0,372
Ogre Magi 8059708053,Ogre Magi 8059708053 stats,13535,4,383,251,202,43
Dawnbreaker 8059708053,Dawnbreaker 8059708053 stats,17425,10,677,505,2782,349
Muerta 8059708053,Muerta 8059708053 stats,15005,0,316,248,0,88
Nature'S Prophet 8059708053,Nature'S Prophet 8059708053 stats,28280,9,562,660,0,509
Ursa 8059708053,Ursa 8059708053 stats,27314,5,987,818,0,424
Queen Of Pain 8059708053,Queen Of Pain 8059708053 stats,33037,6,792,616,175,316
Terrorblade 8059708053,Terrorblade 8059708053 stats,17732,15,786,611,0,347
Clockwerk 8059708053,Clockwerk 8059708053 stats,15132,1,627,422,0,124
Pugna 8059708053,Pugna 8059708053 stats,13942,2,548,349,12088,52
Phoenix 8060944213,Phoenix 8060944213 stats,23673,3,440,346,2368,102
Beastmaster 8060944213,Beastmaster 8060944213 stats,16830,14,475,473,0,308
Tiny 8060944213,Tiny 8060944213 stats,22074,5,595,510,0,359
Muerta 8060944213,Muerta 8060944213 stats,20695,4,453,304,195,100
Alchemist 8060944213,Alchemist 8060944213 stats,20729,1,655,709,0,464
Monkey King 8060944213,Monkey King 8060944213 stats,34221,10,1014,798,125,622
Storm Spirit 8060944213,Storm Spirit 8060944213 stats,28866,12,914,602,0,462
Doom 8060944213,Doom 8060944213 stats,23384,9,798,656,0,321
Hoodwink 8060944213,Hoodwink 8060944213 stats,21045,5,641,389,195,144
Crystal Maiden 8060944213,Crystal Maiden 8060944213 stats,17968,0,597,335,1095,75
Templar Assassin 8061100515,Templar Assassin 8061100515 stats,44129,21,1070,835,0,782
Timbersaw 8061100515,Timbersaw 8061100515 stats,48626,2,1047,684,0,575
Doom 8061100515,Doom 8061100515 stats,18802,4,770,634,0,338
Batrider 8061100515,Batrider 8061100515 stats,22649,1,567,326,195,157
Ogre Magi 8061100515,Ogre Magi 8061100515 stats,16564,3,552,310,0,76
Enchantress 8061100515,Enchantress 8061100515 stats,16958,7,470,386,3730,158
Enigma 8061100515,Enigma 8061100515 stats,26665,23,520,533,0,352
Sand King 8061100515,Sand King 8061100515 stats,27241,2,949,647,0,594
Muerta 8061100515,Muerta 8061100515 stats,21398,0,483,348,0,171
Dragon Knight 8061100515,Dragon Knight 8061100515 stats,31072,15,761,603,0,568
Morphling 8061294743,Morphling 8061294743 stats,7289,3,773,784,650,353
Brewmaster 8061294743,Brewmaster 8061294743 stats,8991,9,494,503,0,199
Elder Titan 8061294743,Elder Titan 8061294743 stats,6084,1,426,306,195,17
Lina 8061294743,Lina 8061294743 stats,16299,15,784,759,0,360
Magnus 8061294743,Magnus 8061294743 stats,8027,2,466,349,585,79
Ursa 8061294743,Ursa 8061294743 stats,7546,4,758,600,0,338
Zeus 8061294743,Zeus 8061294743 stats,23978,1,621,543,0,289
Beastmaster 8061294743,Beastmaster 8061294743 stats,8972,8,529,506,0,289
Muerta 8061294743,Muerta 8061294743 stats,8219,6,377,289,0,89
Naga Siren 8061294743,Naga Siren 8061294743 stats,6558,1,350,289,0,100
Morphling 8061396001,Morphling 8061396001 stats,5595,8,552,493,103,299
Venomancer 8061396001,Venomancer 8061396001 stats,25179,0,510,521,0,263
Timbersaw 8061396001,Timbersaw 8061396001 stats,16440,1,500,476,0,178
Shadow Shaman 8061396001,Shadow Shaman 8061396001 stats,5617,1,315,297,0,52
Enchantress 8061396001,Enchantress 8061396001 stats,14889,1,264,307,0,89
Monkey King 8061396001,Monkey King 8061396001 stats,15654,9,784,682,0,229
Tidehunter 8061396001,Tidehunter 8061396001 stats,13784,2,829,631,2745,239
Batrider 8061396001,Batrider 8061396001 stats,17936,3,612,435,125,103
Dragon Knight 8061396001,Dragon Knight 8061396001 stats,16722,1,1008,792,0,377
Magnus 8061396001,Magnus 8061396001 stats,9870,4,598,389,125,83
Morphling 8062807181,Morphling 8062807181 stats,8427,7,662,580,230,429
Lycan 8062807181,Lycan 8062807181 stats,8065,7,482,525,0,322
Naga Siren 8062807181,Naga Siren 8062807181 stats,5407,1,374,359,0,168
Lina 8062807181,Lina 8062807181 stats,15957,7,822,618,0,519
Rubick 8062807181,Rubick 8062807181 stats,6593,6,491,304,125,119
Drow Ranger 8062807181,Drow Ranger 8062807181 stats,25072,7,1124,841,0,535
Pangolier 8062807181,Pangolier 8062807181 stats,11716,15,920,772,514,529
Magnus 8062807181,Magnus 8062807181 stats,17766,14,762,554,0,319
Muerta 8062807181,Muerta 8062807181 stats,13514,5,540,378,0,64
Pugna 8062807181,Pugna 8062807181 stats,13011,0,375,325,4930,60
Morphling 8062945076,Morphling 8062945076 stats,18092,23,699,668,0,482
Invoker 8062945076,Invoker 8062945076 stats,15399,24,571,535,0,369
Centaur Warrunner 8062945076,Centaur Warrunner 8062945076 stats,11508,18,571,455,400,347
Shadow Demon 8062945076,Shadow Demon 8062945076 stats,16885,3,376,286,392,96
Ogre Magi 8062945076,Ogre Magi 8062945076 stats,11873,3,352,221,0,35
Spectre 8062945076,Spectre 8062945076 stats,29035,6,843,652,0,432
Visage 8062945076,Visage 8062945076 stats,22223,12,644,577,0,255
Phoenix 8062945076,Phoenix 8062945076 stats,15737,1,614,409,2198,151
Puck 8062945076,Puck 8062945076 stats,31815,3,961,771,0,500
Magnus 8062945076,Magnus 8062945076 stats,11921,8,614,356,0,133
Ursa 8063069899,Ursa 8063069899 stats,27186,5,853,700,0,570
Beastmaster 8063069899,Beastmaster 8063069899 stats,25087,13,823,602,0,542
Batrider 8063069899,Batrider 8063069899 stats,14543,0,508,363,0,177
Lion 8063069899,Lion 8063069899 stats,10956,2,469,268,400,67
Storm Spirit 8063069899,Storm Spirit 8063069899 stats,27271,6,1084,728,0,667
Alchemist 8063069899,Alchemist 8063069899 stats,32241,9,1094,931,125,557
Pangolier 8063069899,Pangolier 8063069899 stats,37114,12,813,603,0,398
Brewmaster 8063069899,Brewmaster 8063069899 stats,22722,16,939,623,0,458
Muerta 8063069899,Muerta 8063069899 stats,26925,2,581,394,0,126
Crystal Maiden 8063069899,Crystal Maiden 8063069899 stats,11456,0,467,340,0,60
Earth Spirit 8063200834,Earth Spirit 8063200834 stats,17623,9,564,509,192,227
Doom 8063200834,Doom 8063200834 stats,11979,10,686,595,400,189
Muerta 8063200834,Muerta 8063200834 stats,14890,3,415,348,0,45
Morphling 8063200834,Morphling 8063200834 stats,17078,21,756,698,0,349
Naga Siren 8063200834,Naga Siren 8063200834 stats,7667,2,366,311,0,63
Sven 8063200834,Sven 8063200834 stats,11225,5,708,599,125,388
Visage 8063200834,Visage 8063200834 stats,5996,18,403,390,0,197
Shadow Demon 8063200834,Shadow Demon 8063200834 stats,8019,3,311,187,115,23
Tusk 8063200834,Tusk 8063200834 stats,5978,4,280,223,0,40
Lina 8063200834,Lina 8063200834 stats,13170,12,690,567,0,349
Phantom Assassin 8041499047,Phantom Assassin 8041499047 stats,34620,7,1122,804,0,296
Primal Beast 8041499047,Primal Beast 8041499047 stats,18434,6,620,540,0,156
Warlock 8041499047,Warlock 8041499047 stats,16329,1,437,342,9108,46
Huskar 8041499047,Huskar 8041499047 stats,23418,5,969,569,0,164
Rubick 8041499047,Rubick 8041499047 stats,13875,1,625,476,862,97
Monkey King 8041499047,Monkey King 8041499047 stats,9247,5,359,253,0,28
Nyx Assassin 8041499047,Nyx Assassin 8041499047 stats,17569,1,575,341,0,35
Bristleback 8041499047,Bristleback 8041499047 stats,23282,2,776,538,0,225
Templar Assassin 8041499047,Templar Assassin 8041499047 stats,20345,15,784,564,0,252
Invoker 8041499047,Invoker 8041499047 stats,19811,9,678,554,0,173
Phantom Assassin 8041499047,Phantom Assassin 8041499047 stats,34620,7,1122,804,0,296
Primal Beast 8041499047,Primal Beast 8041499047 stats,18434,6,620,540,0,156
Warlock 8041499047,Warlock 8041499047 stats,16329,1,437,342,9108,46
Huskar 8041499047,Huskar 8041499047 stats,23418,5,969,569,0,164
Rubick 8041499047,Rubick 8041499047 stats,13875,1,625,476,862,97
Monkey King 8041499047,Monkey King 8041499047 stats,9247,5,359,253,0,28
Nyx Assassin 8041499047,Nyx Assassin 8041499047 stats,17569,1,575,341,0,35
Bristleback 8041499047,Bristleback 8041499047 stats,23282,2,776,538,0,225
Templar Assassin 8041499047,Templar Assassin 8041499047 stats,20345,15,784,564,0,252
Invoker 8041499047,Invoker 8041499047 stats,19811,9,678,554,0,173
Phantom Assassin 8041499047,Phantom Assassin 8041499047 stats,34620,7,1122,804,0,296
Primal Beast 8041499047,Primal Beast 8041499047 stats,18434,6,620,540,0,156
Warlock 8041499047,Warlock 8041499047 stats,16329,1,437,342,9108,46
Huskar 8041499047,Huskar 8041499047 stats,23418,5,969,569,0,164
Rubick 8041499047,Rubick 8041499047 stats,13875,1,625,476,862,97
Monkey King 8041499047,Monkey King 8041499047 stats,9247,5,359,253,0,28
Nyx Assassin 8041499047,Nyx Assassin 8041499047 stats,17569,1,575,341,0,35
Bristleback 8041499047,Bristleback 8041499047 stats,23282,2,776,538,0,225
Templar Assassin 8041499047,Templar Assassin 8041499047 stats,20345,15,784,564,0,252
Invoker 8041499047,Invoker 8041499047 stats,19811,9,678,554,0,173
