Game,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Dance Party: Pop Hits,Wii,2009,Misc,Nordic Games,0,360000,0,2000000,390000
Harry Potter: Quidditch World Cup,GBA,2003,Sports,Electronic Arts,280000,100000,0,1000000,390000
Jam Sessions: Sing and Play Guitar (US sales),DS,2007,Misc,Ubisoft,380000,0,0,0,380000
Saints Row IV,PS4,2015,Action,Deep Silver,130000,170000,3000000,6000000,380000
Evil Dead: Fistfull of Boomstick,PS2,2003,Action,THQ,190000,150000,0,5000000,380000
One Piece: Unlimited World Red,3DS,2013,Action,Namco Bandai Games,5000000,4000000,280000,1000000,380000
Phantasy Star Ø,DS,2008,Role-Playing,Sega,160000,0,200000,1000000,380000
Triple Play 97,PS,1996,Sports,Electronic Arts Victor,210000,150000,0,3000000,380000
Virtua Tennis 2009,PS3,2009,Sports,Sega,9000000,230000,0,7000000,380000
Super Soccer,SNES,1991,Sports,Nintendo,0,0,380000,0,380000
Shin Megami Tensei: Nocturne,PS2,2003,Role-Playing,Ghostlight,7000000,5000000,250000,2000000,380000
Wario Land II (GBC),GB,1998,Platform,Nintendo,0,0,380000,0,380000
San Francisco Rush: Extreme Racing,PS,1997,Racing,GT Interactive,210000,150000,0,3000000,380000
Dragon's Crown,PSV,2013,Role-Playing,Nippon Ichi Software,160000,5000000,120000,5000000,380000
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,Racing,Human Entertainment,0,0,360000,3000000,380000
Imagine: Salon Stylist,DS,2009,Simulation,Ubisoft,240000,110000,0,4000000,380000
ESPN College Hoops 2K5,XB,2004,Sports,Sega,290000,8000000,0,1000000,380000
Looney Tunes: Acme Arsenal,PS2,2007,Action,Warner Bros. Interactive Entertainment,190000,150000,0,5000000,380000
Cabela's Dangerous Hunts 2009,Wii,2008,Sports,Activision Value,360000,0,0,3000000,380000
Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,Rising Star Games,170000,120000,6000000,3000000,380000
SD Gundam G Generation Spirits,PS2,2007,Strategy,Namco Bandai Games,0,0,380000,0,380000
Batman: Arkham City,WiiU,2012,Action,Warner Bros. Interactive Entertainment,170000,180000,0,3000000,380000
Disney Sing It,PS3,2008,Misc,Disney Interactive Studios,270000,7000000,0,4000000,380000
Peppa Pig: The Game,Wii,2009,Misc,Pinnacle,0,350000,0,3000000,380000
God Eater 2: Rage Burst,PSV,2015,Role-Playing,Namco Bandai Games,0,1000000,370000,0,380000
Get Fit with Mel B,PS3,2010,Sports,Black Bean Games,150000,170000,0,7000000,380000
The Cat in the Hat,GBA,2005,Platform,Jack of All Games,270000,100000,0,1000000,380000
Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,Namco Bandai Games,130000,4000000,190000,3000000,380000
NFL GameDay 2002,PS2,2001,Sports,Sony Computer Entertainment,190000,150000,0,5000000,380000
Turok: Evolution,GC,2002,Shooter,Acclaim Entertainment,300000,8000000,0,1000000,380000
Destiny: The Taken King,X360,2015,Shooter,Activision,220000,120000,0,3000000,380000
Tamagotchi Connection: Corner Shop 3,DS,2007,Simulation,Atari,7000000,0,310000,1000000,380000
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,Strategy,Namco Bandai Games,0,0,380000,0,380000
Ice Age,GBA,2002,Action,Ubisoft,270000,100000,0,1000000,380000
Sega Superstars Tennis,PS2,2008,Sports,Sega,100000,0,0,280000,380000
Headhunter,PS2,2002,Action,Sega,190000,150000,0,5000000,380000
Skate,PS3,2007,Sports,Electronic Arts,290000,5000000,0,4000000,380000
Shin Megami Tensei: Devil Summoner,SAT,1995,Role-Playing,Atlus,0,0,380000,0,380000
Raving Rabbids: Travel in Time 3D,3DS,2011,Platform,Ubisoft,110000,230000,0,4000000,380000
NCAA Football 08,PS3,2007,Sports,Electronic Arts,350000,0,0,3000000,380000
Marvel Nemesis: Rise of the Imperfects,GC,2005,Fighting,Electronic Arts,300000,8000000,0,1000000,380000
NHL 15,PS3,2014,Sports,Electronic Arts,210000,110000,0,6000000,380000
ESPN Extreme Games,PS,1994,Sports,Sony Computer Entertainment,110000,8000000,170000,3000000,380000
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,150000,200000,0,3000000,380000
Overlord: Dark Legend,Wii,2009,Action,Codemasters,120000,220000,0,4000000,380000
Ninja: Shadow of Darkness,PS,1998,Action,Eidos Interactive,210000,140000,0,2000000,380000
SD Gundam G Generation-F,PS,2000,Strategy,Namco Bandai Games,0,0,360000,2000000,380000
Bratz: Rock Angelz,PS2,2005,Misc,THQ,190000,150000,0,5000000,380000
FlatOut,PS2,2004,Racing,Empire Interactive,190000,150000,0,5000000,380000
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013,Adventure,Capcom,0,0,380000,0,380000
SSX 3,GC,2003,Sports,Electronic Arts,290000,8000000,0,1000000,380000
NCAA Football 11,PS2,2010,Sports,Electronic Arts,190000,150000,0,5000000,380000
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,160000,150000,2000000,6000000,380000
Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004,Action,Disney Interactive Studios,270000,100000,0,1000000,380000
Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,Konami Digital Entertainment,150000,110000,100000,2000000,380000
Risk: Global Domination,PS2,2003,Strategy,Atari,190000,150000,0,5000000,380000
Elite Beat Agents,DS,2006,Misc,Nintendo,310000,3000000,0,3000000,380000
NBA 2K7,PS3,2006,Sports,Take-Two Interactive,300000,4000000,0,4000000,380000
Mobile Suit Gundam version 2,PS,1996,Action,Namco Bandai Games,0,0,360000,2000000,380000
Grandia Xtreme,PS2,2002,Role-Playing,Enix Corporation,7000000,5000000,250000,2000000,380000
Silent Scope,PS2,2000,Shooter,Konami Digital Entertainment,190000,150000,0,5000000,380000
Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft,0,0,380000,0,380000
Virtua Tennis 2009,Wii,2009,Sports,Sega,130000,210000,0,4000000,380000
Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,Platform,Take-Two Interactive,190000,150000,0,5000000,380000
The Incredible Hulk,PS2,2008,Action,Sega,320000,1000000,0,5000000,380000
Mercenaries 2: World in Flames,PS2,2008,Shooter,Electronic Arts,210000,0,0,170000,380000
Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision,340000,2000000,0,2000000,380000
EA Sports MMA,PS3,2010,Fighting,Electronic Arts,160000,150000,1000000,6000000,380000
Iron Man 2,PSP,2010,Action,Sega,180000,120000,0,7000000,380000
DiRT 2,Wii,2009,Racing,Codemasters,110000,230000,0,4000000,380000
Tokimeki Memorial: Forever with You,SAT,1996,Simulation,Konami Digital Entertainment,0,0,380000,0,380000
MediEvil II,PS,1999,Action,Sony Computer Entertainment,210000,140000,0,2000000,380000
Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision,130000,200000,0,4000000,380000
Hunter: The Reckoning,XB,2002,Action,Interplay,280000,8000000,0,1000000,380000
MX vs. ATV Untamed,PS2,2007,Racing,THQ,320000,1000000,0,5000000,380000
Rogue Trip: Vacation 2012,PS,1998,Racing,GT Interactive,210000,140000,0,2000000,380000
Dai-4-Ji Super Robot Taisen,SNES,1995,Strategy,Banpresto,0,0,380000,0,380000
Tiger Woods PGA Tour 08,PSP,2007,Sports,Electronic Arts,140000,150000,0,9000000,380000
Pokemon Channel,GC,2003,Adventure,Nintendo,240000,6000000,7000000,1000000,380000
Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai Games,0,0,380000,0,380000
Etrian Odyssey IV: Legends of the Titans,3DS,2012,Role-Playing,Atlus,120000,5000000,200000,1000000,380000
Moto Racer World Tour,PS,2000,Racing,Sony Computer Entertainment,210000,140000,0,2000000,380000
NCAA Final Four 2000,PS,1999,Sports,989 Sports,210000,140000,0,2000000,380000
Scribblenauts: Unlimited,WiiU,2012,Action,Warner Bros. Interactive Entertainment,260000,9000000,0,3000000,380000
FIFA 17,PS3,2016,Sports,Electronic Arts,2000000,290000,1000000,5000000,380000
Saints Row: The Third,PC,2011,Action,THQ,160000,160000,0,6000000,380000
Just Dance 2015,PS4,2014,Misc,Ubisoft,190000,130000,0,6000000,380000
Madagascar: Escape 2 Africa,PS2,2008,Action,Activision,120000,0,0,260000,380000
ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010,Simulation,Activision,320000,3000000,0,3000000,380000
Petz Rescue: Wildlife Vet,DS,2008,Simulation,Ubisoft,350000,0,0,3000000,380000
Green Day: Rock Band,Wii,2010,Misc,MTV Games,220000,120000,0,3000000,380000
Gravitar,2600,1982,Action,Atari,350000,2000000,0,0,380000
Monster Jam: Path of Destruction,DS,2010,Racing,Activision,350000,0,0,2000000,380000
Toukiden: The Age of Demons,PSV,2013,Action,Tecmo Koei,5000000,5000000,250000,3000000,380000
EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment,180000,140000,0,5000000,380000
Dance Dance Revolution Ultramix 3,XB,2005,Simulation,Konami Digital Entertainment,280000,8000000,0,1000000,380000
Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014,Fighting,Namco Bandai Games,0,0,380000,0,380000
WWE SmackDown vs. Raw 2011,PS2,2010,Fighting,THQ,240000,7000000,0,7000000,380000
Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts,120000,200000,0,6000000,380000
The Legend of Spyro: A New Beginning,DS,2006,Platform,Vivendi Games,340000,1000000,0,3000000,380000
Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami Digital Entertainment,110000,130000,110000,2000000,380000
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,280000,1000000,6000000,2000000,380000
Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,Namco Bandai Games,130000,2000000,210000,1000000,380000
Marvel Super Hero Squad,Wii,2009,Fighting,THQ,310000,3000000,0,3000000,380000
The House of the Dead: Overkill - Extended Cut,PS3,2011,Shooter,Sega,150000,170000,0,6000000,380000
Harry Potter and the Prisoner of Azkaban,GC,2004,Action,Electronic Arts,290000,8000000,0,1000000,380000
Quake 4,X360,2005,Shooter,Activision,320000,3000000,0,3000000,380000
Petz Rescue: Ocean Patrol,DS,2008,Adventure,Ubisoft,350000,0,0,3000000,370000
Solaris,2600,1986,Shooter,Atari,350000,2000000,0,0,370000
Puppy Palace,DS,2008,Simulation,Ubisoft,350000,0,0,3000000,370000
Super Dragon Ball Z,PS2,2006,Fighting,Atari,9000000,7000000,190000,2000000,370000
Paws & Claws: Pampered Pets,DS,2009,Simulation,THQ,350000,0,0,3000000,370000
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,210000,120000,0,4000000,370000
Alien: Isolation,PS3,2014,Shooter,Sega,120000,190000,0,7000000,370000
Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,Takara Tomy,190000,3000000,130000,2000000,370000
SAW,PS3,2009,Action,Konami Digital Entertainment,130000,170000,0,7000000,370000
The Legend of Spyro: The Eternal Night,DS,2007,Platform,Vivendi Games,320000,3000000,0,3000000,370000
Tobal 2,PS,1997,Fighting,SquareSoft,0,0,350000,2000000,370000
Digging for Dinosaurs,DS,2010,Action,Scholastic Inc.,350000,0,0,2000000,370000
Trivial Pursuit,X360,2009,Misc,Electronic Arts,120000,210000,0,4000000,370000
Tiger Woods PGA Tour 09,PS2,2008,Sports,Electronic Arts,160000,0,0,210000,370000
Ultimate Spider-Man,GC,2005,Action,Activision,290000,7000000,0,1000000,370000
Life is Strange,PS4,2016,Adventure,Square Enix,140000,150000,3000000,6000000,370000
Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,Microsoft Game Studios,180000,120000,4000000,4000000,370000
NBA Inside Drive 2002,XB,2002,Sports,Microsoft Game Studios,280000,8000000,0,1000000,370000
The BIGS,Wii,2007,Sports,Take-Two Interactive,340000,0,0,3000000,370000
Major League Baseball 2K6,X360,2006,Sports,Spike,340000,0,0,3000000,370000
Kileak: The DNA Imperative,PS,1994,Shooter,Sony Computer Entertainment,8000000,6000000,210000,2000000,370000
Petz: Catz 2,PS2,2006,Simulation,Ubisoft,180000,140000,0,5000000,370000
Mini Ninjas,Wii,2009,Action,Eidos Interactive,170000,170000,0,4000000,370000
Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,200000,140000,0,3000000,370000
Phantasy Star Portable 2: Infinity,PSP,2011,Role-Playing,Sega,0,0,370000,0,370000
Hell's Kitchen: The Game,DS,2008,Simulation,Ubisoft,340000,1000000,0,3000000,370000
LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,210000,130000,0,3000000,370000
"Monsters, Inc. Scream Arena",GC,2002,Platform,THQ,290000,7000000,0,1000000,370000
Reel Fishing III,PS2,2003,Sports,Natsume,180000,140000,0,5000000,370000
Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,Activision,180000,140000,0,5000000,370000
Prince of Persia: The Forgotten Sands,PSP,2010,Action,Ubisoft,9000000,180000,1000000,100000,370000
Rampage: Total Destruction,PS2,2006,Action,Midway Games,180000,140000,0,5000000,370000
High Heat Major League Baseball 2003,PS2,2002,Sports,3DO,180000,140000,0,5000000,370000
Madden NFL 11,PSP,2010,Sports,Electronic Arts,350000,0,0,3000000,370000
Super Formation Soccer 94,SNES,1994,Sports,Human Entertainment,0,0,370000,0,370000
Panzer Dragoon,SAT,1995,Shooter,Sega,0,0,370000,0,370000
Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,Electronic Arts,210000,130000,0,3000000,370000
Rage,PC,2011,Shooter,Bethesda Softworks,140000,180000,0,6000000,370000
Spider-Man: Friend or Foe,PS2,2007,Action,Activision,310000,1000000,0,5000000,370000
Yarudora Series Vol.1: Double Cast,PS,1998,Adventure,Sony Computer Entertainment,0,0,350000,2000000,370000
Dungeon Siege III,X360,2011,Role-Playing,Square Enix,210000,120000,1000000,3000000,370000
Juiced 2: Hot Import Nights,PSP,2007,Racing,THQ,6000000,200000,0,110000,370000
Rec Room Games,Wii,2009,Sports,Destineer,350000,0,0,2000000,370000
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,2000,Role-Playing,ChunSoft,0,0,320000,5000000,370000
Turok: Rage Wars,N64,1999,Shooter,Acclaim Entertainment,300000,6000000,0,0,370000
Scooby-Doo! Classic Creep Capers,N64,2000,Action,THQ,300000,6000000,0,0,370000
Dragonfire,2600,1981,Action,Imagic,350000,2000000,0,0,370000
Custom Robo,GC,2004,Role-Playing,Nintendo,290000,7000000,0,1000000,370000
FIFA Soccer 13,PSP,2012,Action,Electronic Arts,5000000,190000,2000000,100000,370000
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Strategy,Electronic Arts,140000,170000,0,6000000,370000
Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts,100000,170000,0,100000,370000
Medieval II: Total War Gold Edition,PC,2008,Strategy,Sega,0,330000,0,3000000,370000
Pac-Man World 2,GC,2002,Action,Nintendo,280000,7000000,0,1000000,370000
Kotoba no Puzzle: Mojipittan DS,DS,2007,Puzzle,Namco Bandai Games,0,0,370000,0,370000
Barbie Horse Adventures: Blue Ribbon Race,GBA,2003,Sports,Knowledge Adventure,260000,100000,0,1000000,370000
Bionic Commando,PS3,2009,Platform,Capcom,120000,170000,1000000,7000000,370000
Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,170000,150000,0,4000000,370000
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003,Adventure,Square Enix,0,0,360000,1000000,370000
Dishonored,PS4,2015,Action,Bethesda Softworks,110000,180000,2000000,6000000,370000
Marvel: Ultimate Alliance,PSP,2006,Role-Playing,Activision,330000,0,0,3000000,370000
NFL Street 2 Unleashed,PSP,2005,Sports,Electronic Arts,340000,0,0,3000000,370000
Super Robot Taisen EX,SNES,1994,Strategy,Banpresto,0,0,370000,0,370000
FIFA Street 2,PS2,2006,Sports,Electronic Arts,170000,130000,2000000,4000000,370000
Bottom of the 9th,N64,1999,Sports,Konami Digital Entertainment,370000,0,0,0,370000
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix,130000,8000000,150000,2000000,370000
Trauma Center: Under the Knife,DS,2005,Simulation,Nintendo,300000,1000000,2000000,3000000,370000
Shin Megami Tensei II,SNES,1994,Role-Playing,Atlus,0,0,370000,0,370000
Xenosaga Episode III: Also sprach Zarathustra,PS2,2006,Role-Playing,Namco Bandai Games,9000000,7000000,180000,2000000,370000
Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008,Simulation,Game Factory,340000,0,0,3000000,370000
Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,110000,220000,0,3000000,370000
Need for Speed: The Run,PC,2011,Action,Electronic Arts,9000000,210000,0,7000000,370000
Virtua Fighter 3tb,DC,1998,Fighting,Sega,0,0,370000,0,370000
Transformers: Dark of the Moon,PS3,2011,Action,Activision,110000,190000,0,7000000,370000
Mini-Yonku GB: Let's & Go!!,GB,1997,Strategy,ASCII Entertainment,0,0,370000,0,370000
Skylanders SWAP Force,PS4,2013,Platform,Activision,200000,120000,0,5000000,370000
LEGO Batman 2: DC Super Heroes,PSV,2012,Action,Warner Bros. Interactive Entertainment,170000,130000,0,6000000,370000
Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,250000,5000000,0,7000000,370000
Left 4 Dead 2,PC,2009,Shooter,Valve Software,0,320000,0,4000000,370000
The Sims 2: Castaway,PS2,2007,Simulation,Electronic Arts,300000,1000000,0,5000000,370000
NCAA Football 07,PSP,2006,Sports,Electronic Arts,340000,0,0,3000000,370000
The Chronicles of Narnia: Prince Caspian,Wii,2008,Action,Disney Interactive Studios,310000,2000000,0,3000000,360000
Dreamworks Madagascar Kartz,DS,2009,Racing,Activision,250000,8000000,0,3000000,360000
My Horse & Me,DS,2007,Sports,Atari,330000,0,0,3000000,360000
GoldenEye: Rogue Agent,GC,2004,Shooter,Electronic Arts,280000,7000000,0,1000000,360000
Zero4 Champ RR,SNES,1994,Sports,Media Rings,0,0,360000,0,360000
Dragon Ball Z: Infinite World,PS2,2008,Fighting,Namco Bandai Games,8000000,6000000,210000,2000000,360000
Nonomura Byoin no Hitobito,SAT,1996,Adventure,Elf,0,0,360000,0,360000
Tom Clancy's HAWX 2,X360,2010,Action,Ubisoft,240000,9000000,1000000,3000000,360000
ESPN X Games Skateboarding,PS2,2001,Sports,Konami Digital Entertainment,180000,140000,0,5000000,360000
Resident Evil Zero,PS4,2016,Action,Capcom,9000000,170000,5000000,5000000,360000
Super Fire ProWrestling Special,SNES,1994,Fighting,Human Entertainment,0,0,360000,0,360000
Yuu Yuu Hakusho,SNES,1993,Fighting,Namco Bandai Games,0,0,360000,0,360000
Kamaitachi no Yoru 2,PS2,2002,Adventure,ChunSoft,0,0,360000,0,360000
High Heat Major League Baseball 2004,PS2,2003,Sports,3DO,180000,140000,0,5000000,360000
Robots,PS2,2005,Action,Vivendi Games,180000,140000,0,5000000,360000
NARC,PS2,2005,Shooter,Midway Games,180000,140000,0,5000000,360000
One Piece: Gigant Battle!,DS,2010,Fighting,Namco Bandai Games,0,0,360000,0,360000
Valkyrie Profile: Lenneth,PSP,2006,Role-Playing,Square Enix,170000,1000000,160000,2000000,360000
Tiger Woods PGA Tour 09,PSP,2008,Sports,Electronic Arts,7000000,190000,0,100000,360000
Metro: Last Light,X360,2013,Action,Deep Silver,170000,160000,0,3000000,360000
Tiger Woods PGA Tour 14,X360,2013,Sports,Electronic Arts,210000,130000,0,3000000,360000
LocoRoco 2,PSP,2008,Platform,Sony Computer Entertainment,210000,9000000,1000000,5000000,360000
Monster Rancher 3,PS2,2001,Simulation,Tecmo Koei,110000,9000000,140000,3000000,360000
The Incredibles: Rise of the Underminer,PS2,2005,Action,THQ,180000,140000,0,5000000,360000
Spider-Man: Shattered Dimensions,X360,2010,Action,Activision,240000,9000000,0,3000000,360000
BlazBlue: Calamity Trigger,X360,2009,Fighting,PQube,210000,8000000,4000000,3000000,360000
MechWarrior 2: 31st Century Combat,PS,1997,Simulation,Activision,200000,140000,0,2000000,360000
Earth Defense Force 2025,PS3,2013,Shooter,D3Publisher,4000000,3000000,270000,2000000,360000
Hamtaro: Ham-Ham Heartbreak,GBA,2002,Action,Nintendo,260000,100000,0,1000000,360000
Okage: Shadow King,PS2,2001,Role-Playing,Sony Computer Entertainment,140000,110000,8000000,4000000,360000
Press Your Luck 2010 Edition,Wii,2009,Misc,Ubisoft,330000,0,0,3000000,360000
Mobile Suit Z-Gundam,PS,1997,Action,Namco Bandai Games,0,0,340000,2000000,360000
Speed Racer: The Videogame,DS,2008,Racing,Warner Bros. Interactive Entertainment,290000,5000000,0,3000000,360000
NHL 2K10,Wii,2009,Sports,Take-Two Interactive,330000,1000000,0,3000000,360000
Assassin's Creed III,WiiU,2012,Action,Ubisoft,190000,130000,0,3000000,360000
Kirby's Dream Land 3,SNES,1997,Platform,Nintendo,0,0,360000,0,360000
Big Bass World Championship,PS,1997,Sports,Starfish,200000,140000,0,2000000,360000
NFL GameDay 2001,PS2,2000,Sports,Sony Computer Entertainment,180000,140000,0,5000000,360000
NBA 2K6,XB,2005,Action,Take-Two Interactive,270000,8000000,0,1000000,360000
Jurassic Park,NES,1993,Action,Ocean,250000,100000,0,1000000,360000
Mystical Ninja starring Goemon,N64,1997,Action,Konami Digital Entertainment,7000000,2000000,230000,4000000,360000
Tetrisphere,N64,1997,Puzzle,Nintendo,290000,6000000,0,0,360000
Saban's Power Rangers: Lightspeed Rescue,N64,2000,Action,THQ,290000,6000000,0,0,360000
Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,PSV,2013,Fighting,Marvelous Entertainment,130000,2000000,160000,5000000,360000
North American Hunting Extravaganza,Wii,2008,Sports,Zushi Games,330000,0,0,3000000,360000
World's Scariest Police Chases,PS,2001,Racing,Activision,200000,140000,0,2000000,360000
Guitar Hero: Smash Hits,PS3,2009,Misc,Activision,200000,110000,0,5000000,360000
Shaun Palmer's Pro Snowboarder,GBA,2001,Sports,Activision,260000,100000,0,1000000,360000
AMF Bowling World Lanes,Wii,2008,Sports,Bethesda Softworks,330000,0,0,3000000,360000
MechAssault 2: Lone Wolf,XB,2004,Simulation,Microsoft Game Studios,270000,8000000,0,1000000,360000
Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,120000,200000,0,4000000,360000
Hamster Club 3,GBA,2002,Simulation,Jorudan,0,0,350000,1000000,360000
Breath of Fire II,SNES,1994,Role-Playing,Laguna,0,0,360000,0,360000
Call of Duty: Ghosts,WiiU,2013,Shooter,Activision,230000,9000000,1000000,3000000,360000
LEGO Racers,PS,1999,Racing,LEGO Media,200000,140000,0,2000000,360000
NBA 2K12,Wii,2011,Sports,Take-Two Interactive,300000,3000000,0,2000000,360000
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,Ubisoft,330000,0,0,3000000,360000
Kinectimals: Now with Bears!,X360,2011,Misc,Microsoft Game Studios,270000,6000000,0,3000000,360000
ESPN NFL Football,XB,2003,Sports,Sega,270000,8000000,0,1000000,360000
ATV/Monster Truck Mayhem,DS,2007,Racing,"Destination Software, Inc",330000,0,0,2000000,360000
Naruto: Ultimate Ninja 3 (JP sales),PS2,2005,Fighting,Atari,0,0,360000,0,360000
Just Dance 2016,X360,2015,Misc,Ubisoft,230000,100000,0,3000000,360000
Worms: Open Warfare 2,DS,2007,Strategy,THQ,7000000,250000,0,4000000,360000
Rapala Pro Fishing,PS2,2004,Sports,Zoo Digital Publishing,180000,140000,0,5000000,360000
J-League Pro Soccer Club o Tsukurou '04,PS2,2004,Sports,Sega,0,0,360000,0,360000
Dark Void,PS3,2010,Action,Capcom,180000,120000,0,6000000,360000
James Bond 007: Legends,PS3,2012,Shooter,Activision,110000,170000,0,7000000,360000
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012,Strategy,Namco Bandai Games,0,0,360000,0,360000
WWE '12,Wii,2011,Fighting,THQ,240000,9000000,0,3000000,360000
Disney's The Haunted Mansion,PS2,2003,Platform,Take-Two Interactive,180000,140000,0,5000000,360000
Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,Sony Computer Entertainment,180000,140000,0,5000000,360000
Dance Dance Revolution 3rdMix,PS,2000,Simulation,Konami Digital Entertainment,0,0,330000,2000000,360000
Ryu Ga Gotoku Kenzan!,PS3,2008,Adventure,Sega,0,0,360000,0,360000
U-Sing,Wii,2009,Misc,Mindscape,0,320000,0,3000000,360000
Super Robot Taisen A,GBA,2001,Strategy,Banpresto,0,0,350000,1000000,360000
Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,330000,1000000,0,2000000,360000
Company of Heroes 2,PC,2013,Strategy,THQ,6000000,250000,0,5000000,360000
Defiance,PS3,2013,Shooter,Trion Worlds,190000,110000,0,5000000,360000
We Sing Deutsche Hits,Wii,2011,Misc,Nordic Games,0,310000,0,5000000,360000
Boxer's Road,PS,1995,Fighting,New,0,0,330000,2000000,360000
Frogs And Flies,2600,1981,Action,Mattel Interactive,330000,2000000,0,0,360000
DanceDanceRevolution,Wii,2010,Simulation,Konami Digital Entertainment,290000,4000000,0,2000000,360000
Harry Potter and the Chamber of Secrets,XB,2002,Action,Electronic Arts,270000,8000000,0,1000000,360000
EA Sports MMA,X360,2010,Fighting,Electronic Arts,230000,100000,0,3000000,360000
Toriko: Gourmet Survival!,PSP,2011,Role-Playing,Namco Bandai Games,0,0,360000,0,360000
South Park Rally,PS,1998,Racing,Acclaim Entertainment,200000,130000,0,2000000,360000
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Platform,Konami Digital Entertainment,0,0,360000,0,360000
Monopoly,PS3,2008,Misc,Electronic Arts,250000,6000000,0,4000000,360000
Mega Man Zero Collection,DS,2010,Platform,Capcom,210000,2000000,110000,2000000,360000
Arctic Thunder,PS2,2001,Racing,Midway Games,170000,140000,0,5000000,360000
G-Force,PSP,2009,Action,Electronic Arts,240000,7000000,0,5000000,360000
NHL 2K10,PS2,2009,Sports,Take-Two Interactive,170000,140000,0,5000000,360000
Football Manager Handheld 2010,PSP,2009,Sports,Sega,0,260000,0,9000000,360000
J-League Pro Soccer Club o Tsukurou!,DC,1999,Sports,Sega,0,0,360000,0,360000
Wonder Pets! Save the Animals!,DS,2008,Adventure,Take-Two Interactive,330000,0,0,2000000,360000
Formula 1 Championship Edition,PS,1997,Racing,Psygnosis,6000000,4000000,230000,2000000,360000
Shrek,XB,2001,Platform,TDK Mediactive,250000,100000,0,1000000,360000
CSI: Deadly Intent - The Hidden Cases,DS,2009,Adventure,Ubisoft,160000,160000,0,4000000,350000
SOCOM: Tactical Strike,PSP,2007,Shooter,Sony Computer Entertainment,320000,1000000,0,3000000,350000
Blasto,PS,1998,Action,Sony Computer Entertainment,200000,130000,0,2000000,350000
Trauma Center: Second Opinion,Wii,2006,Simulation,Nintendo,280000,2000000,3000000,3000000,350000
Backyard Baseball 2006,GBA,2005,Sports,Atari,250000,9000000,0,1000000,350000
Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,230000,9000000,0,3000000,350000
Cabela's Outdoor Adventures (2006),PS2,2005,Sports,Zoo Digital Publishing,170000,140000,0,5000000,350000
Nicktoons: Unite!,GC,2005,Adventure,THQ,270000,7000000,0,1000000,350000
Suikoden V,PS2,2006,Role-Playing,Konami Digital Entertainment,8000000,6000000,190000,2000000,350000
Picross 2,GB,1996,Puzzle,Nintendo,0,0,350000,0,350000
