Breed,height_low_cm,height_high_cm,weight_low_kg,weight_high_kg,Classification,obey,reps_lower,reps_upper,Person,Dog,Is_person,image_path,audio_path,power_dB
wire,,,,,,,,,,,,Images/n02095314-wire-haired_fox_terrier/n02095314_1033.jpg,,
airedale,,,,,,,,,,,,Images/n02096051-Airedale/n02096051_1110.jpg,,
boston_bull,,,,,,,,,,,,Images/n02096585-Boston_bull/n02096585_10452.jpg,,
scotch_terrier,,,,,,,,,,,,Images/n02097298-Scotch_terrier/n02097298_11346.jpg,,
soft,,,,,,,,,,,,Images/n02098105-soft-coated_wheaten_terrier/n02098105_1062.jpg,,
lhasa,,,,,,,,,,,,Images/n02098413-Lhasa/n02098413_12198.jpg,,
brittany_spaniel,,,,,,,,,,,,Images/n02101388-Brittany_spaniel/n02101388_1517.jpg,,
groenendael,,,,,,,,,,,,Images/n02105056-groenendael/n02105056_1018.jpg,,
kelpie,,,,,,,,,,,,Images/n02105412-kelpie/n02105412_1078.jpg,,
greater_swiss_mountain_dog,,,,,,,,,,,,Images/n02107574-Greater_Swiss_Mountain_dog/n02107574_1019.jpg,,
appenzeller,,,,,,,,,,,,Images/n02107908-Appenzeller/n02107908_1426.jpg,,
bull_mastiff,,,,,,,,,,,,Images/n02108422-bull_mastiff/n02108422_1013.jpg,,
eskimo_dog,,,,,,,,,,,,Images/n02109961-Eskimo_dog/n02109961_1032.jpg,,
brabancon_griffon,,,,,,,,,,,,Images/n02112706-Brabancon_griffon/n02112706_1041.jpg,,
miniature_poodle,,,,,,,,,,,,Images/n02113712-miniature_poodle/n02113712_1036.jpg,,
standard_poodle,,,,,,,,,,,,Images/n02113799-standard_poodle/n02113799_1207.jpg,,
mexican_hairless,,,,,,,,,,,,Images/n02113978-Mexican_hairless/n02113978_1069.jpg,,
japanese_spaniel,,,,,,,,,,,,Images/n02085782-Japanese_spaniel/n02085782_1059.jpg,,
toy_terrier,,,,,,,,,,,,Images/n02087046-toy_terrier/n02087046_1577.jpg,,
blenheim_spaniel,,,,,,,,,,,,Images/n02086646-Blenheim_spaniel/n02086646_1002.jpg,,
entlebucher,,,,,,,,,,,,Images/n02108000-EntleBucher/n02108000_1111.jpg,,
leonberg,,,,,,,,,,,,Images/n02111129-Leonberg/n02111129_1153.jpg,,
dhole,,,,,,,,,,,,Images/n02115913-dhole/n02115913_1067.jpg,,
african_hunting_dog,,,,,,,,,,,,Images/n02116738-African_hunting_dog/n02116738_10469.jpg,,
