Динозавр;Отряд;Семейство;Эпоха;Таз
dinosaurus#Цяньч1жоузавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Эдмон1тозавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Эдмон1тония;dinosaurus#Анкилозавры;dinosaurus#Нодозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Этони1кс;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Поздняя_юра;dinosaurus#Птицетозовый
dinosaurus#A2cheroraptor;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ac2rotholus;dinosaurus#Пахецелозавры;dinosaurus#Пахицефалозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ade2lolophus;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Adeo2papposaurus;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Aguja2ceratops;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ajkac2eratops;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ganzh2ousaurus;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Gargo2yleosaurus;dinosaurus#Анкилозавры;dinosaurus#Нодозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Genyo2dectes;dinosaurus#Тероподы;dinosaurus#Ceratosauridae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Halsz2karaptor;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Huaxi2aosaurus_aigahtens;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Indos2uchus;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Jaino2saurus;dinosaurus#Завроподы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Jakla2pallisaurus;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Jeyaw2ati;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Jinyu2npelta;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Kayen2tavenator;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Macha2irasaurus;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Macro2collum;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Magna2paulia;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Morel2ladon;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Nambal22ia;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Nanosa2urus;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Nanshi2ungosaurus;dinosaurus#Тероподы;dinosaurus#Теризинозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Natove2nator;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ojocer2atops;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Pararh2abdodon;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Qantas2saurus_intrepidus;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Qiaowa2nlong;dinosaurus#Завроподы;;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Sahaliy2ania;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#А2вимим;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А2гилизавр;;;dinosaurus#средняя_юра;
dinosaurus#А2густиния;dinosaurus#Завроподы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#А2дазавр;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А2дамантизавр;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#А2каинацефалус;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#А2крокантозавр;dinosaurus#Тероподы;dinosaurus#Кархародонтозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А2лиорам;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А2ллозавр;dinosaurus#Тероподы;dinosaurus#Аллозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А2льбалофозаурус;dinosaurus#Цератопсы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#А2льбертадромеус;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А2льбертацератопс;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#А2льбертозавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А2льбертоник;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А2льбинукус;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А2ляскацефале;dinosaurus#Пахицефалозавры;dinosaurus#Пахицефалозавриды;;dinosaurus#Ящеротазовый
dinosaurus#А2хиллезавр;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А2хшислепелта;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ба2лаур;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ба2ньцзи;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ба2шанозавр;dinosaurus#Стегозавры;dinosaurus#Стегозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Бе2тасучус;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Би2центенария;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Бэ2мбираптор;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Га2дрозавр;dinosaurus#Тероподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Га2спаринизавра;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Гас2тония;;;;
dinosaurus#Дат2онглонг;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Дей2ноних;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Жир2аффатитан;dinosaurus#Завроподы;dinosaurus#Брахиозавриды;dinosaurus#Поздняя_юра;dinosaurus#Ящеротазовый
dinosaurus#Зав2ролофы;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Зав2рорнитолест;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Игу2анодон;dinosaurus#Орнитоподы;dinosaurus#Iguanodontidae;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Кам2аразавр;dinosaurus#Завроподы;dinosaurus#Camarasauridae;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кан2ардиа;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Кан2сайгнат;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кар2нотавр;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кар2хародонтозавр;dinosaurus#Тероподы;dinosaurus#Кархародонтозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кау2диптерикс;dinosaurus#Тероподы;dinosaurus#Caudipterygidae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кен2трозавр;dinosaurus#Стегозавры;dinosaurus#Стегозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Кер2берозавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Лам2беозавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Лан2ьчжоузавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Маг2нозавр;dinosaurus#Тероподы;dinosaurus#Мегалозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Мак2рогрифозавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Нан2ькания;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ней2монгозавр;dinosaurus#Тероподы;dinosaurus#Теризинозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Оло2ротитан;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Пар2азавролоф;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Пах2иринозавр;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Пах2ицефалозавр;dinosaurus#Пахицефалозавры;dinosaurus#Пахицефалозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Пла2теозавр;dinosaurus#Завроподы;dinosaurus#Платеозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Про2бактрозавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Рад2жазавр;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Рах2иолизавр;dinosaurus#Цератозавры;dinosaurus#Абелизавриды;;dinosaurus#Птицетозовый
dinosaurus#Тал2арурус;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Тан2истрофеи;;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Тар2бозавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Тир2аннозавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Фук2уивенатор;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Фук2уизавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Хуа2янозавр;dinosaurus#Стегозавры;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Цен2агнатазия;dinosaurus#Тероподы;dinosaurus#Caenagnathidae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Цян2ьчжоузавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Эдм2онтозавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Эдм2онтония;dinosaurus#Анкилозавры;dinosaurus#Нодозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Это2никс;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Поздняя_юра;dinosaurus#Птицетозовый
dinosaurus#Ache3ro1raptor;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Acro3tho1lus;dinosaurus#Пахецелозавры;dinosaurus#Пахицефалозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Adel3olop1hus;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Adeo3pappo1saurus;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Aguj3acerat1ops;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ajka3ceratop1s;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Gan13zhousaurus;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Garg31oyleosaurus;dinosaurus#Анкилозавры;dinosaurus#Нодозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Geny3o1dectes;dinosaurus#Тероподы;dinosaurus#Ceratosauridae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Hals3zk1araptor;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Huax3iao1saurus_aigahtens;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Indo3such1us;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Jain3osaur1us;dinosaurus#Завроподы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Jakl3apalli1saurus;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#J1ey3awati;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ji1n3yunpelta;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Kay13entavenator;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Mach31airasaurus;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Macr3o1collum;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Magn3ap1aulia;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#More3lla1don;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#N1am3balia;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Na1n3osaurus;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Nan13shiungosaurus;dinosaurus#Тероподы;dinosaurus#Теризинозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Nato31venator;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ojoc3e1ratops;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Para3rh1abdodon;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Qant3ass1aurus_intrepidus;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Qiao3wanl1ong;dinosaurus#Завроподы;;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Saha3liyan1ia;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#А1ви3мим;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Аг1и3лизавр;;;dinosaurus#средняя_юра;
dinosaurus#Агу13стиния;dinosaurus#Завроподы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Адаз31авр;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Адам3а1нтизавр;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Акаи3на1цефалус;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Акро3кан1тозавр;dinosaurus#Тероподы;dinosaurus#Кархародонтозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#А1ли3орам;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ал1л3озавр;dinosaurus#Тероподы;dinosaurus#Аллозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Аль13балофозаурус;dinosaurus#Цератопсы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Альб31ертадромеус;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Альб3е1ртацератопс;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Альб3е1ртозавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Альб3е1ртоник;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Альб3и1нукус;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Аляс3к1ацефале;dinosaurus#Пахицефалозавры;dinosaurus#Пахицефалозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Ахил3л1езавр;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ахши3с1лепелта;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Бала3у1р;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Бань3ц1зи;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Баша3н1озавр;dinosaurus#Стегозавры;dinosaurus#Стегозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Бета3с1учус;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Бице3н1тенария;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Бэмб3и1раптор;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Гадр3о1завр;dinosaurus#Тероподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Гасп3а1ринизавра;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Гаст3о1ния;;;;
dinosaurus#Дато3н1глонг;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Дейн3о1них;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Жира3ф1фатитан;dinosaurus#Завроподы;dinosaurus#Брахиозавриды;dinosaurus#Поздняя_юра;dinosaurus#Ящеротазовый
dinosaurus#Завр3о1лофы;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Завр3о1рнитолест;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Игуа3н1одон;dinosaurus#Орнитоподы;dinosaurus#Iguanodontidae;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Кама3р1азавр;dinosaurus#Завроподы;dinosaurus#Camarasauridae;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кана3р1диа;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Канс3а1йгнат;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Карн3о1тавр;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Карх3а1родонтозавр;dinosaurus#Тероподы;dinosaurus#Кархародонтозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кауд3и1птерикс;dinosaurus#Тероподы;dinosaurus#Caudipterygidae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кент3р1озавр;dinosaurus#Стегозавры;dinosaurus#Стегозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Керб3е1розавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ламбе31озавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ланьч31жоузавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Магно31завр;dinosaurus#Тероподы;dinosaurus#Мегалозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Макро31грифозавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Наньк31ания;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Неймо331нгозавр;dinosaurus#Тероподы;dinosaurus#Теризинозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Олоро13титан;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Параз13авролоф;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Пахир13инозавр;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Пахиц13ефалозавр;dinosaurus#Пахицефалозавры;dinosaurus#Пахицефалозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Плате13озавр;dinosaurus#Завроподы;dinosaurus#Платеозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Проба13ктрозавр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Раджа13завр;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Рахио13лизавр;dinosaurus#Цератозавры;dinosaurus#Абелизавриды;;dinosaurus#Птицетозовый
dinosaurus#Талар13урус;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Танис13трофеи;;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Тарбо13завр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Тиран1нозавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Фукуи3в1енатор;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Фукуи3з1авр;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
