white_player;white_elo;black_player;black_elo;result;moves;site;date;slug;id;format;eco
Praggnanandhaa, Rameshbabu;2768;Dubov, Daniil;2674.0;1/2-1/2;41;Goa;2025-11-11;praggnanandhaa-dubov-r4.1-goa-2025-11-11;10592114;1;C89
Esipenko, Andrey;2681;Keymer, Vincent;2773.0;1/2-1/2;31;Goa;2025-11-11;esipenko-keymer-r4.1-goa-2025-11-11;10592112;1;C50
Aronian, Levon;2728;Wojtaszek, Radoslaw;2660.0;1-0;37;Goa;2025-11-11;aronian-wojtaszek-r4.1-goa-2025-11-11;10592111;1;C26
Shankland, Samuel L;2649;Rapport, Richard;2740.0;1/2-1/2;41;Goa;2025-11-11;shankland-rapport-r4.1-goa-2025-11-11;10592109;1;B31
Sevian, Sam;2701;Lodici, Lorenzo;2572.0;1/2-1/2;30;Goa;2025-11-11;sevian-lodici-r4.1-goa-2025-11-11;10592108;1;A13
Le, Quang Liem;2729;Karthik Venkataraman;2576.0;1/2-1/2;36;Goa;2025-11-11;le-karthik-r4.1-goa-2025-11-11;10592105;1;D02
Wei, Yi;2753;Maghsoodloo, Parham;2701.0;1/2-1/2;30;Goa;2025-11-11;wei-maghsoodloo-r4.1-goa-2025-11-11;10592104;1;B13
Vachier Lagrave, Maxime;2740;Grebnev, Aleksey;2617.0;1/2-1/2;27;Goa;2025-11-11;vachier-lagrave-grebnev-r4.1-goa-2025-11-11;10592103;1;C42
Leko, Peter;2660;Erigaisi, Arjun Kumar;2769.0;1/2-1/2;20;Goa;2025-11-11;leko-erigaisi-r4.1-goa-2025-11-11;10592102;1;B33
Nakamura, Hikaru;2813;Balakrishnan, Praveen;2505.0;1/2-1/2;15;Washington;2025-11-09;nakamura-balakrishnan-r5-washington-2025-11-09;10592099;1;D38
De Silva, L M S T;2400;Nakamura, Hikaru;2813.0;0-1;48;Washington;2025-11-09;de-silva-nakamura-r4-washington-2025-11-09;10592097;1;B22
Vachier Lagrave, Maxime;2746;Artemiev, Vladislav;2732.0;1-0;52;Goa;2025-11-09;vachier-lagrave-artemiev-r3.10-goa-2025-11-09;10592051;2;C55
Vachier Lagrave, Maxime;2746;Artemiev, Vladislav;2732.0;1-0;52;Goa;2025-11-09;vachier-lagrave-artemiev-r3.11-goa-2025-11-09;10592050;8;C55
Artemiev, Vladislav;2732;Vachier Lagrave, Maxime;2746.0;1-0;44;Goa;2025-11-09;artemiev-vachier-lagrave-r3.9-goa-2025-11-09;10592049;2;A04
Artemiev, Vladislav;2732;Vachier Lagrave, Maxime;2746.0;0-1;66;Goa;2025-11-09;artemiev-vachier-lagrave-r3.8-goa-2025-11-09;10592048;2;A04
Vachier Lagrave, Maxime;2746;Artemiev, Vladislav;2732.0;0-1;51;Goa;2025-11-09;vachier-lagrave-artemiev-r3.7-goa-2025-11-09;10592047;2;C55
Vachier Lagrave, Maxime;2741;Artemiev, Vladislav;2724.0;1/2-1/2;44;Goa;2025-11-09;vachier-lagrave-artemiev-r3.6-goa-2025-11-09;10592045;3;C55
Artemiev, Vladislav;2724;Vachier Lagrave, Maxime;2741.0;1/2-1/2;38;Goa;2025-11-09;artemiev-vachier-lagrave-r3.5-goa-2025-11-09;10592041;3;A04
Rapport, Richard;2716;Erdogmus, Yagiz Kaan;2444.0;1/2-1/2;122;Goa;2025-11-09;rapport-erdogmus-r3.4-goa-2025-11-09;10592038;3;B22
Artemiev, Vladislav;2724;Vachier Lagrave, Maxime;2741.0;1/2-1/2;74;Goa;2025-11-09;artemiev-vachier-lagrave-r3.4-goa-2025-11-09;10592037;3;A04
Gledura, Benjamin;2575;Wei, Yi;2758.0;1/2-1/2;60;Goa;2025-11-09;gledura-wei-r3.4-goa-2025-11-09;10592035;3;A13
Wei, Yi;2758;Gledura, Benjamin;2575.0;1-0;66;Goa;2025-11-09;wei-gledura-r3.3-goa-2025-11-09;10592023;3;C26
Vachier Lagrave, Maxime;2741;Artemiev, Vladislav;2724.0;1/2-1/2;58;Goa;2025-11-09;vachier-lagrave-artemiev-r3.3-goa-2025-11-09;10592021;3;C55
Erdogmus, Yagiz Kaan;2444;Rapport, Richard;2716.0;0-1;55;Goa;2025-11-09;erdogmus-rapport-r3.3-goa-2025-11-09;10592019;3;B30
Nakamura, Hikaru;2813;Diao, Matthew Guo;2310.0;1-0;58;Washington;2025-11-08;nakamura-diao-r3-washington-2025-11-08;10592016;1;D11
Ismayilova, Khanim;2025;Nakamura, Hikaru;2813.0;0-1;77;Washington;2025-11-08;ismayilova-nakamura-r2-chess.com-2025-11-08;10592015;1;B22
Liang, Awonder;2710;Svane, Rasmus;2614.0;1-0;66;Goa;2025-11-08;liang-svane-r3.2-goa-2025-11-08;10591963;1;D77
Erdogmus, Yagiz Kaan;2651;Rapport, Richard;2724.0;1/2-1/2;57;Goa;2025-11-08;erdogmus-rapport-r3.2-goa-2025-11-08;10591962;1;B40
Mamedyarov, Shakhriyar;2742;Grandelius, Nils;2645.0;0-1;51;Goa;2025-11-08;mamedyarov-grandelius-r3.2-goa-2025-11-08;10591961;1;A22
Martinez Alcantara, Jose Eduardo;2644;Abdusattorov, Nodirbek;2750.0;1-0;52;Goa;2025-11-08;martinez-alcantara-abdusattorov-r3.2-goa-2025-11-08;10591960;1;B22
Pranesh M;2630;Keymer, Vincent;2755.0;0-1;49;Goa;2025-11-08;pranesh-keymer-r3.2-goa-2025-11-08;10591959;1;C65
Donchenko, Alexander;2641;Giri, Anish;2759.0;1-0;47;Goa;2025-11-08;donchenko-giri-r3.2-goa-2025-11-08;10591958;1;E47
Gukesh, Dommaraju;2752;Svane, Frederik;2638.0;0-1;55;Goa;2025-11-08;gukesh-svane-r3.2-goa-2025-11-08;10591957;1;C50
Theodorou, Nikolas;2652;Sindarov, Javokhir;2721.0;0-1;49;Goa;2025-11-08;theodorou-sindarov-r3.2-goa-2025-11-08;10591956;1;D31
Praggnanandhaa, Rameshbabu;2771;Hovhannisyan, Robert;2633.0;1-0;42;Goa;2025-11-08;praggnanandhaa-hovhannisyan-r3.2-goa-2025-11-08;10591955;1;C43
Wei, Yi;2754;Gledura, Benjamin;2643.0;1/2-1/2;38;Goa;2025-11-08;wei-gledura-r3.2-goa-2025-11-08;10591953;1;C65
Vokhidov, Shamsiddin;2640;Erigaisi, Arjun Kumar;2773.0;1/2-1/2;51;Goa;2025-11-08;vokhidov-erigaisi-r3.2-goa-2025-11-08;10591952;1;C50
Vidit, Santosh Gujrathi;2716;Shankland, Samuel L;2654.0;1/2-1/2;66;Goa;2025-11-08;vidit-shankland-r3.2-goa-2025-11-08;10591948;1;C78
Le, Quang Liem;2729;Xiong, Jeffery;2648.0;1/2-1/2;40;Goa;2025-11-08;le-xiong-r3.2-goa-2025-11-08;10591945;1;A32
Aronian, Levon;2722;Salem, AR Saleh;2620.0;1/2-1/2;38;Goa;2025-11-08;aronian-salem-r3.2-goa-2025-11-08;10591941;1;B22
Vachier Lagrave, Maxime;2737;Artemiev, Vladislav;2646.0;1/2-1/2;31;Goa;2025-11-08;vachier-lagrave-artemiev-r3.2-goa-2025-11-08;10591940;1;C84
Wojtaszek, Radoslaw;2654;Fedoseev, Vladimir1;2720.0;1-0;20;Goa;2025-11-08;wojtaszek-fedoseev-r3.2-goa-2025-11-08;10591939;1;A40
Yu, Yangyi;2720;Narayanan, Sunilduth Lyna;2617.0;1/2-1/2;25;Goa;2025-11-08;yu-narayanan-r3.2-goa-2025-11-08;10591938;1;B35
Nakamura, Hikaru;2813;Dokka, Tanush;1788.0;1-0;57;Washington;2025-11-07;nakamura-dokka-r1-chess.com-2025-11-07;10591936;1;E68
Narayanan, Sunilduth Lyna;2617;Yu, Yangyi;2720.0;1/2-1/2;117;Goa;2025-11-07;narayanan-yu-r3.1-goa-2025-11-07;10591890;1;D38
Keymer, Vincent;2755;Pranesh M;2630.0;1/2-1/2;85;Goa;2025-11-07;keymer-pranesh-r3.1-goa-2025-11-07;10591889;1;A07
Fedoseev, Vladimir1;2720;Wojtaszek, Radoslaw;2654.0;0-1;77;Goa;2025-11-07;fedoseev-wojtaszek-r3.1-goa-2025-11-07;10591887;1;E35
Salem, AR Saleh;2620;Aronian, Levon;2722.0;0-1;59;Goa;2025-11-07;salem-aronian-r3.1-goa-2025-11-07;10591882;1;D30
Giri, Anish;2759;Donchenko, Alexander;2641.0;1/2-1/2;44;Goa;2025-11-07;giri-donchenko-r3.1-goa-2025-11-07;10591879;1;A33
Artemiev, Vladislav;2646;Vachier Lagrave, Maxime;2737.0;1/2-1/2;63;Goa;2025-11-07;artemiev-vachier-lagrave-r3.1-goa-2025-11-07;10591878;1;A38
Gledura, Benjamin;2643;Wei, Yi;2754.0;1/2-1/2;44;Goa;2025-11-07;gledura-wei-r3.1-goa-2025-11-07;10591876;1;A50
Xiong, Jeffery;2648;Le, Quang Liem;2729.0;0-1;53;Goa;2025-11-07;xiong-le-r3.1-goa-2025-11-07;10591875;1;D31
Abdusattorov, Nodirbek;2750;Martinez Alcantara, Jose Eduardo;2644.0;0-1;39;Goa;2025-11-07;abdusattorov-martinez-alcantara-r3.1-goa-2025-11-07;10591873;1;C41
Svane, Frederik;2638;Gukesh, Dommaraju;2752.0;1/2-1/2;34;Goa;2025-11-07;svane-gukesh-r3.1-goa-2025-11-07;10591871;1;B31
Sindarov, Javokhir;2721;Theodorou, Nikolas;2652.0;1/2-1/2;34;Goa;2025-11-07;sindarov-theodorou-r3.1-goa-2025-11-07;10591870;1;B23
Rapport, Richard;2724;Erdogmus, Yagiz Kaan;2651.0;1/2-1/2;32;Goa;2025-11-07;rapport-erdogmus-r3.1-goa-2025-11-07;10591868;1;C55
Erigaisi, Arjun Kumar;2773;Vokhidov, Shamsiddin;2640.0;1-0;30;Goa;2025-11-07;erigaisi-vokhidov-r3.1-goa-2025-11-07;10591867;1;D41
Grandelius, Nils;2645;Mamedyarov, Shakhriyar;2742.0;1/2-1/2;37;Goa;2025-11-07;grandelius-mamedyarov-r3.1-goa-2025-11-07;10591865;1;C80
Svane, Rasmus;2614;Liang, Awonder;2710.0;1/2-1/2;33;Goa;2025-11-07;svane-liang-r3.1-goa-2025-11-07;10591863;1;E73
Shankland, Samuel L;2654;Vidit, Santosh Gujrathi;2716.0;1/2-1/2;32;Goa;2025-11-07;shankland-vidit-r3.1-goa-2025-11-07;10591862;1;D38
Hovhannisyan, Robert;2633;Praggnanandhaa, Rameshbabu;2771.0;1/2-1/2;30;Goa;2025-11-07;hovhannisyan-praggnanandhaa-r3.1-goa-2025-11-07;10591860;1;C47
Blohberger, Felix;2431;Yu, Yangyi;2706.0;1/2-1/2;59;Goa;2025-11-06;blohberger-yu-r2.8-goa-2025-11-06;10591810;2;D38
Yu, Yangyi;2706;Blohberger, Felix;2431.0;1-0;134;Goa;2025-11-06;yu-blohberger-r2.7-goa-2025-11-06;10591798;2;A28
Artemiev, Vladislav;2724;Martirosyan, Haik M;2609.0;1-0;75;Goa;2025-11-06;artemiev-martirosyan-r2.4-goa-2025-11-06;10591771;3;A20
Abdusattorov, Nodirbek;2717;Makhnev, Denis;2522.0;1-0;71;Goa;2025-11-06;abdusattorov-makhnev-r2.4-goa-2025-11-06;10591768;3;C45
Mamedyarov, Shakhriyar;2701;Kantor, Gergely;2531.0;1-0;50;Goa;2025-11-06;mamedyarov-kantor-r2.4-goa-2025-11-06;10591757;3;A40
Martirosyan, Haik M;2609;Artemiev, Vladislav;2724.0;1/2-1/2;60;Goa;2025-11-06;martirosyan-artemiev-r2.3-goa-2025-11-06;10591744;3;D38
Makhnev, Denis;2522;Abdusattorov, Nodirbek;2717.0;1/2-1/2;56;Goa;2025-11-06;makhnev-abdusattorov-r2.3-goa-2025-11-06;10591736;3;D02
Kantor, Gergely;2531;Mamedyarov, Shakhriyar;2701.0;0-1;30;Goa;2025-11-06;kantor-mamedyarov-r2.3-goa-2025-11-06;10591728;3;C50
Aravindh, Chithambaram VR.;2711;Karthik Venkataraman;2579.0;0-1;89;Goa;2025-11-05;aravindh-karthik-r2.2-goa-2025-11-05;10591654;1;A07
Stremavicius, Titas;2531;So, Wesley;2756.0;1-0;72;Goa;2025-11-05;stremavicius-so-r2.2-goa-2025-11-05;10591652;1;D37
Nihal, Sarin;2700;Kourkoulos-Arditis, Stamatis;2583.0;1/2-1/2;63;Goa;2025-11-05;nihal-kourkoulos-arditis-r2.2-goa-2025-11-05;10591650;1;D37
Blohberger, Felix;2513;Yu, Yangyi;2720.0;1/2-1/2;53;Goa;2025-11-05;blohberger-yu-r2.2-goa-2025-11-05;10591647;1;C88
Nogerbek, Kazybek;2543;Gukesh, Dommaraju;2752.0;0-1;59;Goa;2025-11-05;nogerbek-gukesh-r2.2-goa-2025-11-05;10591645;1;B13
Giri, Anish;2759;Maksimovic, Bojan;2532.0;1-0;48;Goa;2025-11-05;giri-maksimovic-r2.2-goa-2025-11-05;10591642;1;C18
Kuybokarov, Temur;2535;Praggnanandhaa, Rameshbabu;2771.0;1/2-1/2;46;Goa;2025-11-05;kuybokarov-praggnanandhaa-r2.2-goa-2025-11-05;10591639;1;B08
Erigaisi, Arjun Kumar;2773;Petrov, Martin;2540.0;1-0;48;Goa;2025-11-05;erigaisi-petrov-r2.2-goa-2025-11-05;10591638;1;A28
Ganguly, Surya Shekhar;2573;Vachier Lagrave, Maxime;2737.0;1/2-1/2;44;Goa;2025-11-05;ganguly-vachier-lagrave-r2.2-goa-2025-11-05;10591633;1;B90
Niemann, Hans;2738;Lodici, Lorenzo;2560.0;1/2-1/2;39;Goa;2025-11-05;niemann-lodici-r2.2-goa-2025-11-05;10591629;1;C11
Piorun, Kacper;2557;Wei, Yi;2754.0;0-1;39;Goa;2025-11-05;piorun-wei-r2.2-goa-2025-11-05;10591624;1;E47
Warmerdam, Max;2582;Liang, Awonder;2710.0;0-1;39;Goa;2025-11-05;warmerdam-liang-r2.2-goa-2025-11-05;10591622;1;C53
Sindarov, Javokhir;2721;Petrov, Nikita;2576.0;1/2-1/2;33;Goa;2025-11-05;sindarov-petrov-r2.2-goa-2025-11-05;10591618;1;B63
Kantor, Gergely;2559;Mamedyarov, Shakhriyar;2742.0;1-0;41;Goa;2025-11-05;kantor-mamedyarov-r2.2-goa-2025-11-05;10591617;1;C77
Nepomniachtchi, Ian;2732;Ghosh, Diptayan;2573.0;0-1;46;Goa;2025-11-05;nepomniachtchi-ghosh-r2.2-goa-2025-11-05;10591615;1;C88
Keymer, Vincent;2755;Kovalev, Vladislav;2557.0;1-0;36;Goa;2025-11-05;keymer-kovalev-r2.2-goa-2025-11-05;10591613;1;A07
Fedoseev, Vladimir1;2720;Fier, Alexandr;2577.0;1/2-1/2;39;Goa;2025-11-05;fedoseev-fier-r2.2-goa-2025-11-05;10591611;1;D32
Abdusattorov, Nodirbek;2750;Makhnev, Denis;2525.0;1/2-1/2;34;Goa;2025-11-05;abdusattorov-makhnev-r2.2-goa-2025-11-05;10591609;1;C53
Jobava, Baadur;2573;Le, Quang Liem;2729.0;0-1;22;Goa;2025-11-05;jobava-le-r2.2-goa-2025-11-05;10591604;1;C45
Rapport, Richard;2724;Supi, Luis Paulo;2575.0;1-0;28;Goa;2025-11-05;rapport-supi-r2.2-goa-2025-11-05;10591602;1;B22
Oro, Faustino;2509;Vidit, Santosh Gujrathi;2716.0;1/2-1/2;34;Goa;2025-11-05;oro-vidit-r2.2-goa-2025-11-05;10591601;1;C67
Aronyak Ghosh;2514;Aronian, Levon;2722.0;1/2-1/2;35;Goa;2025-11-05;aronyak-aronian-r2.2-goa-2025-11-05;10591599;1;D35
So, Wesley;2756;Stremavicius, Titas;2531.0;1/2-1/2;107;Goa;2025-11-04;so-stremavicius-r2.1-goa-2025-11-04;10591582;1;C17
Yu, Yangyi;2720;Blohberger, Felix;2513.0;1/2-1/2;109;Goa;2025-11-04;yu-blohberger-r2.1-goa-2025-11-04;10591581;1;E21
Kourkoulos-Arditis, Stamatis;2583;Nihal, Sarin;2700.0;1/2-1/2;90;Goa;2025-11-04;kourkoulos-arditis-nihal-r2.1-goa-2025-11-04;10591580;1;A07
Gukesh, Dommaraju;2752;Nogerbek, Kazybek;2543.0;1/2-1/2;84;Goa;2025-11-04;gukesh-nogerbek-r2.1-goa-2025-11-04;10591579;1;A09
Kovalev, Vladislav;2557;Keymer, Vincent;2755.0;0-1;66;Goa;2025-11-04;kovalev-keymer-r2.1-goa-2025-11-04;10591576;1;C44
Makhnev, Denis;2525;Abdusattorov, Nodirbek;2750.0;1/2-1/2;66;Goa;2025-11-04;makhnev-abdusattorov-r2.1-goa-2025-11-04;10591573;1;D02
Petrov, Nikita;2576;Sindarov, Javokhir;2721.0;0-1;59;Goa;2025-11-04;petrov-sindarov-r2.1-goa-2025-11-04;10591572;1;E04
Liang, Awonder;2710;Warmerdam, Max;2582.0;1-0;60;Goa;2025-11-04;liang-warmerdam-r2.1-goa-2025-11-04;10591569;1;C65
Maksimovic, Bojan;2532;Giri, Anish;2759.0;1/2-1/2;80;Goa;2025-11-04;maksimovic-giri-r2.1-goa-2025-11-04;10591568;1;A45
Karthik Venkataraman;2579;Aravindh, Chithambaram VR.;2711.0;1/2-1/2;55;Goa;2025-11-04;karthikeyan-aravindh-r2.1-goa-2025-11-04;10591565;1;B33
Praggnanandhaa, Rameshbabu;2771;Kuybokarov, Temur;2535.0;1/2-1/2;60;Goa;2025-11-04;praggnanandhaa-kuybokarov-r2.1-goa-2025-11-04;10591564;1;D02
Fier, Alexandr;2577;Fedoseev, Vladimir1;2720.0;0-1;46;Goa;2025-11-04;fier-fedoseev-r2.1-goa-2025-11-04;10591561;1;B12
Petrov, Martin;2540;Erigaisi, Arjun Kumar;2773.0;0-1;37;Goa;2025-11-04;petrov-erigaisi-r2.1-goa-2025-11-04;10591553;1;C50
Supi, Luis Paulo;2575;Rapport, Richard;2724.0;0-1;41;Goa;2025-11-04;supi-rapport-r2.1-goa-2025-11-04;10591550;1;B41
Mamedyarov, Shakhriyar;2742;Kantor, Gergely;2559.0;1-0;33;Goa;2025-11-04;mamedyarov-kantor-r2.1-goa-2025-11-04;10591545;1;A22
Vidit, Santosh Gujrathi;2716;Oro, Faustino;2509.0;1/2-1/2;28;Goa;2025-11-04;vidit-oro-r2.1-goa-2025-11-04;10591540;1;C65
Vachier Lagrave, Maxime;2737;Ganguly, Surya Shekhar;2573.0;1-0;37;Goa;2025-11-04;vachier-lagrave-ganguly-r2.1-goa-2025-11-04;10591539;1;C00
Wei, Yi;2754;Piorun, Kacper;2557.0;1-0;26;Goa;2025-11-04;wei-piorun-r2.1-goa-2025-11-04;10591536;1;C53
Le, Quang Liem;2729;Jobava, Baadur;2573.0;1/2-1/2;31;Goa;2025-11-04;le-jobava-r2.1-goa-2025-11-04;10591535;1;A75
Aronian, Levon;2722;Aronyak Ghosh;2514.0;1-0;30;Goa;2025-11-04;aronian-aronyak-r2.1-goa-2025-11-04;10591530;1;C24
Lodici, Lorenzo;2560;Niemann, Hans;2738.0;1/2-1/2;43;Goa;2025-11-04;lodici-niemann-r2.1-goa-2025-11-04;10591529;1;C58
Ghosh, Diptayan;2573;Nepomniachtchi, Ian;2732.0;1/2-1/2;30;Goa;2025-11-04;ghosh-nepomniachtchi-r2.1-goa-2025-11-04;10591519;1;E39
Carlsen, Magnus;2839;Elsness, Frode;2418.0;1-0;36;Norway;2025-10-31;carlsen-elsness-r1.11-norway-2025-10-31;10581571;1;A30
Gukesh, Dommaraju;2752;Caruana, Fabiano;2789.0;1/2-1/2;44;Saint Louis;2025-10-29;gukesh-caruana-r18-saint-louis-2025-10-29;10581534;1;A46
Nakamura, Hikaru;2816;Carlsen, Magnus;2839.0;1/2-1/2;24;Saint Louis;2025-10-29;nakamura-carlsen-r18-saint-louis-2025-10-29;10581533;1;C47
Caruana, Fabiano;2789;Gukesh, Dommaraju;2752.0;1/2-1/2;57;Saint Louis;2025-10-29;caruana-gukesh-r17-saint-louis-2025-10-29;10581532;1;A20
Carlsen, Magnus;2839;Nakamura, Hikaru;2816.0;1/2-1/2;32;Saint Louis;2025-10-29;carlsen-nakamura-r17-saint-louis-2025-10-29;10581531;1;B21
Caruana, Fabiano;2789;Carlsen, Magnus;2839.0;0-1;74;Saint Louis;2025-10-29;caruana-carlsen-r16-saint-louis-2025-10-29;10581530;1;C85
Gukesh, Dommaraju;2752;Nakamura, Hikaru;2816.0;0-1;54;Saint Louis;2025-10-29;gukesh-nakamura-r16-saint-louis-2025-10-29;10581529;1;B38
Carlsen, Magnus;2839;Caruana, Fabiano;2789.0;1-0;57;Saint Louis;2025-10-29;carlsen-caruana-r15-saint-louis-2025-10-29;10581528;1;A04
Nakamura, Hikaru;2816;Gukesh, Dommaraju;2752.0;1/2-1/2;55;Saint Louis;2025-10-29;nakamura-gukesh-r15-saint-louis-2025-10-29;10581527;1;E36
Nakamura, Hikaru;2816;Caruana, Fabiano;2789.0;0-1;70;Saint Louis;2025-10-29;nakamura-caruana-r14-saint-louis-2025-10-29;10581526;1;B40
Carlsen, Magnus;2839;Gukesh, Dommaraju;2752.0;1-0;33;Saint Louis;2025-10-29;carlsen-gukesh-r14-saint-louis-2025-10-29;10581524;1;C71
Caruana, Fabiano;2789;Nakamura, Hikaru;2816.0;1/2-1/2;68;Saint Louis;2025-10-29;caruana-nakamura-r13-saint-louis-2025-10-29;10581523;1;B38
Gukesh, Dommaraju;2752;Carlsen, Magnus;2839.0;0-1;39;Saint Louis;2025-10-29;gukesh-carlsen-r13-saint-louis-2025-10-29;10581522;1;C90
Caruana, Fabiano;2789;Gukesh, Dommaraju;2752.0;1/2-1/2;56;Saint Louis;2025-10-28;caruana-gukesh-r12-saint-louis-2025-10-28;10581514;1;C70
Carlsen, Magnus;2839;Nakamura, Hikaru;2816.0;1-0;45;Saint Louis;2025-10-28;carlsen-nakamura-r12-saint-louis-2025-10-28;10581513;1;B27
Nakamura, Hikaru;2816;Carlsen, Magnus;2839.0;0-1;55;Saint Louis;2025-10-28;nakamura-carlsen-r11-saint-louis-2025-10-28;10581512;1;B00
Gukesh, Dommaraju;2752;Caruana, Fabiano;2789.0;0-1;36;Saint Louis;2025-10-28;gukesh-caruana-r11-saint-louis-2025-10-28;10581511;1;E90
Nakamura, Hikaru;2816;Gukesh, Dommaraju;2752.0;1/2-1/2;54;Saint Louis;2025-10-28;nakamura-gukesh-r10-saint-louis-2025-10-28;10581510;1;C47
Carlsen, Magnus;2839;Caruana, Fabiano;2789.0;0-1;45;Saint Louis;2025-10-28;carlsen-caruana-r10-saint-louis-2025-10-28;10581509;1;D23
Caruana, Fabiano;2767;Carlsen, Magnus;2808.0;1-0;39;Saint Louis;2025-10-28;caruana-carlsen-r9-saint-louis-2025-10-28;10581508;3;C67
Gukesh, Dommaraju;2752;Nakamura, Hikaru;2816.0;1/2-1/2;44;Saint Louis;2025-10-28;gukesh-nakamura-r9-saint-louis-2025-10-28;10581507;1;E46
Caruana, Fabiano;2789;Nakamura, Hikaru;2816.0;0-1;65;Saint Louis;2025-10-28;caruana-nakamura-r8-saint-louis-2025-10-28;10581506;1;A20
Gukesh, Dommaraju;2752;Carlsen, Magnus;2839.0;0-1;32;Saint Louis;2025-10-28;gukesh-carlsen-r8-saint-louis-2025-10-28;10581505;1;C50
Carlsen, Magnus;2839;Gukesh, Dommaraju;2752.0;1-0;48;Saint Louis;2025-10-28;carlsen-gukesh-r7-saint-louis-2025-10-28;10581504;1;A07
Nakamura, Hikaru;2816;Caruana, Fabiano;2789.0;0-1;28;Saint Louis;2025-10-28;nakamura-caruana-r7-saint-louis-2025-10-28;10581503;1;B30
Gukesh, Dommaraju;2752;Caruana, Fabiano;2789.0;1-0;36;Saint Louis;2025-10-27;gukesh-caruana-r6-saint-louis-2025-10-27;10581502;1;E62
Nakamura, Hikaru;2816;Carlsen, Magnus;2839.0;1/2-1/2;15;Saint Louis;2025-10-27;nakamura-carlsen-r6-saint-louis-2025-10-27;10581501;1;C67
Caruana, Fabiano;2789;Gukesh, Dommaraju;2752.0;0-1;65;Saint Louis;2025-10-27;caruana-gukesh-r5-saint-louis-2025-10-27;10581500;1;A20
Carlsen, Magnus;2839;Nakamura, Hikaru;2816.0;0-1;34;Saint Louis;2025-10-27;carlsen-nakamura-r5-saint-louis-2025-10-27;10581499;1;D01
Caruana, Fabiano;2789;Carlsen, Magnus;2839.0;0-1;67;Saint Louis;2025-10-27;caruana-carlsen-r4-saint-louis-2025-10-27;10581498;1;C53
Gukesh, Dommaraju;2752;Nakamura, Hikaru;2816.0;1/2-1/2;34;Saint Louis;2025-10-27;gukesh-nakamura-r4-saint-louis-2025-10-27;10581497;1;E62
Carlsen, Magnus;2839;Caruana, Fabiano;2789.0;1/2-1/2;61;Saint Louis;2025-10-27;carlsen-caruana-r3-saint-louis-2025-10-27;10581496;1;E94
Nakamura, Hikaru;2816;Gukesh, Dommaraju;2752.0;0-1;46;Saint Louis;2025-10-27;nakamura-gukesh-r3-saint-louis-2025-10-27;10581495;1;E46
Nakamura, Hikaru;2816;Caruana, Fabiano;2789.0;1-0;49;Saint Louis;2025-10-27;nakamura-caruana-r2-saint-louis-2025-10-27;10581494;1;E81
Carlsen, Magnus;2839;Gukesh, Dommaraju;2752.0;1/2-1/2;47;Saint Louis;2025-10-27;carlsen-gukesh-r2-saint-louis-2025-10-27;10581493;1;E10
Caruana, Fabiano;2789;Nakamura, Hikaru;2816.0;1-0;52;Saint Louis;2025-10-27;caruana-nakamura-r1-saint-louis-2025-10-27;10581492;1;B27
Gukesh, Dommaraju;2752;Carlsen, Magnus;2839.0;0-1;34;Saint Louis;2025-10-27;gukesh-carlsen-r1-saint-louis-2025-10-27;10581491;1;C41
Sokolovsky, Yahli;2539;Aravindh, Chithambaram VR;2711.0;1/2-1/2;93;Rhodes;2025-10-25;sokolovsky-aravindh-r7.46-rhodes-2025-10-25;10581426;1;B30
Stefanou, Dimitrios;2334;Nihal, Sarin;2700.0;0-1;59;Rhodes;2025-10-25;stefanou-nihal-r7.64-rhodes-2025-10-25;10581407;1;B40
Rodshtein, Maxim;2647;Wei, Yi;2754.0;0-1;63;Rhodes;2025-10-25;rodshtein-wei-r7.44-rhodes-2025-10-25;10581403;1;A13
Galopoulos, Nikolaos;2425;Mamedyarov, Shakhriyar;2742.0;0-1;51;Rhodes;2025-10-25;galopoulos-mamedyarov-r7.62-rhodes-2025-10-25;10581394;1;A81
Yu, Yangyi;2720;Steinberg, Nitzan;2554.0;1/2-1/2;52;Rhodes;2025-10-25;yu-steinberg-r7.45-rhodes-2025-10-25;10581379;1;D17
Rapport, Richard;2724;Kanakaris, Georgios;2382.0;1-0;52;Rhodes;2025-10-25;rapport-kanakaris-r7.63-rhodes-2025-10-25;10581375;1;A07
Erigaisi, Arjun Kumar;2773;Gelfand, Boris;2636.0;1/2-1/2;49;Rhodes;2025-10-25;erigaisi-gelfand-r7.43-rhodes-2025-10-25;10581374;1;B30
Giri, Anish;2759;Mastrovasilis, Dimitrios;2522.0;1-0;50;Rhodes;2025-10-25;giri-mastrovasilis-r7.61-rhodes-2025-10-25;10581365;1;D35
Vidit, Santosh Gujrathi;2716;Suleymanli, Aydin Elshan;2614.0;1/2-1/2;31;Rhodes;2025-10-25;vidit-suleymanli-r7.50-rhodes-2025-10-25;10581336;1;E01
Mamedov, Rauf;2655;Keymer, Vincent;2755.0;0-1;22;Rhodes;2025-10-25;mamedov-keymer-r7.49-rhodes-2025-10-25;10581320;1;C44
Fedoseev, Vladimir1;2720;Gukesh, Dommaraju;2752.0;1/2-1/2;31;Rhodes;2025-10-25;fedoseev-gukesh-r7.37-rhodes-2025-10-25;10581317;1;D38
Ben Ari, Yannay;2459;Vidit, Santosh Gujrathi;2716.0;0-1;57;Rhodes;2025-10-24;ben-ari-vidit-r6.14-rhodes-2025-10-24;10588303;1;A07
