Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Protocol,Class,Interface Type,Output Power,Data Rate,Receiver Sensitivity,Frequency,Operating Supply Voltage,Minimum Operating Temperature,Maximum Operating Temperature,Series,Packaging,Protocol - Bluetooth, BLE - 802.15.1,Protocol - WiFi - 802.11,Protocol - ANT, Thread, Zigbee - 802.15.4,Protocol - Sub GHz
603-BLE113-A-M256K,BLE113-A-M256K,Silicon Labs,https://ru.mouser.com/datasheet/2/368/Bluegiga_Technologies_BLE113_Datasheet-1203352.pdf,"6,281  In Stock",$18.31,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/BLE113-A-M256K?qs=wdFjVBeWcizaWJlbN78LqA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BLE113-A-M256K&utm_content=Silicon-Labs,Bluetooth 4.0,Bluetooth Low Energy (BLE),"I2C, SPI, UART",0 dBm,2 Mb/s,- 93 dBm,2.4 GHz,2 V to 3.6 V,- 40 C,+ 85 C,BLE113,"Cut Tape, MouseReel, Reel",Bluetooth,,,,,,
603-BLE112-A,BLE112-A-V1,Silicon Labs,https://ru.mouser.com/datasheet/2/368/Bluegiga_Technologies_BLE112_Datasheet-1203259.pdf,"17,270  In Stock",$18.31,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/BLE112-A-V1?qs=ScTHCgOnmkJ6UytbwX03ig==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BLE112-A-V1&utm_content=Silicon-Labs,Bluetooth 4.0,Bluetooth Low Energy (BLE),"SPI, UART, USB",3 dBm,2 Mb/s,- 85 dBm to - 91 dBm,,2 V to 3.6 V,- 40 C,+ 85 C,BLE112,"Cut Tape, MouseReel, Reel",BLE,,,,,,
308-BT840F,BT840F,Fanstel,https://ru.mouser.com/datasheet/2/915/BlueNor_BT840F_datasheets-1622692.pdf,"12,597  In Stock",$18.98,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Fanstel/BT840F?qs=wUXugUrL1qw0wTGnH5Bx8A==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT840F&utm_content=Fanstel,Bluetooth 5.0,Bluetooth Low Energy (BLE),"I2C, SPI, UART, USB",8 dBm,2 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 5.5 V,- 40 C,+ 85 C,BT840,"Cut Tape, Reel",Bluetooth,,,,,,
603-BLE113-A,BLE113-A-V1,Silicon Labs,https://ru.mouser.com/datasheet/2/368/Bluegiga_Technologies_BLE113_Datasheet-1203352.pdf,"8,096  In Stock",$20.32,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/BLE113-A-V1?qs=ScTHCgOnmkIx3LJwm3iLtQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BLE113-A-V1&utm_content=Silicon-Labs,Bluetooth 4.0,Bluetooth Low Energy (BLE),"I2C, SPI, UART",0 dBm,2 Mb/s,- 93 dBm,2.4 GHz,2 V to 3.6 V,- 40 C,+ 85 C,BLE113,"Cut Tape, MouseReel, Reel",Bluetooth,,,,,,
634-BGX13S22GA-V21R,BGX13S22GA-V21R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgx13s-datasheet-1800115.pdf,"1,277  In Stock",$10.02,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGX13S22GA-V21R?qs=w/v1CP2dgqrEbDwA6YVyeA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGX13S22GA-V21R&utm_content=Silicon-Labs,Bluetooth 5.0,Bluetooth Low Energy (BLE),,8 dBm,2 Mb/s,- 90.2 dBm,2.4 GHz,1.62 V to 3.6 V,- 40 C,+ 85 C,BGX13S,"Cut Tape, Reel",Bluetooth,,,,,,
359-ISP1907-HT-JT,ISP1907-HT-JT,Insight SiP,https://ru.mouser.com/datasheet/2/889/isp_ble_DS1907-1901910.pdf,152  In Stock,$23.59,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Insight-SiP/ISP1907-HT-JT?qs=%2B6g0mu59x7JELnIt48bXsw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ISP1907-HT-JT&utm_content=Insight-SiP,Bluetooth 5.1,,"ADC, I2C, ISC, NFC, PDM, UART, USB",8 dBm,2000 kb/s,,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 105 C,,Tray,Bluetooth,,,,,,
308-BT832A,BT832A,Fanstel,https://ru.mouser.com/datasheet/2/915/BlueNor_BT832_datasheets-1360461.pdf,"2,000  In Stock",$11.89,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Fanstel/BT832A?qs=wUXugUrL1qzU/tHKhxjfLQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT832A&utm_content=Fanstel,Bluetooth 5.0,Bluetooth Low Energy (BLE),"I2C, SPI, UART",4 dBm,1 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,BT832,"Cut Tape, Reel",Bluetooth,,,,,,
308-BT840,BT840,Fanstel,https://ru.mouser.com/datasheet/2/915/BlueNor_BT840F_datasheets-1622692.pdf,451  In Stock,$16.91,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Fanstel/BT840?qs=wUXugUrL1qwKnRfO7R7SwQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT840&utm_content=Fanstel,Bluetooth 5.0,Bluetooth Low Energy (BLE),"I2C, SPI, UART, USB",8 dBm,2 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 5.5 V,- 40 C,+ 85 C,BT840,"Cut Tape, MouseReel, Reel",Bluetooth,,,,,,
814-BT851,BT851,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/BT85x_Datasheet_-_v1_0-1590929.pdf,457  In Stock,$19.57,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BT851?qs=f9yNj16SXrJa4NB0X/ixxw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT851&utm_content=Laird-Connectivity,Bluetooth 4.2,Class 1,"2-Wire, GPIO, I2S, PCM, UART",,3 Mb/s,- 94 dBm,2.4 GHz,5 V,- 30 C,+ 85 C,,,Bluetooth,,,,,,
308-BM832A,BM832A,Fanstel,https://ru.mouser.com/datasheet/2/915/Fanstel_Corporation_03072019_BM832-1540072.pdf,"1,968  In Stock",$9.92,,,https://ru.mouser.com/ProductDetail/Fanstel/BM832A?qs=u16ybLDytRZCwQyjdWzEgg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM832A&utm_content=Fanstel,Bluetooth 5.0,Bluetooth Low Energy (BLE),"I2C, I2S, SPI, UART",4 dBm,1 Mb/s,- 89 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,BM832,"Cut Tape, Reel",Bluetooth,,,,,,
579-BM70BLES1FC2-0B0,BM70BLES1FC2-0B04AA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/Bluetooth_Low_Energy_BLE_Module_DS60001372K-2257931.pdf,236  In Stock,$11.97,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM70BLES1FC2-0B04AA?qs=w/v1CP2dgqqpDh2mKNR3aQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM70BLES1FC2-0B04AA&utm_content=Microchip-Technology,Bluetooth 4.2,Bluetooth Low Energy (BLE),Serial,0 dBm,-,- 90 dBm,2.4 GHz,1.9 V to 3.6 V,- 40 C,+ 85 C,BM70,Tray,BLE,,,,,,
727-CYBT-343026-01,CYBT-343026-01,Cypress Semiconductor,https://ru.mouser.com/datasheet/2/100/002-19525_CYBT-343026-01_EZ-BT_TM_WICED_MODULE-1375376.pdf,425  In Stock,$13.31,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBT-343026-01?qs=F5EMLAvA7ICuuTf70175xw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBT-343026-01&utm_content=Cypress-Semiconductor,Bluetooth 5.0,"Class 1, Class 2","I2C, SPI, UART",9 dBm,3 Mb/s,- 93.5 dBm,2.4 GHz,,- 30 C,+ 85 C,,"Cut Tape, MouseReel, Reel",BLE,,,,,,
634-BGM11S22F256GAV2,BGM11S22F256GA-V2,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgm11s-datasheet-1666168.pdf,517  In Stock,$13.58,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGM11S22F256GA-V2?qs=5aG0NVq1C4zz/5an3ZPxqA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGM11S22F256GA-V2&utm_content=Silicon-Labs,Bluetooth 4.2,Bluetooth Low Energy (BLE),"I2C, UART, USART",8 dBm,1 Mb/s,- 90 dBm,2.4 GHz,1.85 V to 3.8 V,- 40 C,+ 85 C,BGM11S,Tray,Bluetooth,,,,,,
634-BLED112-V1C,BLED112-V1C,Silicon Labs,https://ru.mouser.com/datasheet/2/368/BLED112_DataSheet-1666179.pdf,390  In Stock,$24.65,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/BLED112-V1C?qs=8HqIXBaaO6zjZ6K0tFUm5w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BLED112-V1C&utm_content=Silicon-Labs,,Bluetooth Low Energy (BLE),Serial,0 dBm,100 kb/s,- 91 dBm,2.4 GHz,3.6 V to 5.5 V,- 40 C,+ 85 C,BLED112,Cut Tape,BLE,,,,,,
727-CYBLE-214015-01,CYBLE-214015-01,Cypress Semiconductor,https://ru.mouser.com/datasheet/2/100/002-15923_CYBLE-214015-01_EZ-BLE_TM_CREATOR_MODULE-1485086.pdf,222  In Stock,$29.03,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBLE-214015-01?qs=wd5RIQLrsJhcYt83vZQWnA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBLE-214015-01&utm_content=Cypress-Semiconductor,Bluetooth 4.2,Bluetooth Low Energy (BLE),Serial,3 dBm,1 Mb/s,,2.4 GHz to 2.5 GHz,1.9 V to 5.5 V,- 40 C,+ 85 C,,"Cut Tape, MouseReel, Reel",BLE,,,,,,
308-BT840XE,BT840XE,Fanstel,https://ru.mouser.com/datasheet/2/915/BlueNor_BT840F_datasheets-1622692.pdf,666  In Stock,$31.90,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Fanstel/BT840XE?qs=wUXugUrL1qzg1yWpltDy7A==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT840XE&utm_content=Fanstel,Bluetooth 5.0,Bluetooth Low Energy (BLE),"I2C, SPI, UART, USB",21 dBm,1 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 5.5 V,- 40 C,+ 85 C,BT840,"Cut Tape, Reel",Bluetooth,,,,,,
727-CYBLE-224116-01,CYBLE-224116-01,Cypress Semiconductor,https://ru.mouser.com/datasheet/2/100/002-12524_CYBLE-224116-01_EZ-BLE_PSOC_XT_XR_BT_4.2-1219011.pdf,230  In Stock,$38.64,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBLE-224116-01?qs=1mbolxNpo8dwAL0FYHQudA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBLE-224116-01&utm_content=Cypress-Semiconductor,Bluetooth 4.2,Bluetooth Low Energy (BLE),"I2C, SPI, UART",9.5 dBm,1 Mb/s,- 95 dBm,2.4 GHz,2 V to 3.6 V,- 40 C,+ 105 C,,"Cut Tape, MouseReel, Reel",BLE,,,,,,
308-BC840M,BC840M,Fanstel,https://ru.mouser.com/datasheet/2/915/BlueNor_BC840_datasheets-1622924.pdf,295  In Stock,$22.39,,,https://ru.mouser.com/ProductDetail/Fanstel/BC840M?qs=u16ybLDytRZa5UIIAE9k/w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BC840M&utm_content=Fanstel,Bluetooth 5.0,Bluetooth Low Energy (BLE),"I2C, QSPI, SPI, UART, USB",,2 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 5.5 V,- 40 C,+ 85 C,BC840,,Bluetooth,,,,,,
814-BT860-SA,BT860-SA,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/BT860_Datasheet_-_v1_0-1590841.pdf,363  In Stock,$12.75,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BT860-SA?qs=f9yNj16SXrLspoPo4NalIA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT860-SA&utm_content=Laird-Connectivity,Bluetooth 4.2,Class 1,"2-Wire, GPIO, I2S, PCM, UART",8 dBm,4 Mb/s,- 94 dBm,2.4 GHz,3 V to 3.6 V,- 30 C,+ 85 C,,Cut Tape,Bluetooth,,,,,,
634-WT11U-E-AI56,WT11U-E-AI56,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wt11u-datasheet-1317532.pdf,441  In Stock,$43.24,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/WT11U-E-AI56?qs=8HqIXBaaO6yqta7kho9eNg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WT11U-E-AI56&utm_content=Silicon-Labs,Bluetooth 2.1 + EDR,Class 1,"GPIO, PCM, SPI, UART, USB",17 dBm,3 Mb/s,- 84 dBm,,3.2 V to 3.4 V,- 40 C,+ 85 C,WT11u,"Cut Tape, Reel",Bluetooth,,,,,,
727-CYBT-353027-02,CYBT-353027-02,Cypress Semiconductor,https://www.cypress.com/file/416356/download,999  In Stock,$17.92,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBT-353027-02?qs=qSfuJ%2Bfl/d6EVVA66oNxuQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBT-353027-02&utm_content=Cypress-Semiconductor,Bluetooth 5.0,"Bluetooth Low Energy (BLE), Class 1, Class 2","I2C, SPI, UART",12 dBm,,"- 93.5 dBm, - 96.5 dBm",2.402 GHz to 2.48 GHz,2.3 V to 3.6 V,- 30 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
727-CYBLE-013025-00,CYBLE-013025-00,Cypress Semiconductor,https://ru.mouser.com/datasheet/2/100/CYBLE-0130XX-00_EZ-BLE_WICED_MODULE-1375365.pdf,991  In Stock,$9.63,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBLE-013025-00?qs=F5EMLAvA7IA%2BPnWrPsxPuQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBLE-013025-00&utm_content=Cypress-Semiconductor,Bluetooth 4.1,"Bluetooth Low Energy (BLE), Class 2","I2C, SPI, UART",4 dBm,1 Mb/s,- 94 dBm,2.4 GHz,2.3 V to 3.63 V,- 30 C,+ 85 C,,"Cut Tape, MouseReel, Reel",BLE,,,,,,
308-BT832AF,BT832AF,Fanstel,https://ru.mouser.com/datasheet/2/915/BlueNor_BT832_datasheets-1360461.pdf,838  In Stock,$13.12,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Fanstel/BT832AF?qs=wUXugUrL1qxZrzNsYaytIA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT832AF&utm_content=Fanstel,Bluetooth 5.0,Bluetooth Low Energy (BLE),"I2C, SPI, UART",4 dBm,1 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,BT832,"Cut Tape, Reel",Bluetooth,,,,,,
579-64SPKS1MC100M2AA,BM64SPKS1MC1-00M2AA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/BM62_64_Bluetooth_Stereo_Audio_Module_DS60001403G-2325296.pdf,22  In Stock,$23.48,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM64SPKS1MC1-00M2AA?qs=u16ybLDytRaZnJpqpXAAgw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM64SPKS1MC1-00M2AA&utm_content=Microchip-Technology,Bluetooth 4.2,Class 1,UART,15 dBm,2 Mb/s,- 90 dBm,,3.2 V to 4.2 V,- 20 C,+ 70 C,BM64,Tray,Bluetooth,,,,,,
239-453-00006,453-00006,Laird Connectivity,https://www.lairdconnect.com/documentation/datasheet-bl651,882  In Stock,$9.80,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00006?qs=qSfuJ%2Bfl/d6BCV4KJz3xLg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00006&utm_content=Laird-Connectivity,Bluetooth 5.0,Bluetooth Low Energy (BLE),Serial,4 dBm,2 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,BL65x,"Cut Tape, MouseReel, Reel",Bluetooth,,,,,,
667-ENW-89854A3KF,ENW-89854A3KF,Panasonic,https://ru.mouser.com/datasheet/2/315/Panasonic_RF_Module_BT_LE__PAN1780AT_Series_-1947642.pdf,"1,000  In Stock",$27.00,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Panasonic/ENW-89854A3KF?qs=81r%2BiQLm7BSuNx4i33YnWw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ENW-89854A3KF&utm_content=Panasonic,Bluetooth 5.0,,"GPIO, UART, USB",8 dBm,2 Mb/s,- 92 dBm,2.4 GHz to 2.8 GHz,1.7 V to 5.5 V,- 40 C,+ 85 C,PAN1780-AT,"Cut Tape, Reel",Bluetooth,,,NFC,,,
727-CYBLE-013030-00,CYBLE-013030-00,Cypress Semiconductor,https://ru.mouser.com/datasheet/2/100/CYBLE-0130XX-00_EZ-BLE_WICED_MODULE-1375365.pdf,488  In Stock,$11.32,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBLE-013030-00?qs=%2BEew9%2B0nqrDRnZZTsNNv8Q==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBLE-013030-00&utm_content=Cypress-Semiconductor,Bluetooth 4.1,"Bluetooth Low Energy (BLE), Class 2","I2C, SPI, UART",4 dBm,1 Mb/s,- 94 dBm,2.4 GHz,1.62 V to 3.63 V,- 30 C,+ 85 C,,"Cut Tape, MouseReel, Reel",BLE,,,,,,
359-ISP1907-LL-RS,ISP1907-LL-RS,Insight SiP,https://ru.mouser.com/datasheet/2/889/isp_ble_DS1907-1901910.pdf,492  In Stock,$17.94,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Insight-SiP/ISP1907-LL-RS?qs=%2B6g0mu59x7KQiojEFRDwOQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ISP1907-LL-RS&utm_content=Insight-SiP,Bluetooth 5.1,,"ADC, I2C, ISC, NFC, PDM, UART, USB",4 dBm,2000 kb/s,,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,,"Cut Tape, Reel",Bluetooth,,,,,,
579-BM23SPKA1NB90B,BM23SPKA1NB9-0B02AA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/BM2x_Stereo_Module_Data_sheet_4-21-17-1366844.pdf,126  In Stock,$13.31,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM23SPKA1NB9-0B02AA?qs=y6ZabgHbY%2BxFM6z4W36tiA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM23SPKA1NB9-0B02AA&utm_content=Microchip-Technology,Bluetooth 4.1,Class 2,Serial,4 dBm,-,- 91 dBm,2.4 GHz,3.7 V,- 20 C,+ 70 C,BM23,Tray,Bluetooth,,,,,,
814-BT850-SA,BT850-SA,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/BT85x_Datasheet_-_v1_0-1590929.pdf,96  In Stock,$13.44,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BT850-SA?qs=f9yNj16SXrK0nTjqsBZKLw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT850-SA&utm_content=Laird-Connectivity,Bluetooth 4.2,Class 1,"2-Wire, GPIO, I2S, PCM, UART",8 dBm,3 Mb/s,- 94 dBm,2.4 GHz,3 V to 3.6 V,- 30 C,+ 85 C,,Cut Tape,Bluetooth,,,,,,
392-UDG-NRF52840,UDG-NRF52840,Crowd Supply,https://sourceforge.net/projects/blyst840/files/docs/,16  In Stock,$56.78,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Crowd-Supply/UDG-NRF52840?qs=hWgE7mdIu5Qg84hhYfYGcw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=UDG-NRF52840&utm_content=Crowd-Supply,,,,,,,,USB Dongles,,,,,,,,,,,
392-UDG-NRF52840C,UDG-NRF52840C,Crowd Supply,https://sourceforge.net/projects/blyst840/files/docs/,17  In Stock,$64.88,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Crowd-Supply/UDG-NRF52840C?qs=hWgE7mdIu5S1s5VHfDBGXw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=UDG-NRF52840C&utm_content=Crowd-Supply,,,,,,,,USB Dongles,,,,,,,,,,,
308-BC840,BC840,Fanstel,https://ru.mouser.com/datasheet/2/915/BlueNor_BC840_datasheets-1622924.pdf,19  In Stock,$18.17,,,https://ru.mouser.com/ProductDetail/Fanstel/BC840?qs=u16ybLDytRamFAj8atmjMQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BC840&utm_content=Fanstel,Bluetooth 5.0,Bluetooth Low Energy (BLE),"I2C, QSPI, SPI, UART, USB",,2 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 5.5 V,- 40 C,+ 85 C,BC840,,Bluetooth,,,,,,
727-CYBLE-416045-02,CYBLE-416045-02,Cypress Semiconductor,https://www.cypress.com/file/428336/download,41  In Stock,$23.96,,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBLE-416045-02?qs=qSfuJ%2Bfl/d4tWEquEtT6oQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBLE-416045-02&utm_content=Cypress-Semiconductor,Bluetooth 5.0,Bluetooth Low Energy (BLE),"I2C, SPI, UART",4 dBm,,- 93 dBm,2.4 GHz,1.71 V to 3.6 V,- 40 C,+ 85 C,,"Cut Tape, MouseReel, Reel",BLE,,,,,,
814-451-00003,451-00003,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/CS-PB-BL654-USB_v1_0-1649577.pdf,31  In Stock,$47.01,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/451-00003?qs=MLItCLRbWsxo9BB/Irm4GQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=451-00003&utm_content=Laird-Connectivity,Bluetooth 5.0,,,,,,,,,,BL65x,,Bluetooth,,,,,,
634-BGM11S12F256GAV2,BGM11S12F256GA-V2,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgm11s-datasheet-1666168.pdf,828  In Stock,$12.96,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGM11S12F256GA-V2?qs=5aG0NVq1C4ypi/m10Lud%2Bw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGM11S12F256GA-V2&utm_content=Silicon-Labs,Bluetooth 4.2,Bluetooth Low Energy (BLE),"I2C, UART, USART",3 dBm,1 Mb/s,- 90 dBm,2.4 GHz,1.85 V to 3.8 V,- 40 C,+ 85 C,BGM11S,Tray,Bluetooth,,,,,,
579-BM23SPKS1NB90B,BM23SPKS1NB9-0B02AA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/BM2x_Stereo_Module_Data_sheet_4-21-17-1366844.pdf,95  In Stock,$14.11,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM23SPKS1NB9-0B02AA?qs=y6ZabgHbY%2BzkwuRJuhroXA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM23SPKS1NB9-0B02AA&utm_content=Microchip-Technology,Bluetooth 4.1,Class 2,Serial,4 dBm,-,- 91 dBm,2.4 GHz,3.7 V,- 20 C,+ 70 C,BM23,Tray,Bluetooth,,,,,,
579-BM71BLE01FC2-B04,BM71BLE01FC2-0B04AA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/Bluetooth_Low_Energy_BLE_Module_DS60001372K-2257931.pdf,216  In Stock,$9.92,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM71BLE01FC2-0B04AA?qs=w/v1CP2dgqorRG6I8c9tdg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM71BLE01FC2-0B04AA&utm_content=Microchip-Technology,Bluetooth 4.2,Bluetooth Low Energy (BLE),Serial,0 dBm,-,- 90 dBm,2.4 GHz,1.9 V to 3.6 V,- 40 C,+ 85 C,BM71,Tray,BLE,,,,,,
814-BT860-ST,BT860-ST,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/BT860_Datasheet_-_v1_0-1590841.pdf,45  In Stock,$11.60,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BT860-ST?qs=f9yNj16SXrJyqQefRDWo0A==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT860-ST&utm_content=Laird-Connectivity,Bluetooth 4.2,Class 1,"2-Wire, GPIO, I2S, PCM, UART",8 dBm,4 Mb/s,- 94 dBm,2.4 GHz,3 V to 3.6 V,- 30 C,+ 85 C,,Cut Tape,Bluetooth,,,,,,
239-453-00006C,453-00006C,Laird Connectivity,https://www.lairdconnect.com/documentation/datasheet-bl651,56  In Stock,$10.57,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00006C?qs=qSfuJ%2Bfl/d6zW5mEnyw4/g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00006C&utm_content=Laird-Connectivity,Bluetooth 5.0,Bluetooth Low Energy (BLE),Serial,4 dBm,2 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,BL65x,Cut Tape,Bluetooth,,,,,,
579-BM70BLE01FC2-004,BM70BLE01FC2-0B04AA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/Bluetooth_Low_Energy_BLE_Module_DS60001372K-2257931.pdf,136  In Stock,$9.92,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM70BLE01FC2-0B04AA?qs=w/v1CP2dgqqil30MzjtVqw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM70BLE01FC2-0B04AA&utm_content=Microchip-Technology,Bluetooth 4.2,Bluetooth Low Energy (BLE),Serial,0 dBm,-,- 90 dBm,2.4 GHz,1.9 V to 3.6 V,- 40 C,+ 85 C,BM70,Tray,BLE,,,,,,
634-BGX13S22GA-V21,BGX13S22GA-V21,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgx13s-datasheet-1800115.pdf,141  In Stock,$13.37,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGX13S22GA-V21?qs=w/v1CP2dgqrSxwspCEWqZA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGX13S22GA-V21&utm_content=Silicon-Labs,Bluetooth 5.0,Bluetooth Low Energy (BLE),,8 dBm,2 Mb/s,- 90.2 dBm,2.4 GHz,1.62 V to 3.6 V,- 40 C,+ 85 C,BGX13S,Tray,Bluetooth,,,,,,
