brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
Icemobile,Rock,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 10,No,2011  June. Released 2011  July,Discontinued,109.7 x 46.6 x 15 mm (4.32 x 1.83 x 0.59 in),,,Dual SIM (Mini-SIM| dual stand-by),TFT  65K colors,1.77 inches (~19.3% screen-to-body ratio),128 x 160 pixels (~116 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,Yes,No,Yes,No,No,No,No,,Stereo FM radio,miniUSB (charging only),,Removable Li-Ion 800 mAh battery,Purple| Blue| Black| Red| Yellow,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rock.jpg
Icemobile,Tropical,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 10,No,2011  May,Discontinued,108.5 x 57 x 13.5 mm (4.27 x 2.24 x 0.53 in),81,2.86,Dual SIM (Mini-SIM| dual stand-by),TFT  65K colors,1.8 inches (~16.5% screen-to-body ratio),160 x 128 pixels (~114 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,VGA,No,Yes,Yes,No,Yes,No,,Stereo FM radio,miniUSB (charging only),,Removable Li-Ion 800 mAh battery,Black/Red| White/Black| Pink/Black,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-tropical-1.jpg
Icemobile,Tropical II,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 10,No,2011  May,Discontinued,99 x 55.5 x 12.9 mm (3.90 x 2.19 x 0.51 in),,,Dual SIM (Mini-SIM| dual stand-by),TFT  65K colors,1.8 inches (~18.6% screen-to-body ratio),160 x 128 pixels (~114 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,VGA,No,Yes,Yes,No,Yes,No,,Stereo FM radio,miniUSB (charging only),,Removable Li-Ion 800 mAh battery,Purple| Black| Red,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-tropical-ii-new.jpg
Icemobile,Rainbow II,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Yes,No,2011  April,Available. Released 2011  April,109 x 47 x 14.1 mm (4.29 x 1.85 x 0.56 in),78,2.75,Dual SIM (Mini-SIM| dual stand-by),TFT  65K colors,1.8 inches (~19.6% screen-to-body ratio),120 x 160 pixels (~111 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,0.3 MP,No,Yes,No,No,Yes,No,,Stereo FM radio,Yes,,Removable Li-Ion battery,Black| Blue| Red| Purple| Yellow,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rainbow2.jpg
Icemobile,Rainbow,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Yes,No,2011. Released 2011,Discontinued,109.7 x 57 x 15 mm (4.32 x 2.24 x 0.59 in),80,2.82,Dual SIM (Mini-SIM| dual stand-by),TFT  65K colors,1.8 inches (~16.0% screen-to-body ratio),120 x 160 pixels (~111 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,0.3 MP,No,Yes,No,No,Yes,No,,FM radio,No,,Removable Li-Ion 580 mAh battery,Black| Blue| Red| Pink| White,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rainbow.jpg
Icemobile,Twilight,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Yes,No,2010  December. Released 2010  October,Discontinued,88 x 59 x 14 mm (3.46 x 2.32 x 0.55 in),103,3.63,Dual SIM (Mini-SIM),TFT,1.8 inches (~19.3% screen-to-body ratio),240 x 320 pixels (~222 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),,,0.3 MP,Yes,No,No,Yes,Yes,No,,FM radio,No,,Removable Li-Ion 650 mAh battery,Black| White| Red,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-twilight.jpg
Innostream,INNO A20,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2005  July,Discontinued,93.9 x 46.4 x 23 mm (3.70 x 1.83 x 0.91 in),105,3.70,Mini-SIM,TFT  256K colors,,176 x 220 pixels,,,,,MMC,64 MB (128 MB optional),,2 MP| LED flash,No,No,No,No,No,No,,No,Yes,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/innostream-a20.gif
Innostream,INNO P10,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2005  June,Discontinued,91.9 x 44 x 23.8 mm (3.62 x 1.73 x 0.94 in),94,3.32,Mini-SIM,TFT  256K colors,,128 x 160 pixels,,,,,RS-MMC,,,1.3 MP| LED flash,No,Yes with stereo speakers,No,No,No,No,,No,,,Removable Li-Ion 830 mAh battery,Black| Silver| Red,,http://cdn2.gsmarena.com/vv/bigpic/innostream-p10.gif
Innostream,INNO A10,GSM,GSM 900 / 1800 ,,,,Class 10,No,2004  4Q,Discontinued,90 x 43 x 24 mm (3.54 x 1.69 x 0.94 in),86,3.03,Mini-SIM,TFT  256K colors,,128 x 160 pixels,,,,,No,128 MB,,1.3 MP| LED flash,No,Yes,No,No,No,No,,No,Yes,,Removable Li-Ion battery,Silver| Blue,,http://cdn2.gsmarena.com/vv/bigpic/ina10.gif
Innostream,INNO 75,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2004  2Q. Released 2004,Discontinued,82.5 x 44 x 23 mm (3.25 x 1.73 x 0.91 in),80,2.82,Mini-SIM,TFT  65K colors,,128 x 128 pixels,,,,,miniSD,,,VGA,No,No,No,No,No,No,,FM radio,,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/ininno75.gif
Innostream,INNO 50,GSM,GSM 900 / 1800 ,,,,Class 10,No,2004  1Q,Discontinued,88.6 x 44.5 x 22.5 mm (3.49 x 1.75 x 0.89 in),90,3.17,Mini-SIM,TFT  256K colors,,176 x 220 pixels| 11 lines,,,,,No,12 MB,,1.3 MP| LED flash,No,Yes with stereo speakers,No,No,No,No,,No,,,Removable Li-Ion battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/ininno50.gif
Innostream,INNO 36,GSM,GSM 900 / 1800 ,,,,Yes,No,2005  2Q,Cancelled,80 x 43 x 23.8 mm (3.15 x 1.69 x 0.94 in),76,2.68,Mini-SIM,TFT  256K colors,,128 x 143 pixels,,,,,No,,,VGA,No,No,No,No,No,No,,No,,,Removable Li-Ion battery,Silver| Red,,http://cdn2.gsmarena.com/vv/bigpic/innostream-36.gif
Innostream,INNO 79,GSM,GSM 900 / 1800 ,,,,Yes,No,2004  1Q,Discontinued,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),85,3.00,Mini-SIM,TFT  256K colors,,128 x 160 pixels| 11 lines,,,,,No,,,VGA,No,No,No,No,No,No,,No,,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/ininno79.gif
Innostream,INNO 78,GSM,GSM 900 / 1800 ,,,,Yes,No,2004  1Q,Discontinued,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),85,3.00,Mini-SIM,TFT  256K colors,,128 x 160 pixels| 11 lines,,,,,No,,,VGA,No,No,No,No,No,No,,No,,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/ininno78.gif
Innostream,INNO 30,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,No,2004  1Q,Discontinued,82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in),76,2.68,Mini-SIM,TFT  256K colors,,128 x 160 pixels| 11 lines,,,,,No,,,VGA,No,No,No,No,No,No,,No,,,Removable Li-Ion 650 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/ininno30.gif
Innostream,INNO 55,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2004  2Q,Discontinued,85 x 42 x 21.6 mm (3.35 x 1.65 x 0.85 in),88,3.10,Mini-SIM,TFT  256K colors,,128 x 160 pixels| 11 lines,,,,,No,,,VGA,No,Yes with stereo speakers,No,No,No,No,,No,,,Removable Li-Ion 830 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/ininno55.gif
Innostream,INNO 70,GSM,GSM 900 / 1800 ,,,,Yes,No,2004  1Q,Discontinued,90 x 52 x 22 mm (3.54 x 2.05 x 0.87 in),88,3.10,Mini-SIM,TFT  256K colors,,128 x 160 pixels| 11 lines,,,,,No,4 MB,,VGA| 180 deg. rotating lens,No,No,No,No,No,No,,No,,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/ininno70.gif
Innostream,INNO 99,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,No,2004  1Q,Discontinued,87 x 46 x 24 mm (3.43 x 1.81 x 0.94 in),91,3.21,Mini-SIM,TFT  256K colors,,128 x 160 pixels| 11 lines,,,,,No,,,VGA,No,Yes,No,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/ininno99.gif
Innostream,INNO 90,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,No,2004  1Q,Discontinued,87 x 46 x 26 mm (3.43 x 1.81 x 1.02 in),88,3.10,Mini-SIM,TFT  256K colors,,128 x 160 pixels| 11 lines,,,,,No,4 MB,,VGA,No,Yes,No,No,No,No,,No,,,Removable Li-Ion 680 mAh battery,Pearl White| Silver,,http://cdn2.gsmarena.com/vv/bigpic/ininno90.gif
Innostream,INNO 89,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,No,2004  1Q,Discontinued,88 x 43 x 24 mm (3.46 x 1.69 x 0.94 in),98,3.46,Mini-SIM,TFT  256K colors,,128 x 160 pixels| 11 lines,,,,,No,,,CIF,No,No,No,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,silver| white| blue,,http://cdn2.gsmarena.com/vv/bigpic/ininno89.gif
Innostream,INNO 80,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,No,2004  1Q,Discontinued,90 x 44 x 22 mm (3.54 x 1.73 x 0.87 in),97,3.42,Mini-SIM,TFT  256K colors,,128 x 160 pixels| 11 lines,,,,,No,,,CIF,No,Yes,No,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,Black| White| Silver,,http://cdn2.gsmarena.com/vv/bigpic/ininno80.gif
Innostream,INNO 120,GSM,GSM 900 / 1800 ,,,,No,No,2003  4Q,Discontinued,80 x 44 x 23.3 mm (3.15 x 1.73 x 0.92 in),81,2.86,Mini-SIM,LCD  65K colors,,128 x 144 pixels| 10 lines,,,,,No,,,,,Yes,No,No,No,No,,FM radio,,,Removable Li-Ion 740 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/ininno120.gif
Innostream,INNO 110,GSM,GSM 900 / 1800 ,,,,No,No,2003  4Q,Discontinued,80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in),80,2.82,Mini-SIM,LCD  65K colors,,128 x 144 pixels| 10 lines,,,,,No,,,,,Yes,No,No,No,No,,FM radio,,,Removable Li-Ion 740 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/ininno110.gif
Innostream,INNO 100,GSM,GSM 900 / 1800 ,,,,No,No,2003  4Q,Discontinued,80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in),80,2.82,Mini-SIM,LCD  65K colors,,128 x 144 pixels| 10 lines,,,,,No,,,,,Yes,No,No,No,No,,FM radio,,,Removable Li-Ion 740 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/ininno100.gif
iNQ,Cloud Touch,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,HSPA 7.2/5.76 Mbps,Yes,Yes,2011  February,Available. Released 2011  April,114 x 62 x 13 mm (4.49 x 2.44 x 0.51 in),122,4.30,Mini-SIM,TFT capacitive touchscreen  256K colors,3.5 inches (~51.6% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 2.2 (Froyo),600 MHz ARM 11,Qualcomm MSM7227 Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot)  4 GB included,512 MB,,5 MP| autofocus,No,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,2.1| A2DP| EDR,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1300 mAh battery,Black| White| Red,380,http://cdn2.gsmarena.com/vv/bigpic/inq-cloud-touch.jpg
iNQ,Cloud Q,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,HSPA,Yes,Yes,2011  February,Cancelled,-,,,Mini-SIM,TFT resistive touchscreen  256K colors,2.6 inches,400 x 240 pixels (~179 ppi pixel density),Android 2.2 (Froyo),600 MHz ARM 11,Qualcomm MSM7227 Snapdragon S1,Adreno 200,microSD  up to 8 GB (dedicated slot)  4 GB included,4 MB,,5 MP| autofocus,No,Yes,Yes,Wi-Fi 802.11 b/g,2.1| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer,Removable Li-Ion 1300 mAh battery,Black| White| Red,,http://cdn2.gsmarena.com/vv/bigpic/inq-cloud-q.jpg
iNQ,Chat 3G,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 2100 ,,HSPA 3.6/0.384 Mbps,Class 10,Class 10,2009  October. Released 2009  December,Discontinued,114.5 x 61 x 12.8 mm (4.51 x 2.40 x 0.50 in),122,4.30,Mini-SIM,TFT  256K colors,| -,320 x 240 pixels,,,,,microSD  up to 4 GB (dedicated slot),100 MB,,3.15 MP| autofocus,No,Yes,No,No,2.0| A2DP,Yes,,No,miniUSB 2.0,,Removable Li-Ion 1150 mAh battery,Various,110,http://cdn2.gsmarena.com/vv/bigpic/inq-chat-3g.jpg
iNQ,Mini 3G,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 2100 ,,HSPA 3.6/0.384 Mbps,Class 10,Class 10,2009  September. Released 2009  September,Discontinued,102.9 x 45.8 x 12.8 mm (4.05 x 1.80 x 0.50 in),90,3.17,Mini-SIM,TFT  256K colors,2.2 inches (~31.8% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,,,,microSD  up to 4 GB (dedicated slot),50 MB,,2 MP,No,Yes,No,No,2.0| A2DP,No,,No,miniUSB 2.0,,Removable Li-Ion 1150 mAh battery,Various,,http://cdn2.gsmarena.com/vv/bigpic/inq-mini-3g.jpg
iNQ,iNQ1,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 2100 ,,HSPA 3.6/0.384 Mbps,Class 10,Class 10,2009  February. Released 2009  May,Discontinued,97 x 47.6 x 14.4 mm (3.82 x 1.87 x 0.57 in),110,3.88,Mini-SIM,TFT  256K colors,2.2 inches (~32.5% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,,,,microSD  up to 4 GB (dedicated slot),50 MB,,3.15 MP,No,Yes,No,No,2.0| A2DP,No,,No,miniUSB 2.0,,Removable Li-Ion 1150 mAh battery,Various,,http://cdn2.gsmarena.com/vv/bigpic/inq1.jpg
Intex,Aqua Craze,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE,Yes,Yes,2016  January,Available. Released 2016  January,143.5 x 71.4 x 9 mm (5.65 x 2.81 x 0.35 in),165,5.82,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.3% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,Mediatek MT6735P,Mali-T720MP2,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Yes,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2500 mAh battery,Gray| White| Gold,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-craze.jpg
Intex,Aqua GenX,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 40(2300),HSPA  LTE,Yes,Yes,2015  August,Available. Released 2015  August,152.6 x 76.4 x 8.4 mm (6.01 x 3.01 x 0.33 in),175,6.17,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~71.5% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP3,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Yes,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 2850 mAh battery,White,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-genx.jpg
Intex,Aqua Ace,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE,Yes,Yes,2015  October,Available. Released 2015  October,145 x 71.5 x 6.7 mm (5.71 x 2.81 x 0.26 in),121.5,4.30,Dual SIM,Super AMOLED capacitive touchscreen  16M colors,5.0 inches (~66.5% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD  up to 256 GB (dedicated slot),16 GB,3 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Yes,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Po 2300 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-ace.jpg
Intex,Aqua Trend,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,LTE band 3(1800)| 40(2300),HSPA  LTE,Yes,Yes,2015  September,Available. Released 2015  September,144.5 x 72.5 x 8.9 mm (5.69 x 2.85 x 0.35 in),158.5,5.61,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD  up to 32 GB,16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Yes,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 3000 mAh battery,Champagne| silver| gray| black,,http://cdn2.gsmarena.com/vv/bigpic/intel-aqua-trend.jpg
Intex,IRist Smartwatch,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 1900 / 2100 ,,HSPA,Yes,Yes,2015  July,Available. Released 2015  August,44 x 44 x 14 mm (1.73 x 1.73 x 0.55 in),83,3.03,Micro-SIM,OLED capacitive touchscreen,1.56 inches (~40.5% screen-to-body ratio),240 x 240 pixels (~218 ppi pixel density),Android OS compatible,Dual-core 1.2 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP,No,Yes,No,Yes,Yes,Yes,,No,microUSB 2.0,Accelerometer| gyro| compass,Non-removable Li-Ion 600 mAh battery,Orange| pink| black,160,http://cdn2.gsmarena.com/vv/bigpic/intex-watch.jpg
Intex,Aqua 4G+,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 1(2100)| 3(1800)| 40(2300)| 41(2500),HSPA  LTE,Yes,Yes,2015  June,Available. Released 2015  June,140 x 71 x 9.5 mm (5.51 x 2.80 x 0.37 in),136.5,4.83,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~69.3% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.0 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD  up to 32 GB,16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 2300 mAh battery,White| Black,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-4g.jpg
Intex,Aqua Xtreme II,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2015  June,Available. Released 2015  June,140 x 71.9 x 7.9 mm (5.51 x 2.83 x 0.31 in),132,4.66,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~68.5% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Octa-core 1.4 GHz Cortex-A7,Mediatek MT6592M,Mali-450MP4,microSD  up to 32 GB,16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| gyro| proximity| compass,Non-removable Li-Ion 2000 mAh battery,White| Black| Champagne| Silver,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-xtreme-ii.jpg
Intex,Aqua Y2 Remote,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2015  February,Available. Released 2015  February,125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in),110,3.88,Dual SIM,IPS LCD capacitive touchscreen  16M colors,4.0 inches (~56.9% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.4.2 (KitKat),Dual-core 1.2 GHz Cortex-A7,Mediatek MT6572M,Mali-400,microSD  up to 32 GB,4 GB,512 MB RAM,5 MP| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1500 mAh battery,Blue| White| Gray,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-y2-remote.jpg
Intex,Aqua Xtreme,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2014  December,Available. Released 2014  December,144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in),119.5,4.23,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~68.7% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.0 (Lollipop),Octa-core 1.7 GHz Cortex-A7,Mediatek MT6592,Mali-450MP4,microSD  up to 32 GB,32 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 2000 mAh battery,Black| Gray| Red,,http://cdn2.gsmarena.com/vv/bigpic/intex-xtreme.jpg
Intex,Aqua Star L,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2015  January,Available. Released 2015  January,141 x 72.9 x 8 mm (5.55 x 2.87 x 0.31 in),130,4.59,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.0% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 5.0 (Lollipop),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582M,Mali-400MP2,microSD  up to 32 GB,8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,White| black,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-star.jpg
Intex,Aqua Star 2,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2015  February,Available. Released 2015  February,142 x 71.5 x 9 mm (5.59 x 2.81 x 0.35 in),122,4.30,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.9% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.2 GHz,Spreadtrum 7731,Mali-400,microSD  up to 32 GB,8 GB,1 GB RAM,8 MP| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,White| black| blue| gray,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-star2.jpg
Intex,Aqua Speed,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2015  February,Available. Released 2015  February,136 x 68 x 9 mm (5.35 x 2.68 x 0.35 in),120,4.23,Dual SIM,IPS LCD capacitive touchscreen  16M colors,4.5 inches (~60.4% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Android 4.4.2 (KitKat)| upgradable to 5.0 (Lollipop),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582M,Mali-400MP2,microSD  up to 32 GB,16 GB,2 GB RAM,8 MP| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1700 mAh battery,White| black| gray| coffee,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-speed.jpg
Intex,Aqua Power,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2014  November,Available. Released 2014  November,141 x 71.9 x 9.3 mm (5.55 x 2.83 x 0.37 in),160,5.64,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~68.0% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 4.4.2 (KitKat),Octa-core 1.4 GHz Cortex-A7,Mediatek MT6592M,Mali-450MP4,microSD  up to 32 GB,8 GB,1 GB RAM,8 MP| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Li-Ion 4000 mAh battery,White| black| blue| gray,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-power.jpg
Intex,Aqua Power +,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2015  April,Available. Released 2015  April,147 x 72 x 8.7 mm (5.79 x 2.83 x 0.34 in),156,5.50,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.0 (Lollipop),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582M,Mali-400MP2,microSD  up to 32 GB,16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 4000 mAh battery,Black/champagne| White/champagne| Champagne| Black/silver,,http://cdn2.gsmarena.com/vv/bigpic/intex-aqua-power-plus.jpg
