,complaint_text,Topic,User,TicketId,isClassifiedInto,isRoutedTo,isClassifiedBy
83,chase sapphire preferred and chase freedom unlimited without cause or giving me notice slashed my credit limit on both cards by and respectively i have made all payments on time and i always pay more than the minimum amount i had to make credit purchases to cover unforeseen expenses such as automotive repairs i called customer services and was told chase could slash my credit limit at anytime and they were not required to inform me this is unjustified and arbitrary on their part and i have been discriminated against for unknown reasons i explained i am a xxxx  veteran and now xxxx   from the xxxx xxxx i have always paid my financial obligations and by chase slashing my credit limit has severely damaged my credit scores and placed an undue burden on my finances the chase credit card corporation needs to be held accountable for their callous and mean spirited practices their reckless disregard for their customers is inexcusable chase slashed my credit limit on or about xxxx i request your assistance to rectify this matter because chase does not care about the consequences of their thoughtless decisions that in my case has caused an approximate points drop for my credit scores chase should explain to your bureau why they approved me in the first place and without notice decided with what i feel is malicious intent and they are in violation of the law as a citizen and consumer who has followed the law and common courtesy i will continue to pursue justice and notify my government representatives and the news media about chase bank credit they are greedy thoughtless cruel and unpatriotic corporate bullies please assist me in my efforts to expose their awful and illegal business model thank you for your assistance,1,UserID166,Ticket167,TechnicalDepartment,TechnicalDepartment,LogRegClassifier
84,on xxxxxxxx of xxxx there was a credit pull on my account and i did not have an account with them at the time and did not receive or create an account with them on that date i would like this inquiry removed that is reporting on xxxx thanks,3,UserID168,Ticket169,TrashDepartment,TrashDepartment,SequentialClassifier
85,"chase bank refuses to reverse a completely fraudulent charge from xxxx that was not authorized by me i have contacted both chase and xxxx to solve the matter amicably but they both refuse to reverse the charge that was billed fraudulently i informed both chase and xxxx that my computer had been accessed without my knowledge and billed as my xxxx and credit card credentials are saved in my computer my personal computer had a series of new browser history in which i had not searched websites i had not visited and numerous other indications that someone had been using my computer xxxx is taking advantage of the matter by agreeing that it was a fraudulent charge but keeping the money regardless 

they stated the following   my name is xxxx and i work here at xxxx 

thank you for reaching out although im sorry to hear about this situation 

we are also unable to intervene when credentials  ex  device  andor accounts are shared so we are unable to mediate or assist with this dispute  chase sapphire preferred has been equally unhelpful stating that xxxx  has supplied evidence of the charge   my ip address id and email   after i had already informed them that all the aforementioned is accessible from my computer as xxxx has a copy of my driver s licence saved as a verified user and there is a copy of my driver s licence my computer my computer was used  ip address match  and the login to my email and xxxx is saved and so is my credit card for quick checkout i have spoken to several representatives who are snarky condescending and smug 

the following is information regarding the fraudulent charge 

confirmation code xxxx total cost fri xxxxxxxx mon xxxxxxxx my card type  chase sapphire preferred if the matter is not resolved i am planing on legal action i am also filing a police report i will be closing all accounts with chase xxxx and prompting all of my family members to do the same",4,UserID170,Ticket171,FinanceDepartment,FinanceDepartment,LogRegClassifier
86,i overdrew my account due to errors related to my xxxx xxxx transactions for and on resulting in two overdraft fees of each one stoppayment fee of and additionally two returned payment fees of each on xxxx  bill of and my electric bill of i called many times to get those fees reversed they only waived out of the total of in overdraft and other fees charged to my checking account,4,UserID172,Ticket173,FinanceDepartment,FinanceDepartment,LogRegClassifier
87,i owe around to chase and am in a debt resolution program with xxxx xxxx xxxx i provided chase the number to xxxx xxxx xxxx and was told not to have any further contact with chase representatives as xxxx representatives would handle it as of friday xxxxxxxx i  have been receiving calls from xxxx xxxx formerly known as xxxx xxxx xxxx they are a credit collections company used by chase on friday i received calls on both xxxx and xxxx i received one call and today on xxxx i have received three calls one of these calls was a call to my office asking to speak to me however i was in a meeting the man who called was very aggressive to my boss who answered i checked with a lawyer and learned that repeated calls on the same day and calling my work are illegal practices calling my place of work puts my job at risk as stated before i have provided the number for xxxx xxxx xxxx whom they are supposed to be working with,0,UserID174,Ticket175,SalesDepartment,SalesDepartment,SequentialClassifier
88,"both of my credit card accounts with chase card services were recently closed i was told that one of the cards was closed for delinquent status and the other one was closed at management s discretion here are my reasons for not being able to stay on top of the credit card payments in a timely fashion 

i  account  ending in xxxx a  account  ending in xxxx had some significant fraudulent charges and i was waiting for the credits to come through ii  both credit card account numbers ending in xxxx and xxxx  a  my oldest daughter had a nervous breakdown and i had to take care of her over the last months i have attached a copy of the durable power of attorney which authorizes me to act on my daughter s behalf and hospital reports 
b  in addition to this i have my own business and i been in an ongoing battle xxxx xxxx over the xxxxxxxx account fraud and the investigation is still going on the fraud  purposely set up in the wrong account  has devastated my life and my business i have attached of the complaints i filed with the cfpb on xxxx xxxx 

chase card services did not want to hear any of the familypersonal issues i have dealt with over the last months  this issue actually dates back to xxxxxxxx when she had her first nervous breakdown and i have been working with my daughter ever since 

chase card services was very rude and insensitive especially telling me that they can close my accounts for any reason andor at anytime my problem with this is first they did not know all of the facts and second they may have closed the account for the wrong reason they told me that the systemcomputers makes the decision and there is nothing they can do and then i asked to speak to a human a supervisor who could make a decision after hearing all of the facts  the supervisor gets on the phone and basically says the same crap about the system and management is free to do whatever they want with the account and the decision is final i also offered to make a payment if they reopened at least one of the accounts and they refused 

these were lifechanging events and i was not able to handle these issues while helping my daughter i have a business and at least one credit card",1,UserID176,Ticket177,TechnicalDepartment,TechnicalDepartment,SequentialClassifier
89,"jp morgan and chase reported loans   xxxx  xxxx and  xxxx respectively  as  cancelled debt to the irs on my behalf in xxxxxxxx they sent s to a nonexistent address one that has never been used or reported by me or my cosigner the address they used is a splicing of separate addresses in different cities in the same state this cancellation was done after chase claims they made multiple attempts to contact my cosigner for repayment an arguable fact as my cosigner has absolutely no knowledge or paperwork to that affect though chase has her correct address and phone number  i have confirmed this through phone calls with chase 

my cosigner is a retired account and as such she keeps every scrap of paper concerning loans and financing she receives and she has no record of the loans chase reported cancellednor do i so i contacted chase to request copies of the original loan contracts as proof that the loans are in fact mine these loans do not show up on either of our credit reports so we are questioning where they came from 

my first phone call to chase was on xxxxxxxx i spoke to a woman named xxxx in the irs notice department she was  unable to provide further information  because chase no longer directly deals with student loans i could not get a direct number into chase so i contacted our local chase bank branch and spoke to xxxx on xxxxxxxx she took my information and sent an internal email in an attempt to either get the information i was seeking or to put me in touch with the people who could 

when i hadnt heard anything i reached back out to xxxx on xxxxxxxx she was helping someone else so my call was taken by the branch manager who took all of my information and filed a grievance on my behalf through chase s complaint and compliance department 

on xxxxxxxx i was contacted by xxxx  id  xxxx  with the complaint and compliance department she said my information had been given to the research team who would look into the loans when they completed their search she would be back in touch with what they found 

on xxxxxxxx xxxx called me back and said they had located specifics on the loans in question and directed me to the chase recovery and loan specialist department who would then be able to provide the appropriate documentation i was seeking 

on xxxxxxxx i contacted the loan specialist department and spoke to a woman who confirmed the loan numbers amounts and cosigner i asked why these loans were not showing up on any credit report and she stated that the loans  drop off as soon as they are cancelled  a statement that is absolutely false i requested copies of the original loan contracts and she said she would have them sent to me with no issue the contract was post marked xxxxxxxx and arrived xxxxxxxx however the contract she sent was not the correct loan contract it was not the correct dates amount or loan number

realizing that i wasnt getting anywhere my cosigner contacted chase on xxxxxxxx attempting to get the information i requested the man she spoke to again confirmed details but instead of sending contracts referred her to the irs for further questions 

on xxxxxxxx my cosigner again contacted chase to directly request contract copies for these loans on this phone call she was told she was not a cosigner and therefore could not be given any information or sent any contracts 

on xxxxxxxx i contacted chase again and spoke to loan specialist   xxxx who confirmed that my cosigner was in fact on the loans she said the original loans were taken out between xxxx she said loans were charged off xxxxxxxx letters sent in xxxx and reported cancelled in xxxx this time she could not confirm the address the s were sent to she said she had no idea where the address came from  she also corrected previous information given and confirmed that these loans should be on our credit reports  she offered to send me to the credit reporting dept to  fix  the non reported loans  i declined  she said she had requested copies of the original contracts as well as copies of the s for these loans to be sent to me in business days unfortunately the only documentation she sent were s with the wrong address i have still yet to receive a single piece of paper relating to these loan contracts

it has been months numerous phones calls and misinformation and i can not get any tangible proof that the loans reported cancelled on my name and social are in fact my loans and my responsibility i once again called chase on xxxxxxxx and asked to speak to a supervisor or someone in charge who could give me a definitive answer and send me concrete proof of these loans i was transferred to a voicemail left a very specific message with appropriate contact information and i have yet to receive a phone call back as of xxxxxxxx even though the voicemail greeting specifically states that a callback will take place within business hours",2,UserID178,Ticket179,TrashDepartment,TrashDepartment,LogRegClassifier
90,chase bank widely advertised a promotion offering to any individual who moved at least into its bank from an outside source and left it there for at least months based on this representation by chase i opened a new chase account and transferred from an outside bank into this account on three months have now elapsed and i have not received the as promised i messaged chase through their website and they said they can not find a coupon code associated with the account this sounds like an internal error that should have nothing to do with the they now owe me,0,UserID180,Ticket181,SalesDepartment,SalesDepartment,LogRegClassifier
91,on a technical training company charged my debit card for a product i did not request i called them for an online training course i needed to secure work and they told me to purchase the course from their website that day i followed their instructions but the course i was sent via email was not the course i requested from them i did not use the course they sent and called their agent immediately the agent blamed me for getting the incorrect course and demanded more money if i wanted the course i requested further attempts to get assistance from the company were not successful i contacted my bank to file a complaint my bank issued a temporary credit but later reversed the credit and awarded the money to the tech training company i hired a lawyer to attempt to resolve the issue but training company would not issue me the course i requested or give me my money back i tried to reopen the complaint with my bank but they told me i had no recourse i sent a letter to the executive office of the bank to register my grievance i still dont have my course or my money,4,UserID182,Ticket183,FinanceDepartment,FinanceDepartment,SVMClassifier
92,"on saturday xxxxxxxx and tuesday  i used chase quick pay with xxxx to submit two different payments  security deposit and month rent  that was required to move into a rental i was supposed to move into on saturday xxxxxxxx the home owner then tried to get more money out of me and i finally pieced together i was being scammed 

since xxxx was offered through my chase bank online portal i thought it was part of chase and i would be afforded protections 

after i realized i was being scammed i contacted chase and got the run around finally ending up talking to xxxx in the chase claims dept  xxxx  i was told xxxx not a part of chase and since my payments were pier to pier there was no obligation on the part of chase to help get my money back xxxx said i should have read the fine print and xxxx should only be used to send money to people i know 

if that is the case then chase should have had an upfront notice stating  you are aware that scam artists and pirates prefer xxxx because theres no recourse after they get your money and chase doesnt care  

ive done a lot of research on xxxx since getting scammed and i think it is bs that chase chose to partner with xxxx the number one tool used by scam artists because theres basically no verification required to set up an account and that chase promotes it as their own internal payment system giving the illusion id be afforded the same protections i get with the other chase family of products 

im also very upset that chase made it this easy for this scam artist to now have my personal information",0,UserID184,Ticket185,SalesDepartment,SalesDepartment,SequentialClassifier
93,"my mortgage is with chase my payments were being made by xxxx xxxx xxxx paying early each month xxxx was the provider of xxxx to chase evidently xxxx was sold to xxxx on xxxx transferred the files and told xxxx that chase said i was bankrupt and to terminate the processes xxxx did and did not pay chase any longer i have received no communication from anyone on this i was going to open a checking account at chase today and noticed that my mortgage had not been paid i called and they said that xxxx will not pay them and have terminated me to bankruptcy which i am not in since the mortgage holder would know after much pain i was able to get a mortgage verification letter sent to xxxx so they can restart my payments however i had to make a complete payment pay late fees and have now late payments that will be on my credit file and payment history 

xxxx was negligent with the files transfer and xxxx was also negligent by not actually reading the date of the data and contacting the mortgage company to verify the sack of errant files that were delivered 

what can be done i have now marks on my credit report and had to pay fees for something that was done to me no one will give me the records although they are about me and my finances i thought that i am entitled to all records about myself 

i am beyond upset and should have something done to remove the late payment recorded on me to the credit bureaus and filed to remove when a manual mortgage is run xxxx must have been really evil and xxxx doesnt really read what they are given or even contact the person xxxx did not let me know they were changing services 

i can provide only the mortgage verification from chase as the rest of the businesses refuse to provide written or electronic data they say that they only the computers transferred the files and were processed evidently xxxx did not use a human review process to read only accept checked fields of bad records",2,UserID186,Ticket187,TrashDepartment,TrashDepartment,SequentialClassifier
94,yes i open a xxxx account and another bank account apparently there was hacking to my xxxx account they block access to my chase account i called them and talk to them they told me i regain access and closed these accounts about year now and no avail i get same answers when i call,0,UserID188,Ticket189,SalesDepartment,SalesDepartment,LogRegClassifier
95,on my chase sapphire credit card received a charge in the amount of from xxxx which i did not authorize on i immediately opened a dispute in the local chase branch at that time chase gave me a temporary credit for the charge a few days later i canceled the card to refrain from my credit card being charged again fraudulently however on the unauthorized charge reappeared on my card again in addition on i received a letter from chase  written advising that they received verification of the charge yet it was a fraudulent charge that i did not authorize therefore it is impossible for their verification to be accurate and i should not be held responsible for the charge chase has closed the dispute and rebilled the charge amount of to my card plus interest i am not happy with the way this matter has been handled as a result i do not appreciate the security measures that chase offers in protecting my account from unauthorized usage,4,UserID190,Ticket191,FinanceDepartment,FinanceDepartment,SVMClassifier
96,"i wrote my husband a check which he deposited into chase bank atm machine the check was cashed and somehow the cancelled check ended up in the hands of a thief who washed it retyped it with a new amount and cashed it the funds were withdrawn from my credit union account 
the same thing happened again following a chase deposit the check was once again stolen washed and reissued to separate thieves and cashed by my xxxx xxxx 
chase is clearly the weak link someone within the chase institution stole the checks washed them and reissued them my husband had lengthy discussions with the branch manager in xxxx ct who was empathetic however it was clear that the corporate fraud department does not care 
this is a travesty and makes us feel very unsafe 

another incident happened in early xxxxxxxx my husband s business chase account was  robbed  by a thief from texas xxxx the thief had printed checks with his own name and address but had my husband s routing number and account number on the bottom the thief walked into a texas bank and the teller handed him the money it seems that for a huge bank their security is quite flawed 
yes we do have fraud alerts on the accounts but it seems to be ineffective",0,UserID192,Ticket193,SalesDepartment,SalesDepartment,LogRegClassifier
97,"chase freedom card was advertised to give cash back after months of a total of spent i clicked on the promotion that was online and that page took me to a application form which i filled out for the card discussion of this promotion is still active on the web by party credit card reviewers so i know its legitimate 

i called chase customer service today to ask when i should be receiving my sign up bonus since its been months and i met all their requirements listed on the web site i was told by a customer service rep they had eliminated the sign up bonus sometime in and that my card didnt qualify since i had missed the cut off i was not informed of an offer expiration date or cut off during my account application nor the promotional web site 

my complaint is their misleading and fraudulent use of  old  promotional web pages to rake applicants in just to claim later that the promotion had been eliminated a month before since i can not access the original web site anymore  unless i knew it was already going to be fraudulent  i do not have any hard proof or screen shot 

this is the classic bait and switch advertising that is skillfully used to reign in unaware customers since the company can blame  the internet  or  cookies  or  the browser  of not being up to date 

i would not give chase any credit card business and have discontinued doing business with them",1,UserID194,Ticket195,TechnicalDepartment,TechnicalDepartment,LogRegClassifier
98,"chase bank has their chase sapphire reserve cars that gives back on travel and dining 

i went to a parking lot and paid it showed up as bills and utilities  doesnt give and then a few days later i went to a taqueria for lunch and paid it showed up as automotive  which doesnt give chase bank is purposeful in trying to get out of paying the promised cash back",0,UserID196,Ticket197,SalesDepartment,SalesDepartment,SequentialClassifier
99,on xxxxxxxx i used a referral link to sign up for a chase freedom credit card and i got approved the referrer gets bonus and the referee gets bonus if spending within the first months the referrer confirmed receiving the xxxx points  i spent within the first months which can be confirmed with statements but the xxxx points  was not given on my account i called on xxxxxxxx chase account supervisor in xxxx mo call center stated they no longer have record of the promotion that i used to sign up this is unacceptable for a bank to not have this type of record that is less than year and months old i have a screenshot and link that i used confirm the bonus if spending within the first months chase denied my earned bonus and could be depriving other customers of their earned bonuses too,1,UserID198,Ticket199,TechnicalDepartment,TechnicalDepartment,LogRegClassifier
100,"to supervisor i wish to make a complaint regarding the case managment of xxxx xxxx i would like to bring to the attention that mr xxxx failed to properly communicate with me and my representative i received the following calls from mr xxxx    xxxx at xxxx xxxx he left voice mail 
xxxx at xxxx xxxx we spoke briefly and i asked him to call back at noon 
xxxx xxxx at xxxx xxxx he left voice mail 
xxxx at xxxx xxxx i left voice message for a return call his voice message indicated a return call within hours 
xxxx at xxxx xxxx i left another voice messsage for return call 

due to not returning my calls and the importance of my issues i reached out to my representive from xxxx who began making calls to mr xxxx on my behalf i am sure she made notes on the date and time she left several messages there was even a little joke on when mr xxxx was going to return her call she said  watch he is going to call her when he is about to walk out the door  later that day i forgot what day it was be mr xxxx sure enough called at xxxx according to his outgoing voice message he gets off at xxxx having dealt with sneaky tactics by chase for years i could only shack my head 

at the time i needed to speak directly with him having worked in an environment where i need to stay on top of clients and files i know that a supervisor needs to be notified when there is a failure to meet expectations i expected a phone call to verbally answer questions i did not get that nor did my representative",4,UserID200,Ticket201,FinanceDepartment,FinanceDepartment,LogRegClassifier
101,"complaint  chase bank has denied me from opening a checking account but is refusing to give an explanation  i have a chase credit card and have no issues with the credit card  chase bank timeline  notes on checking account denial  xxxxxxxx met with xxxx xxxx  private client banker  at xxxx xxxx xxxx location  opened checking account using a check from our xxxx xxxx xxxx personal checking account and a chase check  from a recently closed chase credit card  for was given pre printed checks and a deposit slip  chase total checking account  xxxx   xxxx mentioned that the account might be closed after a review is done but could not tell me any reason why i had no idea what this might be about and assumed this was boiler plate language and assumed that it wouldnt get closed  i electronically signed their documents  but did not receive copies  xxxxxxxx xxxx account alert screen shot of a new application inquiry  xxxxxxxx see email from chase debitatm xxxxxxxx see email from chase mobile app requesting that i sign into the mobile app to get electronic copies of the disclosures that were signed when opening the account note  since i no longer have the account i can no longer access these documents on xxxxxxxx i asked xxxx for a copy of these documents and received a printout of only the deposit account agreement and privacy notice 

xxxxxxxx xxxx  account alert of new account opening  xxxxxxxx see email from chase account tools xxxxxxxx received and activated the atm card  xxxx exp xxxxxxxx xxxxxxxx see email from chase get more from your new account xxxxxxxx by chance i discovered that the new checking account had been closed  no notification was received   it was discovered because we were locked out of our online access to our credit card  upon calling the number i talked to various people yielding various messages but no specifics were given as to why the account was closed  i was told that the account can no longer be maintained and the back office has decided to end the relationship  i was also told chase is not required to give a reasonthere is no specific reasonthe local branch can not give a reasonthe letter being sent will not have a reason i was informed that online credit card access would be reinstated once the checking account was officially closed but that i would have to call back and have the reinstatement done  i was told that the checking account was restricted on xxxxxxxx and that a letter dated xxxxxxxx would be mailed out  it doesnt make sense that the account was restricted on xxxxxxxx but i was able to activate the atm card on xxxxxxxx  this conversation was on a recorded line  i was hung up on xxxxxxxx credit scores from xxxx  xxxx   xxxx xxxx   xxxx xxxx   xxxx xxxxxxxx we met with xxxx and also with xxxx xxxx  branch manager vice president  to determine why this occurred as the number folks basically said that chase has decided effective xxxxxxxx to no longer maintain the relationship and would not give a reason why  they were unable to provide any clarity  xxxx called an internal department and they informed him that no specific reason could be given  xxxx eluded to seeing something in the system regarding a closed account from xxxx  xxxx but could not provide any specific information  xxxx said that the person on the phone said that chase is not required to disclose why the account was closed and that this was stated in the initial documents that were signed  i requested a paper copy of these documents and was given the deposit account agreement and privacy notice  i can not find where this is stated and it appears that chase bank has a history of not complying with the fair credit reporting act https  wwwconsumerfinancegovxxxx   xxxx said that she would investigate and get back to me or send it on to escalations xxxxxxxx see email to xxxx  xxxx local bank branch manager xxxxxxxx xxxx the afternoon mail i received three letters from chase  even though we were told that no specific reason would be given two of the letters dated xxxxxxxx  which appear to be identical letters  gave specific reasons stating inability to verify identity and referencing an xxxx  credit score of xxxx  these two letters have no contact phone number  i cant understand the bottom of the letters as it is not in english  the two letters were from chase in xxxx xxxx tx  the third letter dated xxxxxxxx from chase in xxxx ohio stated that my account was being blocked and would soon close because of information obtained from a consumer reporting agency xxxxxxxx see email from chase know your overdraft options inviting me to set up overdraft preferences xxxxxxxx see email from chase low balance alert xxxxxxxx phone call  on a recorded line  with xxxx in branch escalations  complaints dept  xxxx  xxxx ext  xxxx case  xxxx   my email to xxxx was sent on to him  he too stated that chase has decided to no longer maintain the relationship and that they were not required to give a specific reason why  he said that credit score has no bearing in decisions to open checking accounts and that he was unable to provide further specifics  he said  as i was also told by xxxx  xxxx  that credit and banking are separate and one does not influence the other  once a decision is made by chase bank then a generic response is given and specifics are not provided  he said that this was the end of the line and that i have no other recourse or resources to contact and that my only option would be to subpoena chase bank to try an obtain the reason why  he said that he doesnt see in his system the letters dated xxxxxxxx but suggested i call the number on these letters i let him know that there was no phone number on the letters  he said that the other department that was supplying him information was the banking loss prevention department and they stated that there were no letters sent out siting specifics i read him the letters and suggested that he get a copy of them from xxxx since i am not allowed to email him directly  he said that specifics stay internal and that a subpoena would be the only way to possibly be able to obtain any specifics as to why the account was closed  he mentioned seeing something about a closed account in xxxx but was not allowed to give specifics  i asked him to dig further by obtaining the letters from xxxx  and to call me back xxxxxxxx phone call  on a recorded line  from xxxx he got the letters from xxxx and forwarded them to the back offices  he again said that the credit score has no bearing on their decision even though all of the letters reference xxxx   he said that no human was used to create the letters dated xxxxxxxx and this was just a generic automatic thing  he stated the bank does not want to bank with me  he said that a review was done after the account was opened and that is why it is now closed  he stated that xxxx should not have opened the account in the first place based on the notes that are in the system and that a note was in their system to not enter into a banking relationship with me even those i have had credit cards with chase  he again stated that banking  credit are two separate things  i pressed and pressed for what my next steps were and he stated that this is the end of the line based on actions occurring in xxxx and an alert in their system to not open an account with me  he said that the decision is final and that there is no further recourse for me  upon further pressing he did say that i could write to the executive offices  chase bank xxxx xxxx  xxxx xxxx ohio xxxx  but that i can not call them or email them and it that it is unlikely that this will yield resolution without a subpoena xxxxxxxx started process of requesting specialized consumer disclosure reports 

xxxxxxxx received refund check from chase  dated xxxxxxxx  for the initial account opening amount of note on check stub said  we closed your account  s  and attached a check for the remaining balance  s  

xxxxxxxx received marketingmail inviting me to open a chase checking account xxxxxxxx email with xxxx xxxx xxxx  in mt  requesting to find out any derogatory information that may have been submitted to xxxx on me personally or on my businesses  xxxx    relations with xxxx xxxx xxxx have spanned over years and there were no derogatory issues 

xxxxxxxx received xxxx report with no information on file xxxxxxxx received xxxx   report with no information found  only social security number validation in xxxx   xxxxxxxx will proceed with consumer financial protection bureau complaint contact information  xxxx xxxx xxxx private client banker nmls id  xxxx  xxxx  xxxx xxxx xxxx xxxx xxxx nmls id  xxxx  xxxx  xxxx xxxx branch escalations  complaints dept  xxxx  xxxx ext  xxxx",0,UserID202,Ticket203,SalesDepartment,SalesDepartment,SVMClassifier
102,they have not provided me a copy of any original documentation required under section a   a   section a   a   a consumer contract with my signature on it and verification of my identity before entering into a contract  and under section a  of the fcra you are required to promptly delete all information which can not be verified the law is very clear as to the civil liability and the remedy available to me for negligent noncompliance  section if you fail to comply,3,UserID204,Ticket205,TrashDepartment,TrashDepartment,LogRegClassifier
103,"good evening on i purchased a xxxx xxxx ticket using chase ultimate rewards points with my chase sapphire reserve credit card xxxx xxxx canceled my return flight and issued me a partial refund for xxxx informed me on that the refund was processed its been weeks and chase refuse to refund my account 
i waited the appropriate amount of time for the refund to appear on my account but it never did i contacted chase card services using the secure messages feature and informed them of the issue chase told me the refund processed to a different credit card number from the one i have and that id need to work out my refund with the airline i contacted xxxx again who informed me that when a customer books a flight with credit card points the credit card company itself reserves the flight through a partnered travel agency and that xxxx had reimbursed chase s partnered travel agency because xxxx can only reimburse in the exact method in which the flight was reserved 
a xxxx representative told me to contact chase again and tell the credit card company to reach out to their agency confirm the reimbursement and then forward the refund to my account i messaged chase on and told them this issue and asked them to confirm my refund with their agency chase sent me a repeat semiautomated response to contact xxxx again and claimed that i hadnt booked the flight using chase  even though i definitely booked the flight with chase ultimate rewards points and i have the email confirmation to prove it  chase customer service is sending me in circles refusing to follow up with their own travel agency refusing to read the messages i sent them with pertinent information and refusing to process my refund to my account i have spent over twenty hours contacting chase and two months of frustration waiting for my refund 
furthermore when i spoke to a chase representative on the phone on xxxxxxxx she was less than helpful she told me xxxx cancelled my return flight because id failed to arrive at the airport for my departing flight  this was false and easily disproved id flown on the departing flight the day before  she was also unable to receive emails so i couldnt show her the xxxx flight or refund information when i learned i could not forward documents to chase employees while on the phone i decided to use the secure messaging but this method of communicating with chase has proven just as ineffective 
i am attaching to this complaint all of my messages with chase proof that xxxx processed my refund and proof that i purchased the flight through chase",1,UserID206,Ticket207,TechnicalDepartment,TechnicalDepartment,SVMClassifier
104,i closed my chase checking account online on via chase s secure messaging system and requested to have the remaining balance sent to me by check for the amount of approximately i was told the check would be sent out within seven business days i never received the check and recontacted chase via their secure message system on to inquire on the status of my check i was told again it would take seven business days until a check would be sent out to me which i responded that i had already waited well past seven business days i was then told the next day that i needed to physically go into a chase branch to fill out a for for declaration of lost stolen or destroyed cashier s check and have it notarized i initially refused because my work schedule does not allow me to easily go to any of chase s branches however i relented after a few days due to the stress this situation was causing after going into the xxxx virginia chase branch on i waited for service for about an hour before finally speaking with a representative whose name was xxxx xxxx xxxx told me i would have to fill out the form and that i would be able to get a new check that day in the branch however after filling out all of the paperwork i was then told that i could not actually receive a check that day because i had cancelled the account online and not in a physical store this seemed absurd to me since i was physically in a chase bank and chase should be able to cancel their own checks and write their own checks or so i thought regardless i left after being told i would have my check overnighted to me most likely by tuesday  and that someone would contact me on monday  neither of these things happened additionally i contacted xxxx using the business card she gave me on my trip into the branch on the following saturday her coworker answered her phone and told me she would be busy all day and would not be able to contact me until monday i asked xxxx s coworked if she could inquire about my check to which i was told she could not and that i would have to wait until monday at this point i am very concerned that i will not be receiving my funds which i have been waiting for for nearly a month since closing my account i dont know if the incompetency of chase s checkingmailing system is something that can be fixed but i am contemplating getting a lawyer if i do not receive my check by the end of this week i have spent hours on the phone writing emails going into chase s branch etc all for the purpose of trying to get my money back this is completely unacceptable and i dont know where else to turn from here,0,UserID208,Ticket209,SalesDepartment,SalesDepartment,SequentialClassifier
105,"hello my claim refers to two transactions made through xxxx from the bank chase that ended up in the wrong hands for reasons beyond my control and has resulted in money lost without response 
it happened as explained  i have check accounts with xxxx xxxx and chase in xxxx xxxx i had xxxx configured with my phone number with chase xxxx used my email on xxxxxxxx i changed my phone number on xxxx  for scam call harassment days later xxxxxxxx i updated my information on the xxxx xxxx website by putting my new phone number i made a transaction of xxxx using xxxx from chase as i usually do using my new number and trusting that everything was fine the next day xxxx my wife calls me saying there was not enough money in the joint xxxx xxxx account and i send xxxx more and then i verify and surprise  no transaction ever arrived quickly from my work center i call chase and xxxx xxxx to get an answer and they tell me that it can not be canceled 
i personally went to both banks and they just told me that that phone number was anchored to the previous owner of the number in the xxxx xxxx xxxxi called xxxx  and they tell me that number had not been used for monthsi updated my profile in xxxx xxxx on time as it was possible that it turns out that although your data is correctly updated in the profile in the xxxx xxxx system you can not register that phone in xxxx if it is anchored to another bank but chase having been informed of the problem to try to give quick solution like cancellation or something never did anything and the money was mine and left chase at the wrong hands i made a claim in chase with number xxxx they washed their hands passing the claim to xxxx with number xxxx tried to communicate with the customer service in xxxx and it is  impossible to reach because they always refer you to your banking institution and i have not even received any answer by email from them just total silence 
yesterday xxxxxxxx after several attempts to recover my money i have called to chase and they tell me that the back office tried to recover the money from the xxxx  xxxx xxxx and it was not possible so simple as thatthis shows that the xxxx system is not at all safe but also demonstrates the incompetence of a bank as chase to fairly solve a situation that i was not guilty of because simply i did everything i had to do at the time i used my own phone number update my information as required and so and all the money has been lost thats why i ask for a refund of my money to chase as it should be",0,UserID210,Ticket211,SalesDepartment,SalesDepartment,SequentialClassifier
106,through my chase moblie app someone who i do not know requested money from me i accidentally hit accept i called my bank to file a claim and told them it was fraudscam they told me that there wasnt much that they could do i tried contacting the person who i sent it to and no response,0,UserID212,Ticket213,SalesDepartment,SalesDepartment,LogRegClassifier
107,on i received a notice from jp morgan chase bank na that checking account that was opened in my name was being blocked due to not providing information that the bank requested on the same day i received a chase debit card also in my name for this account card number  xxxx i did not open this checking and contacted chase bank s fraud department i informed the bank that the account was fraudulently opened in my name and asked that it be closed immediately i also requested details of how where and when the account was opened in my name the individual that i spoke with refused to provide me with any information regarding the account unless i provided her with my social security number i refused to do this as i am uncertain what information the bank has i requested a supervisor who also refused to work with me to resolve this issue i then filed a report with identitytheftgov and sent a form letter that was provided to jp morgan chase bank na on todate i have not received any reply from jp morgan chase bank na my concern is that a checking account was fraudulently opened in my name and chase has been unresponsive to my inquiries or letterbecause of this fraudulent checking account i have been forced to place a  fraud alert  in my name with all of the credit reporting agencies this has resulted in difficulty in opening new credit accounts,0,UserID214,Ticket215,SalesDepartment,SalesDepartment,SequentialClassifier
